"Region, subregion, country or area *",1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
WORLD,2536274.721 ,2583816.786 ,2630584.384 ,2677230.358 ,2724302.468 ,2772242.535 ,2821383.444 ,2871952.278 ,2924081.243 ,2977824.686 ,3033212.527 ,3090305.279 ,3149244.245 ,3210271.352 ,3273670.772 ,3339592.688 ,3408121.405 ,3479053.821 ,3551880.700 ,3625905.514 ,3700577.650 ,3775790.900 ,3851545.181 ,3927538.695 ,4003448.151 ,4079087.198 ,4154287.594 ,4229201.257 ,4304377.112 ,4380585.755 ,4458411.534 ,4537845.777 ,4618776.168 ,4701530.843 ,4786483.862 ,4873781.796 ,4963633.228 ,5055636.132 ,5148556.956 ,5240735.117 ,5330943.460 ,5418758.803 ,5504401.149 ,5588094.837 ,5670319.703 ,5751474.416 ,5831565.020 ,5910566.295 ,5988846.103 ,6066867.391 ,6145006.989 ,6223412.158 ,6302149.639 ,6381408.987 ,6461370.865 ,6542159.383 ,6623847.913 ,6706418.593 ,6789771.253 ,6873741.054 ,6958169.159 ,7043008.586 ,7128176.935 ,7213426.452 ,7298453.033 ,7383008.820 ,7471094.883 ,7559571.757 ,7648434.379 ,7737681.494 ,7827315.066 ,7917341.030 ,8007769.160 ,8098612.586 ,8189889.863 ,8281626.942 ,8373858.619 ,8466631.930 ,8560006.418 ,8654051.371 ,8748839.028 ,8844438.857 ,8940922.455 ,9038370.153 ,9136867.035 ,9236503.749 ,9337366.348 ,9439553.680 ,9543187.099 ,9648399.215 ,9755315.789 ,9864053.988 ,9974715.687 ,10087394.021 ,10202175.958 ,10319159.145 ,10438466.815 ,10560232.089 ,10684578.308 ,10811631.481 ,10941526.883 ,11074413.613 ,11210448.273 ,11349788.133 ,11492595.959 ,11639044.044 ,11789312.464 ,11943593.178 ,12102088.301 ,12265009.546 ,12432573.420 ,12604996.932 ,12782502.010 ,12965322.628 ,13153699.548 ,13347878.462 ,13548114.190 ,13754660.897 ,13967768.220 ,14187687.439 ,14414682.503 ,14649044.433 ,14891073.442 ,15141063.636 ,15399314.937 ,15666142.825 ,15941885.513 ,16226897.327 ,16521538.303 ,16826180.977 ,17141211.002 ,17467025.368 ,17804035.505 ,18152669.437 ,18513368.378 ,18886584.313 ,19272784.022 ,19672438.700 ,20086019.567 ,20514005.340 ,20956894.948 ,21415211.808 ,21889503.213 ,22380335.196 ,22888289.695 ,23413959.621 ,23957947.938 ,24520866.278 ,25103335.471 ,25705985.449 ,26329454.981 
AFRICA,228670.019 ,233277.049 ,238113.121 ,243177.791 ,248471.497 ,253995.025 ,259750.195 ,265739.281 ,271965.261 ,278431.545 ,285142.006 ,292100.079 ,299309.231 ,306772.112 ,314491.391 ,322470.634 ,330720.407 ,339247.878 ,348049.881 ,357119.794 ,366458.929 ,376067.257 ,385965.161 ,396198.875 ,406828.206 ,417898.074 ,429424.761 ,441404.179 ,453834.792 ,466707.331 ,480012.209 ,493747.699 ,507910.465 ,522485.550 ,537453.703 ,552796.228 ,568505.611 ,584569.186 ,600956.701 ,617632.012 ,634567.044 ,651763.106 ,669221.342 ,686916.862 ,704820.799 ,722921.961 ,741220.519 ,759752.789 ,778592.236 ,797836.027 ,817566.004 ,837820.928 ,858622.597 ,880016.866 ,902048.601 ,924757.708 ,948156.166 ,972265.961 ,997144.670 ,1022858.654 ,1049446.344 ,1076933.813 ,1105285.268 ,1134398.192 ,1164129.789 ,1194369.908 ,1226776.650 ,1260323.482 ,1295015.869 ,1330863.967 ,1367882.426 ,1406090.798 ,1445513.353 ,1486178.585 ,1528119.269 ,1571371.221 ,1615972.042 ,1661960.287 ,1709375.156 ,1758257.162 ,1808652.457 ,1860612.683 ,1914196.503 ,1969467.855 ,2026495.575 ,2085350.661 ,2146102.109 ,2208822.134 ,2273590.268 ,2340490.556 ,2409607.858 ,2481027.246 ,2554833.710 ,2631112.864 ,2709951.440 ,2791440.051 ,2875675.862 ,2962759.409 ,3052790.863 ,3145872.578 ,3242111.067 ,3341621.652 ,3444520.927 ,3550921.551 ,3660937.428 ,3774690.377 ,3892316.529 ,4013958.739 ,4139756.623 ,4269854.090 ,4404403.551 ,4543570.239 ,4687527.661 ,4836452.739 ,4990528.663 ,5149946.930 ,5314910.234 ,5485627.648 ,5662310.573 ,5845176.581 ,6034453.567 ,6230384.896 ,6433223.065 ,6643223.784 ,6860650.595 ,7085778.465 ,7318899.175 ,7560313.547 ,7810324.078 ,8069241.092 ,8337389.467 ,8615118.258 ,8902787.120 ,9200754.562 ,9509387.659 ,9829072.467 ,10160226.101 ,10503281.224 ,10858670.378 ,11226838.407 ,11608252.260 ,12003404.376 ,12412811.795 ,12837012.944 ,13276564.770 ,13732039.376 ,14204023.277 ,14693116.511 ,15199932.677 ,15725099.051 ,16269256.582 
Eastern Africa,66758.254 ,68208.356 ,69711.520 ,71272.418 ,72895.738 ,74585.806 ,76346.981 ,78183.385 ,80098.967 ,82097.498 ,84182.469 ,86356.934 ,88623.624 ,90984.649 ,93441.751 ,95996.653 ,98653.151 ,101413.366 ,104275.291 ,107235.237 ,110292.070 ,113445.206 ,116700.014 ,120068.437 ,123566.004 ,127204.270 ,130990.072 ,134922.280 ,138994.306 ,143195.464 ,147518.890 ,151952.438 ,156499.895 ,161188.537 ,166055.965 ,171123.080 ,176421.561 ,181929.187 ,187549.420 ,193150.021 ,198645.937 ,203990.506 ,209239.376 ,214535.842 ,220081.611 ,226021.034 ,232413.444 ,239215.718 ,246345.989 ,253675.516 ,261113.890 ,268638.612 ,276291.511 ,284122.793 ,292207.492 ,300599.706 ,309313.054 ,318329.032 ,327631.032 ,337191.043 ,346987.498 ,357015.563 ,367279.164 ,377775.443 ,388502.716 ,399458.026 ,411320.596 ,423683.307 ,436537.161 ,449876.877 ,463700.852 ,478011.319 ,492814.375 ,508119.117 ,523937.441 ,540281.604 ,557162.070 ,574585.446 ,592553.732 ,611066.617 ,630128.794 ,649753.526 ,669960.149 ,690767.459 ,712197.020 ,734272.186 ,757014.926 ,780450.953 ,804612.927 ,829537.334 ,855259.733 ,881810.800 ,909220.813 ,937524.588 ,966758.090 ,996957.004 ,1028155.854 ,1060388.394 ,1093688.544 ,1128090.085 ,1163627.430 ,1200338.590 ,1238260.405 ,1277425.164 ,1317864.135 ,1359611.831 ,1402710.384 ,1447204.521 ,1493135.858 ,1540547.036 ,1589484.101 ,1639998.211 ,1692144.143 ,1745977.858 ,1801558.022 ,1858945.787 ,1918204.967 ,1979402.069 ,2042606.271 ,2107889.518 ,2175326.088 ,2244993.217 ,2316970.262 ,2391338.880 ,2468183.203 ,2547590.198 ,2629651.136 ,2714459.313 ,2802108.332 ,2892693.817 ,2986315.567 ,3083081.004 ,3183100.181 ,3286481.747 ,3393336.369 ,3503780.674 ,3617940.815 ,3735948.484 ,3857935.923 ,3984039.399 ,4114401.184 ,4249170.102 ,4388501.453 ,4532556.303 ,4681501.017 ,4835506.557 ,4994748.268 ,5159405.856 ,5329663.250 ,5505708.682 ,5687734.750 
Burundi,2308.920 ,2359.123 ,2403.511 ,2445.420 ,2487.390 ,2531.184 ,2577.735 ,2627.233 ,2679.141 ,2732.438 ,2786.106 ,2839.666 ,2893.669 ,2949.926 ,3010.859 ,3077.876 ,3152.723 ,3234.023 ,3316.233 ,3391.753 ,3455.606 ,3505.391 ,3544.047 ,3578.490 ,3618.585 ,3671.494 ,3739.659 ,3821.194 ,3913.768 ,4013.310 ,4116.817 ,4223.195 ,4333.386 ,4448.728 ,4571.292 ,4702.066 ,4841.565 ,4987.736 ,5135.956 ,5280.024 ,5415.415 ,5542.048 ,5661.139 ,5771.398 ,5871.607 ,5962.058 ,6041.112 ,6112.097 ,6186.352 ,6278.940 ,6400.706 ,6555.829 ,6741.569 ,6953.113 ,7182.451 ,7423.289 ,7675.338 ,7939.573 ,8212.264 ,8489.031 ,8766.930 ,9043.508 ,9319.710 ,9600.186 ,9891.790 ,10199.270 ,10548.173 ,10909.368 ,11282.812 ,11668.496 ,12066.434 ,12476.677 ,12899.296 ,13334.402 ,13782.173 ,14242.892 ,14717.007 ,15205.179 ,15708.297 ,16227.434 ,16763.669 ,17317.875 ,17891.005 ,18484.288 ,19099.043 ,19736.580 ,20397.994 ,21084.385 ,21797.156 ,22537.797 ,23307.664 ,24107.956 ,24939.679 ,25803.828 ,26701.298 ,27633.031 ,28600.176 ,29603.783 ,30644.568 ,31723.123 ,32840.202 ,33997.063 ,35195.044 ,36435.231 ,37718.693 ,39046.727 ,40420.945 ,41843.224 ,43315.471 ,44839.781 ,46418.353 ,48053.378 ,49747.252 ,51502.712 ,53322.706 ,55210.169 ,57167.880 ,59198.646 ,61305.496 ,63491.563 ,65759.985 ,68113.955 ,70556.654 ,73091.279 ,75721.066 ,78449.340 ,81279.750 ,84215.890 ,87261.057 ,90418.488 ,93691.729 ,97084.982 ,100602.673 ,104249.010 ,108028.325 ,111945.274 ,116004.984 ,120212.920 ,124574.647 ,129095.973 ,133782.983 ,138642.027 ,143679.795 ,148903.192 ,154319.415 ,159935.929 ,165760.409 ,171800.799 ,178065.298 ,184562.316 ,191300.559 
Comoros,159.459 ,163.139 ,166.541 ,169.752 ,172.853 ,175.903 ,178.946 ,181.992 ,185.043 ,188.097 ,191.121 ,194.139 ,197.198 ,200.372 ,203.753 ,207.424 ,211.478 ,215.897 ,220.575 ,225.325 ,230.054 ,234.644 ,239.235 ,244.208 ,250.104 ,257.290 ,265.953 ,275.900 ,286.634 ,297.447 ,307.829 ,317.606 ,326.946 ,336.096 ,345.466 ,355.337 ,365.760 ,376.654 ,387.963 ,399.632 ,411.594 ,423.872 ,436.448 ,449.274 ,462.277 ,475.394 ,488.627 ,501.953 ,515.385 ,528.848 ,542.357 ,555.888 ,569.479 ,583.211 ,597.228 ,611.627 ,626.425 ,641.620 ,657.229 ,673.252 ,689.692 ,706.569 ,723.868 ,741.500 ,759.385 ,777.424 ,796.729 ,816.630 ,837.129 ,858.205 ,879.853 ,902.063 ,924.846 ,948.196 ,972.110 ,996.607 ,1021.681 ,1047.351 ,1073.615 ,1100.485 ,1127.987 ,1156.116 ,1184.914 ,1214.395 ,1244.581 ,1275.515 ,1307.193 ,1339.685 ,1372.992 ,1407.152 ,1442.214 ,1478.203 ,1515.148 ,1553.089 ,1592.036 ,1632.036 ,1673.111 ,1715.298 ,1758.645 ,1803.183 ,1848.942 ,1895.971 ,1944.306 ,1993.968 ,2044.978 ,2097.371 ,2151.185 ,2206.468 ,2263.246 ,2321.576 ,2381.485 ,2443.021 ,2506.247 ,2571.194 ,2637.944 ,2706.535 ,2777.034 ,2849.496 ,2923.984 ,3000.552 ,3079.283 ,3160.226 ,3243.456 ,3329.055 ,3417.081 ,3507.626 ,3600.756 ,3696.566 ,3795.115 ,3896.478 ,4000.741 ,4108.001 ,4218.313 ,4331.780 ,4448.458 ,4568.441 ,4691.819 ,4818.679 ,4949.113 ,5083.243 ,5221.151 ,5362.953 ,5508.747 ,5658.653 ,5812.787 ,5971.261 ,6134.198 ,6301.721 ,6473.964 ,6651.057 ,6833.119 
Djibouti,62.001 ,63.306 ,64.750 ,66.269 ,67.872 ,69.589 ,71.497 ,73.702 ,76.353 ,79.612 ,83.636 ,88.498 ,94.204 ,100.628 ,107.583 ,114.963 ,122.866 ,131.397 ,140.462 ,149.887 ,159.659 ,169.372 ,179.224 ,190.568 ,205.181 ,224.183 ,248.556 ,277.479 ,308.008 ,336.085 ,358.960 ,374.937 ,385.271 ,393.802 ,406.017 ,425.613 ,454.361 ,490.330 ,528.999 ,563.864 ,590.398 ,606.844 ,615.054 ,618.495 ,622.366 ,630.388 ,643.682 ,660.953 ,680.612 ,700.099 ,717.584 ,732.711 ,746.221 ,758.615 ,770.752 ,783.254 ,796.208 ,809.402 ,822.934 ,836.840 ,851.146 ,865.937 ,881.185 ,896.688 ,912.164 ,927.414 ,943.584 ,960.258 ,977.372 ,994.882 ,1012.718 ,1030.863 ,1049.260 ,1067.880 ,1086.703 ,1105.688 ,1124.813 ,1144.049 ,1163.350 ,1182.685 ,1202.018 ,1221.334 ,1240.626 ,1259.869 ,1279.063 ,1298.199 ,1317.265 ,1336.285 ,1355.259 ,1374.207 ,1393.151 ,1412.095 ,1431.073 ,1450.111 ,1469.248 ,1488.530 ,1507.982 ,1527.608 ,1547.435 ,1567.491 ,1587.795 ,1608.361 ,1629.194 ,1650.288 ,1671.635 ,1693.219 ,1715.047 ,1737.106 ,1759.387 ,1781.862 ,1804.496 ,1827.286 ,1850.249 ,1873.364 ,1896.616 ,1919.995 ,1943.504 ,1967.162 ,1990.976 ,2014.972 ,2039.149 ,2063.546 ,2088.181 ,2113.070 ,2138.260 ,2163.800 ,2189.696 ,2215.986 ,2242.687 ,2269.853 ,2297.522 ,2325.702 ,2354.406 ,2383.665 ,2413.502 ,2443.923 ,2474.934 ,2506.552 ,2538.758 ,2571.528 ,2604.836 ,2638.687 ,2673.068 ,2707.980 ,2743.408 ,2779.371 ,2815.822 ,2852.762 ,2890.157 ,2927.970 ,2966.162 
Eritrea,1142.148 ,1159.798 ,1179.537 ,1201.124 ,1224.384 ,1249.193 ,1275.534 ,1303.420 ,1332.953 ,1364.276 ,1397.491 ,1432.640 ,1469.645 ,1508.273 ,1548.187 ,1589.179 ,1631.147 ,1674.204 ,1718.525 ,1764.343 ,1811.878 ,1861.199 ,1912.302 ,1965.160 ,2019.717 ,2075.965 ,2133.723 ,2193.068 ,2254.450 ,2318.495 ,2385.540 ,2454.766 ,2525.521 ,2598.410 ,2674.289 ,2753.151 ,2837.111 ,2924.349 ,3006.361 ,3071.771 ,3113.311 ,3127.297 ,3118.582 ,3099.047 ,3085.443 ,3090.159 ,3116.379 ,3161.350 ,3224.223 ,3302.263 ,3392.801 ,3497.124 ,3614.639 ,3738.265 ,3858.623 ,3969.007 ,4066.648 ,4153.332 ,4232.636 ,4310.334 ,4390.840 ,4474.690 ,4560.977 ,4650.998 ,4746.045 ,4846.976 ,4968.279 ,5094.177 ,5224.740 ,5360.035 ,5500.096 ,5644.956 ,5794.654 ,5949.183 ,6108.548 ,6272.768 ,6441.897 ,6616.010 ,6795.256 ,6979.809 ,7169.809 ,7365.371 ,7566.552 ,7773.442 ,7986.122 ,8204.646 ,8429.155 ,8659.735 ,8896.459 ,9139.415 ,9388.689 ,9644.401 ,9906.711 ,10175.709 ,10451.503 ,10734.237 ,11024.060 ,11321.194 ,11625.870 ,11938.339 ,12258.875 ,12587.702 ,12925.064 ,13271.237 ,13626.508 ,13991.165 ,14365.499 ,14749.765 ,15144.240 ,15549.205 ,15964.946 ,16391.773 ,16829.973 ,17279.822 ,17741.570 ,18215.520 ,18702.003 ,19201.362 ,19713.948 ,20240.125 ,20780.257 ,21334.744 ,21904.002 ,22488.450 ,23088.526 ,23704.688 ,24337.400 ,24987.131 ,25654.392 ,26339.708 ,27043.597 ,27766.576 ,28509.197 ,29272.018 ,30055.602 ,30860.545 ,31687.434 ,32536.865 ,33409.403 ,34305.607 ,35226.109 ,36171.520 ,37142.501 ,38139.762 ,39163.994 ,40215.902 ,41296.220 ,42405.663 ,43544.951 ,44714.810 ,45915.978 
Ethiopia,18128.034 ,18466.968 ,18819.700 ,19184.292 ,19560.016 ,19947.292 ,20347.813 ,20764.450 ,21201.034 ,21661.996 ,22151.278 ,22671.190 ,23221.389 ,23798.429 ,24397.024 ,25013.626 ,25641.376 ,26281.208 ,26946.079 ,27654.161 ,28415.077 ,29245.207 ,30132.580 ,31025.115 ,31851.708 ,32566.821 ,33146.891 ,33622.390 ,34068.316 ,34590.226 ,35264.898 ,36120.288 ,37136.848 ,38285.883 ,39518.801 ,40800.343 ,42120.730 ,43493.283 ,44932.064 ,46458.913 ,48086.516 ,49821.083 ,51647.768 ,53532.956 ,55431.123 ,57309.880 ,59155.148 ,60976.450 ,62794.151 ,64640.054 ,66537.331 ,68492.257 ,70497.192 ,72545.144 ,74624.405 ,76727.083 ,78850.689 ,81000.409 ,83184.892 ,85416.253 ,87702.670 ,90046.756 ,92444.183 ,94887.724 ,97366.774 ,99873.033 ,102630.970 ,105537.824 ,108585.238 ,111766.269 ,115075.439 ,118508.730 ,122063.593 ,125738.707 ,129533.796 ,133448.748 ,137482.783 ,141633.693 ,145897.518 ,150269.450 ,154746.557 ,159329.162 ,164019.952 ,168821.681 ,173738.269 ,178774.178 ,183932.914 ,189219.337 ,194641.388 ,200208.496 ,205929.457 ,211810.447 ,217857.445 ,224078.844 ,230483.572 ,237079.825 ,243874.397 ,250873.105 ,258081.804 ,265505.930 ,273150.824 ,281022.513 ,289126.538 ,297466.957 ,306047.285 ,314871.531 ,323945.592 ,333275.421 ,342865.261 ,352719.078 ,362841.802 ,373240.209 ,383922.125 ,394895.214 ,406167.656 ,417748.201 ,429646.058 ,441871.131 ,454434.203 ,467346.722 ,480620.472 ,494267.059 ,508298.658 ,522728.736 ,537571.439 ,552840.943 ,568550.954 ,584715.225 ,601348.231 ,618464.782 ,636079.814 ,654208.830 ,672867.080 ,692069.226 ,711829.849 ,732164.298 ,753089.407 ,774622.776 ,796781.840 ,819584.492 ,843049.203 ,867195.123 ,892042.036 ,917610.322 ,943920.900 ,970995.191 ,998855.047 ,1027522.826 ,1057021.291 ,1087373.703 ,1118603.761 
Kenya,6076.758 ,6240.163 ,6412.363 ,6593.109 ,6782.287 ,6979.931 ,7186.211 ,7401.421 ,7625.995 ,7860.475 ,8105.440 ,8361.441 ,8628.972 ,8908.422 ,9200.157 ,9504.703 ,9822.499 ,10154.484 ,10502.245 ,10867.716 ,11252.492 ,11657.514 ,12083.188 ,12529.852 ,12997.595 ,13486.629 ,13996.704 ,14528.293 ,15082.994 ,15662.852 ,16268.990 ,16901.677 ,17559.430 ,18239.404 ,18937.738 ,19651.225 ,20378.626 ,21119.318 ,21871.442 ,22633.022 ,23402.507 ,24179.598 ,24963.953 ,25754.114 ,26548.486 ,27346.456 ,28147.734 ,28954.114 ,29769.803 ,30600.397 ,31450.483 ,32321.482 ,33214.009 ,34130.852 ,35074.931 ,36048.288 ,37052.050 ,38085.909 ,39148.416 ,40237.204 ,41350.152 ,42486.839 ,43646.629 ,44826.849 ,46024.250 ,47236.259 ,48529.801 ,49863.531 ,51236.922 ,52649.738 ,54101.994 ,55593.979 ,57126.262 ,58699.634 ,60314.987 ,61973.213 ,63674.820 ,65419.849 ,67207.695 ,69037.429 ,70908.479 ,72821.286 ,74776.599 ,76774.696 ,78815.828 ,80900.610 ,83029.830 ,85204.817 ,87427.434 ,89699.944 ,92024.478 ,94402.577 ,96835.788 ,99326.328 ,101876.593 ,104488.823 ,107164.799 ,109906.138 ,112714.565 ,115591.752 ,118539.325 ,121559.097 ,124652.607 ,127820.910 ,131064.869 ,134385.571 ,137784.701 ,141264.170 ,144825.587 ,148470.603 ,152201.052 ,156018.989 ,159926.682 ,163926.552 ,168021.187 ,172213.224 ,176505.332 ,180900.247 ,185400.880 ,190010.261 ,194731.509 ,199567.722 ,204522.144 ,209598.286 ,214799.797 ,220130.329 ,225593.449 ,231192.694 ,236931.680 ,242814.085 ,248843.656 ,255024.342 ,261360.076 ,267854.559 ,274511.492 ,281334.759 ,288328.656 ,295497.749 ,302846.595 ,310379.917 ,318102.579 ,326019.533 ,334135.875 ,342456.806 ,350987.674 ,359733.974 ,368701.321 ,377895.504 ,387322.429 ,396988.180 ,406898.943 
Madagascar,4083.554 ,4168.386 ,4256.770 ,4348.720 ,4444.288 ,4543.542 ,4646.576 ,4753.523 ,4864.524 ,4979.753 ,5099.373 ,5223.568 ,5352.503 ,5486.319 ,5625.164 ,5769.218 ,5918.595 ,6073.526 ,6234.465 ,6401.921 ,6576.305 ,6757.850 ,6946.620 ,7142.627 ,7345.780 ,7556.026 ,7773.449 ,7998.164 ,8230.218 ,8469.672 ,8716.553 ,8971.345 ,9234.129 ,9504.281 ,9780.872 ,10063.495 ,10352.120 ,10647.754 ,10952.395 ,11268.658 ,11598.633 ,11942.819 ,12301.336 ,12675.460 ,13066.543 ,13475.400 ,13902.688 ,14347.854 ,14808.791 ,15282.521 ,15766.806 ,16260.932 ,16765.117 ,17279.141 ,17802.997 ,18336.724 ,18880.268 ,19433.523 ,19996.469 ,20569.121 ,21151.640 ,21743.949 ,22346.573 ,22961.146 ,23589.801 ,24234.088 ,24921.223 ,25638.920 ,26385.952 ,27161.279 ,27964.129 ,28793.929 ,29650.367 ,30533.316 ,31442.834 ,32379.034 ,33342.036 ,34331.787 ,35348.108 ,36390.729 ,37459.699 ,38555.426 ,39678.728 ,40830.596 ,42012.267 ,43225.009 ,44469.808 ,45747.793 ,47060.681 ,48410.375 ,49798.687 ,51226.983 ,52696.564 ,54208.935 ,55765.665 ,57368.239 ,59018.131 ,60716.645 ,62464.916 ,64263.910 ,66114.736 ,68018.822 ,69977.649 ,71992.480 ,74064.593 ,76195.366 ,78386.394 ,80639.394 ,82956.052 ,85338.093 ,87787.367 ,90305.842 ,92895.586 ,95558.716 ,98297.430 ,101114.027 ,104010.863 ,106990.425 ,110055.364 ,113208.437 ,116452.452 ,119790.213 ,123224.546 ,126758.380 ,130394.699 ,134136.571 ,137987.198 ,141949.838 ,146027.678 ,150223.978 ,154542.088 ,158985.665 ,163558.435 ,168264.172 ,173106.735 ,178090.099 ,183218.482 ,188496.194 ,193927.548 ,199516.906 ,205268.869 ,211188.241 ,217280.041 ,223549.491 ,230001.952 ,236642.915 ,243477.977 ,250512.825 ,257753.261 ,265205.185 ,272874.609 
