"Region, subregion, country or area *",1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
WORLD,2536274.721 ,2583816.786 ,2630584.384 ,2677230.358 ,2724302.468 ,2772242.535 ,2821383.444 ,2871952.278 ,2924081.243 ,2977824.686 ,3033212.527 ,3090305.279 ,3149244.245 ,3210271.352 ,3273670.772 ,3339592.688 ,3408121.405 ,3479053.821 ,3551880.700 ,3625905.514 ,3700577.650 ,3775790.900 ,3851545.181 ,3927538.695 ,4003448.151 ,4079087.198 ,4154287.594 ,4229201.257 ,4304377.112 ,4380585.755 ,4458411.534 ,4537845.777 ,4618776.168 ,4701530.843 ,4786483.862 ,4873781.796 ,4963633.228 ,5055636.132 ,5148556.956 ,5240735.117 ,5330943.460 ,5418758.803 ,5504401.149 ,5588094.837 ,5670319.703 ,5751474.416 ,5831565.020 ,5910566.295 ,5988846.103 ,6066867.391 ,6145006.989 ,6223412.158 ,6302149.639 ,6381408.987 ,6461370.865 ,6542159.383 ,6623847.913 ,6706418.593 ,6789771.253 ,6873741.054 ,6958169.159 ,7043008.586 ,7128176.935 ,7213426.452 ,7298453.033 ,7383008.820 ,7464439.445 ,7544249.092 ,7622413.887 ,7698909.743 ,7773712.741 ,7846798.040 ,7918141.506 ,7987718.492 ,8055505.800 ,8121483.247 ,8185636.022 ,8247956.627 ,8308446.052 ,8367110.905 ,8423956.751 ,8478981.531 ,8532182.606 ,8583565.184 ,8633135.994 ,8680901.800 ,8726863.891 ,8771025.168 ,8813394.127 ,8853981.604 ,8892795.169 ,8929841.453 ,8965120.225 ,8998625.418 ,9030347.267 ,9060279.733 ,9088429.205 ,9114803.874 ,9139400.738 ,9162215.697 ,9183251.420 ,9202521.756 ,9220047.473 ,9235847.420 ,9249943.244 ,9262361.537 ,9273127.250 ,9282275.689 ,9289858.578 ,9295936.569 ,9300565.274 ,9303785.644 ,9305634.105 ,9306157.630 ,9305404.351 ,9303419.864 ,9300243.073 ,9295912.458 ,9290469.947 ,9283957.844 ,9276414.916 ,9267871.593 ,9258356.219 ,9247900.823 ,9236536.644 ,9224289.351 ,9211179.685 ,9197220.988 ,9182421.010 ,9166782.152 ,9150306.069 ,9133004.395 ,9114882.256 ,9095925.531 ,9076112.964 ,9055430.122 ,9033883.037 ,9011483.908 ,8988234.872 ,8964138.708 ,8939204.126 ,8913446.686 ,8886888.889 ,8859558.582 ,8831487.195 ,8802708.753 ,8773258.867 ,8743175.026 ,8712496.133 ,8681262.813 ,8649517.119 
AFRICA,228670.019 ,233277.049 ,238113.121 ,243177.791 ,248471.497 ,253995.025 ,259750.195 ,265739.281 ,271965.261 ,278431.545 ,285142.006 ,292100.079 ,299309.231 ,306772.112 ,314491.391 ,322470.634 ,330720.407 ,339247.878 ,348049.881 ,357119.794 ,366458.929 ,376067.257 ,385965.161 ,396198.875 ,406828.206 ,417898.074 ,429424.761 ,441404.179 ,453834.792 ,466707.331 ,480012.209 ,493747.699 ,507910.465 ,522485.550 ,537453.703 ,552796.228 ,568505.611 ,584569.186 ,600956.701 ,617632.012 ,634567.044 ,651763.106 ,669221.342 ,686916.862 ,704820.799 ,722921.961 ,741220.519 ,759752.789 ,778592.236 ,797836.027 ,817566.004 ,837820.928 ,858622.597 ,880016.866 ,902048.601 ,924757.708 ,948156.166 ,972265.961 ,997144.670 ,1022858.654 ,1049446.344 ,1076933.813 ,1105285.268 ,1134398.192 ,1164129.789 ,1194369.908 ,1224286.253 ,1254369.196 ,1284632.237 ,1315084.884 ,1345732.646 ,1376576.497 ,1407613.693 ,1438837.310 ,1470237.865 ,1501805.225 ,1533530.642 ,1565409.455 ,1597441.530 ,1629628.848 ,1661968.276 ,1694447.960 ,1727049.030 ,1759750.913 ,1792529.496 ,1825359.714 ,1858221.008 ,1891089.641 ,1923931.369 ,1956708.191 ,1989384.599 ,2021933.877 ,2054331.057 ,2086544.497 ,2118541.531 ,2150292.170 ,2181770.425 ,2212953.996 ,2243821.523 ,2274353.899 ,2304532.176 ,2334337.672 ,2363751.138 ,2392754.013 ,2421328.080 ,2449456.930 ,2477123.735 ,2504316.274 ,2531028.375 ,2557257.453 ,2582998.393 ,2608240.330 ,2632968.968 ,2657171.695 ,2680835.112 ,2703945.824 ,2726492.466 ,2748463.149 ,2769842.867 ,2790616.007 ,2810768.031 ,2830287.425 ,2849163.621 ,2867384.479 ,2884938.047 ,2901813.343 ,2918001.870 ,2933495.725 ,2948286.074 ,2962364.529 ,2975724.170 ,2988360.133 ,3000269.385 ,3011450.056 ,3021901.597 ,3031624.121 ,3040618.142 ,3048884.908 ,3056427.048 ,3063248.320 ,3069353.190 ,3074746.914 ,3079435.597 ,3083426.296 ,3086726.761 ,3089345.883 ,3091293.365 ,3092579.905 ,3093217.256 ,3093218.281 ,3092596.649 
Eastern Africa,66758.254 ,68208.356 ,69711.520 ,71272.418 ,72895.738 ,74585.806 ,76346.981 ,78183.385 ,80098.967 ,82097.498 ,84182.469 ,86356.934 ,88623.624 ,90984.649 ,93441.751 ,95996.653 ,98653.151 ,101413.366 ,104275.291 ,107235.237 ,110292.070 ,113445.206 ,116700.014 ,120068.437 ,123566.004 ,127204.270 ,130990.072 ,134922.280 ,138994.306 ,143195.464 ,147518.890 ,151952.438 ,156499.895 ,161188.537 ,166055.965 ,171123.080 ,176421.561 ,181929.187 ,187549.420 ,193150.021 ,198645.937 ,203990.506 ,209239.376 ,214535.842 ,220081.611 ,226021.034 ,232413.444 ,239215.718 ,246345.989 ,253675.516 ,261113.890 ,268638.612 ,276291.511 ,284122.793 ,292207.492 ,300599.706 ,309313.054 ,318329.032 ,327631.032 ,337191.043 ,346987.498 ,357015.563 ,367279.164 ,377775.443 ,388502.716 ,399458.026 ,410358.856 ,421368.452 ,432485.530 ,443708.528 ,455035.254 ,466463.078 ,477988.891 ,489609.055 ,501319.497 ,513115.664 ,524992.446 ,536944.315 ,548965.241 ,561048.667 ,573187.646 ,585375.493 ,597604.476 ,609864.680 ,622145.272 ,634436.005 ,646727.954 ,659013.204 ,671282.967 ,683528.760 ,695741.918 ,707914.177 ,720036.629 ,732099.175 ,744091.201 ,756002.870 ,767825.685 ,779552.355 ,791175.993 ,802690.313 ,814088.932 ,825364.880 ,836511.015 ,847520.870 ,858388.149 ,869106.594 ,879670.155 ,890072.851 ,900308.349 ,910370.582 ,920253.631 ,929951.806 ,939459.917 ,948773.412 ,957888.239 ,966799.939 ,975504.312 ,983996.343 ,992270.206 ,1000319.714 ,1008139.498 ,1015725.538 ,1023074.797 ,1030183.964 ,1037050.128 ,1043670.743 ,1050043.466 ,1056166.425 ,1062038.223 ,1067657.930 ,1073024.821 ,1078138.317 ,1082998.068 ,1087604.226 ,1091957.307 ,1096057.991 ,1099906.695 ,1103504.447 ,1106853.565 ,1109956.935 ,1112817.166 ,1115436.042 ,1117814.879 ,1119954.522 ,1121856.054 ,1123520.653 ,1124949.937 ,1126145.967 ,1127111.316 ,1127849.036 ,1128362.548 
Burundi,2308.920 ,2359.123 ,2403.511 ,2445.420 ,2487.390 ,2531.184 ,2577.735 ,2627.233 ,2679.141 ,2732.438 ,2786.106 ,2839.666 ,2893.669 ,2949.926 ,3010.859 ,3077.876 ,3152.723 ,3234.023 ,3316.233 ,3391.753 ,3455.606 ,3505.391 ,3544.047 ,3578.490 ,3618.585 ,3671.494 ,3739.659 ,3821.194 ,3913.768 ,4013.310 ,4116.817 ,4223.195 ,4333.386 ,4448.728 ,4571.292 ,4702.066 ,4841.565 ,4987.736 ,5135.956 ,5280.024 ,5415.415 ,5542.048 ,5661.139 ,5771.398 ,5871.607 ,5962.058 ,6041.112 ,6112.097 ,6186.352 ,6278.940 ,6400.706 ,6555.829 ,6741.569 ,6953.113 ,7182.451 ,7423.289 ,7675.338 ,7939.573 ,8212.264 ,8489.031 ,8766.930 ,9043.508 ,9319.710 ,9600.186 ,9891.790 ,10199.270 ,10529.595 ,10862.690 ,11198.662 ,11537.508 ,11879.128 ,12223.287 ,12569.647 ,12917.811 ,13267.310 ,13617.799 ,13969.149 ,14321.622 ,14675.866 ,15032.827 ,15393.245 ,15757.249 ,16124.870 ,16496.651 ,16873.209 ,17254.938 ,17641.899 ,18033.840 ,18430.361 ,18830.858 ,19234.747 ,19641.715 ,20051.345 ,20462.744 ,20874.897 ,21286.886 ,21698.186 ,22108.374 ,22516.787 ,22922.754 ,23325.707 ,23725.220 ,24121.030 ,24512.931 ,24900.814 ,25284.593 ,25664.050 ,26039.091 ,26409.886 ,26776.725 ,27139.831 ,27499.125 ,27854.489 ,28205.999 ,28553.751 ,28897.762 ,29237.939 ,29574.041 ,29905.711 ,30232.500 ,30553.995 ,30869.900 ,31179.960 ,31483.735 ,31780.777 ,32070.661 ,32353.121 ,32627.887 ,32894.444 ,33152.251 ,33400.872 ,33640.044 ,33869.675 ,34089.875 ,34300.887 ,34502.860 ,34695.811 ,34879.629 ,35054.282 ,35219.694 ,35375.868 ,35522.812 ,35660.621 ,35789.404 ,35909.280 ,36020.408 ,36122.889 ,36216.857 ,36302.414 ,36379.672 ,36448.725 
Comoros,159.459 ,163.139 ,166.541 ,169.752 ,172.853 ,175.903 ,178.946 ,181.992 ,185.043 ,188.097 ,191.121 ,194.139 ,197.198 ,200.372 ,203.753 ,207.424 ,211.478 ,215.897 ,220.575 ,225.325 ,230.054 ,234.644 ,239.235 ,244.208 ,250.104 ,257.290 ,265.953 ,275.900 ,286.634 ,297.447 ,307.829 ,317.606 ,326.946 ,336.096 ,345.466 ,355.337 ,365.760 ,376.654 ,387.963 ,399.632 ,411.594 ,423.872 ,436.448 ,449.274 ,462.277 ,475.394 ,488.627 ,501.953 ,515.385 ,528.848 ,542.357 ,555.888 ,569.479 ,583.211 ,597.228 ,611.627 ,626.425 ,641.620 ,657.229 ,673.252 ,689.692 ,706.569 ,723.868 ,741.500 ,759.385 ,777.424 ,795.362 ,813.334 ,831.335 ,849.369 ,867.438 ,885.530 ,903.638 ,921.753 ,939.873 ,957.982 ,976.072 ,994.156 ,1012.221 ,1030.267 ,1048.304 ,1066.330 ,1084.333 ,1102.298 ,1120.237 ,1138.132 ,1155.972 ,1173.759 ,1191.475 ,1209.094 ,1226.619 ,1244.014 ,1261.286 ,1278.412 ,1295.363 ,1312.130 ,1328.688 ,1345.036 ,1361.156 ,1377.039 ,1392.654 ,1408.007 ,1423.079 ,1437.870 ,1452.383 ,1466.593 ,1480.510 ,1494.129 ,1507.430 ,1520.409 ,1533.064 ,1545.386 ,1557.370 ,1569.018 ,1580.348 ,1591.355 ,1602.044 ,1612.401 ,1622.413 ,1632.080 ,1641.374 ,1650.299 ,1658.843 ,1667.009 ,1674.785 ,1682.168 ,1689.148 ,1695.721 ,1701.900 ,1707.663 ,1713.018 ,1717.964 ,1722.495 ,1726.612 ,1730.317 ,1733.614 ,1736.483 ,1738.952 ,1741.023 ,1742.699 ,1744.001 ,1744.925 ,1745.485 ,1745.668 ,1745.502 ,1744.978 ,1744.123 ,1742.919 ,1741.392 ,1739.562 ,1737.433 
Djibouti,62.001 ,63.306 ,64.750 ,66.269 ,67.872 ,69.589 ,71.497 ,73.702 ,76.353 ,79.612 ,83.636 ,88.498 ,94.204 ,100.628 ,107.583 ,114.963 ,122.866 ,131.397 ,140.462 ,149.887 ,159.659 ,169.372 ,179.224 ,190.568 ,205.181 ,224.183 ,248.556 ,277.479 ,308.008 ,336.085 ,358.960 ,374.937 ,385.271 ,393.802 ,406.017 ,425.613 ,454.361 ,490.330 ,528.999 ,563.864 ,590.398 ,606.844 ,615.054 ,618.495 ,622.366 ,630.388 ,643.682 ,660.953 ,680.612 ,700.099 ,717.584 ,732.711 ,746.221 ,758.615 ,770.752 ,783.254 ,796.208 ,809.402 ,822.934 ,836.840 ,851.146 ,865.937 ,881.185 ,896.688 ,912.164 ,927.414 ,941.806 ,956.069 ,970.163 ,984.079 ,997.779 ,1011.253 ,1024.478 ,1037.441 ,1050.132 ,1062.527 ,1074.618 ,1086.393 ,1097.830 ,1108.905 ,1119.601 ,1129.902 ,1139.808 ,1149.308 ,1158.387 ,1167.056 ,1175.291 ,1183.096 ,1190.475 ,1197.431 ,1203.962 ,1210.071 ,1215.769 ,1221.046 ,1225.919 ,1230.395 ,1234.470 ,1238.150 ,1241.440 ,1244.328 ,1246.803 ,1248.898 ,1250.592 ,1251.895 ,1252.807 ,1253.315 ,1253.445 ,1253.179 ,1252.530 ,1251.495 ,1250.057 ,1248.224 ,1246.021 ,1243.446 ,1240.516 ,1237.225 ,1233.601 ,1229.643 ,1225.378 ,1220.800 ,1215.934 ,1210.786 ,1205.374 ,1199.726 ,1193.858 ,1187.797 ,1181.557 ,1175.157 ,1168.597 ,1161.910 ,1155.091 ,1148.158 ,1141.127 ,1134.001 ,1126.796 ,1119.508 ,1112.143 ,1104.711 ,1097.223 ,1089.678 ,1082.086 ,1074.433 ,1066.729 ,1058.982 ,1051.210 ,1043.391 ,1035.541 ,1027.664 ,1019.755 ,1011.812 ,1003.840 
Eritrea,1142.148 ,1159.798 ,1179.537 ,1201.124 ,1224.384 ,1249.193 ,1275.534 ,1303.420 ,1332.953 ,1364.276 ,1397.491 ,1432.640 ,1469.645 ,1508.273 ,1548.187 ,1589.179 ,1631.147 ,1674.204 ,1718.525 ,1764.343 ,1811.878 ,1861.199 ,1912.302 ,1965.160 ,2019.717 ,2075.965 ,2133.723 ,2193.068 ,2254.450 ,2318.495 ,2385.540 ,2454.766 ,2525.521 ,2598.410 ,2674.289 ,2753.151 ,2837.111 ,2924.349 ,3006.361 ,3071.771 ,3113.311 ,3127.297 ,3118.582 ,3099.047 ,3085.443 ,3090.159 ,3116.379 ,3161.350 ,3224.223 ,3302.263 ,3392.801 ,3497.124 ,3614.639 ,3738.265 ,3858.623 ,3969.007 ,4066.648 ,4153.332 ,4232.636 ,4310.334 ,4390.840 ,4474.690 ,4560.977 ,4650.998 ,4746.045 ,4846.976 ,4958.216 ,5069.570 ,5181.262 ,5293.460 ,5406.274 ,5519.733 ,5633.813 ,5748.431 ,5863.470 ,5978.820 ,6094.432 ,6210.347 ,6326.735 ,6443.815 ,6561.750 ,6680.511 ,6799.960 ,6919.969 ,7040.337 ,7160.873 ,7281.458 ,7401.953 ,7522.096 ,7641.563 ,7760.087 ,7877.513 ,7993.681 ,8108.381 ,8221.373 ,8332.455 ,8441.486 ,8548.396 ,8653.149 ,8755.744 ,8856.184 ,8954.417 ,9050.403 ,9144.146 ,9235.692 ,9325.070 ,9412.258 ,9497.257 ,9580.069 ,9660.722 ,9739.223 ,9815.581 ,9889.737 ,9961.683 ,10031.406 ,10098.848 ,10164.015 ,10226.841 ,10287.223 ,10345.029 ,10400.158 ,10452.569 ,10502.228 ,10549.104 ,10593.171 ,10634.408 ,10672.807 ,10708.343 ,10741.032 ,10770.892 ,10797.950 ,10822.213 ,10843.725 ,10862.510 ,10878.622 ,10892.100 ,10902.989 ,10911.362 ,10917.290 ,10920.909 ,10922.308 ,10921.565 ,10918.732 ,10913.858 ,10906.986 ,10898.160 ,10887.442 ,10874.907 ,10860.632 ,10844.719 ,10827.272 
Ethiopia,18128.034 ,18466.968 ,18819.700 ,19184.292 ,19560.016 ,19947.292 ,20347.813 ,20764.450 ,21201.034 ,21661.996 ,22151.278 ,22671.190 ,23221.389 ,23798.429 ,24397.024 ,25013.626 ,25641.376 ,26281.208 ,26946.079 ,27654.161 ,28415.077 ,29245.207 ,30132.580 ,31025.115 ,31851.708 ,32566.821 ,33146.891 ,33622.390 ,34068.316 ,34590.226 ,35264.898 ,36120.288 ,37136.848 ,38285.883 ,39518.801 ,40800.343 ,42120.730 ,43493.283 ,44932.064 ,46458.913 ,48086.516 ,49821.083 ,51647.768 ,53532.956 ,55431.123 ,57309.880 ,59155.148 ,60976.450 ,62794.151 ,64640.054 ,66537.331 ,68492.257 ,70497.192 ,72545.144 ,74624.405 ,76727.083 ,78850.689 ,81000.409 ,83184.892 ,85416.253 ,87702.670 ,90046.756 ,92444.183 ,94887.724 ,97366.774 ,99873.033 ,102336.503 ,104806.948 ,107282.213 ,109759.968 ,112237.688 ,114712.679 ,117182.068 ,119642.828 ,122091.911 ,124526.391 ,126943.762 ,129342.140 ,131720.292 ,134077.469 ,136412.601 ,138724.223 ,141010.243 ,143268.254 ,145495.583 ,147689.970 ,149849.462 ,151972.948 ,154060.014 ,156110.724 ,158124.716 ,160100.867 ,162037.372 ,163932.260 ,165783.306 ,167588.479 ,169346.297 ,171055.492 ,172714.523 ,174321.845 ,175876.015 ,177375.755 ,178819.814 ,180206.805 ,181535.351 ,182804.224 ,184012.380 ,185158.994 ,186243.406 ,187265.122 ,188223.633 ,189118.514 ,189949.227 ,190715.052 ,191415.261 ,192049.347 ,192617.150 ,193118.842 ,193554.829 ,193925.721 ,194232.142 ,194474.730 ,194654.006 ,194770.447 ,194824.519 ,194816.954 ,194748.622 ,194620.886 ,194435.555 ,194194.785 ,193900.584 ,193554.504 ,193157.967 ,192712.626 ,192220.148 ,191682.220 ,191100.403 ,190476.394 ,189812.202 ,189109.984 ,188371.685 ,187598.983 ,186793.276 ,185955.811 ,185087.752 ,184190.305 ,183264.722 ,182312.318 ,181334.507 ,180332.775 ,179308.678 
Kenya,6076.758 ,6240.163 ,6412.363 ,6593.109 ,6782.287 ,6979.931 ,7186.211 ,7401.421 ,7625.995 ,7860.475 ,8105.440 ,8361.441 ,8628.972 ,8908.422 ,9200.157 ,9504.703 ,9822.499 ,10154.484 ,10502.245 ,10867.716 ,11252.492 ,11657.514 ,12083.188 ,12529.852 ,12997.595 ,13486.629 ,13996.704 ,14528.293 ,15082.994 ,15662.852 ,16268.990 ,16901.677 ,17559.430 ,18239.404 ,18937.738 ,19651.225 ,20378.626 ,21119.318 ,21871.442 ,22633.022 ,23402.507 ,24179.598 ,24963.953 ,25754.114 ,26548.486 ,27346.456 ,28147.734 ,28954.114 ,29769.803 ,30600.397 ,31450.483 ,32321.482 ,33214.009 ,34130.852 ,35074.931 ,36048.288 ,37052.050 ,38085.909 ,39148.416 ,40237.204 ,41350.152 ,42486.839 ,43646.629 ,44826.849 ,46024.250 ,47236.259 ,48436.768 ,49643.914 ,50857.703 ,52078.122 ,53305.118 ,54538.636 ,55778.579 ,57024.802 ,58277.112 ,59535.199 ,60798.536 ,62066.351 ,63337.595 ,64611.013 ,65885.346 ,67159.674 ,68432.971 ,69703.666 ,70969.998 ,72230.391 ,73483.736 ,74729.019 ,75964.994 ,77190.425 ,78404.189 ,79605.202 ,80792.646 ,81966.020 ,83125.021 ,84269.199 ,85397.892 ,86510.231 ,87605.386 ,88682.470 ,89740.676 ,90779.325 ,91797.840 ,92795.580 ,93771.931 ,94726.314 ,95658.178 ,96567.026 ,97452.374 ,98313.844 ,99150.994 ,99963.408 ,100750.687 ,101512.525 ,102248.676 ,102958.856 ,103642.850 ,104300.312 ,104930.752 ,105533.616 ,106108.496 ,106655.156 ,107173.571 ,107663.763 ,108125.837 ,108559.919 ,108966.013 ,109344.147 ,109694.559 ,110017.518 ,110313.279 ,110582.107 ,110824.150 ,111039.461 ,111228.023 ,111389.943 ,111525.458 ,111634.982 ,111719.121 ,111778.587 ,111814.020 ,111825.934 ,111814.724 ,111780.739 ,111724.329 ,111645.897 ,111545.954 ,111425.054 ,111283.895 ,111123.251 ,110943.982 
Madagascar,4083.554 ,4168.386 ,4256.770 ,4348.720 ,4444.288 ,4543.542 ,4646.576 ,4753.523 ,4864.524 ,4979.753 ,5099.373 ,5223.568 ,5352.503 ,5486.319 ,5625.164 ,5769.218 ,5918.595 ,6073.526 ,6234.465 ,6401.921 ,6576.305 ,6757.850 ,6946.620 ,7142.627 ,7345.780 ,7556.026 ,7773.449 ,7998.164 ,8230.218 ,8469.672 ,8716.553 ,8971.345 ,9234.129 ,9504.281 ,9780.872 ,10063.495 ,10352.120 ,10647.754 ,10952.395 ,11268.658 ,11598.633 ,11942.819 ,12301.336 ,12675.460 ,13066.543 ,13475.400 ,13902.688 ,14347.854 ,14808.791 ,15282.521 ,15766.806 ,16260.932 ,16765.117 ,17279.141 ,17802.997 ,18336.724 ,18880.268 ,19433.523 ,19996.469 ,20569.121 ,21151.640 ,21743.949 ,22346.573 ,22961.146 ,23589.801 ,24234.088 ,24880.226 ,25538.704 ,26208.443 ,26888.519 ,27578.089 ,28276.420 ,28982.912 ,29697.023 ,30418.301 ,31146.296 ,31880.465 ,32620.102 ,33364.332 ,34112.172 ,34862.796 ,35615.625 ,36370.288 ,37126.435 ,37883.839 ,38642.256 ,39401.273 ,40160.555 ,40920.014 ,41679.632 ,42439.332 ,43198.842 ,43957.805 ,44715.973 ,45473.049 ,46228.728 ,46982.641 ,47734.406 ,48483.665 ,49230.036 ,49973.089 ,50712.443 ,51447.590 ,52177.794 ,52902.268 ,53620.263 ,54331.265 ,55034.863 ,55730.598 ,56418.030 ,57096.758 ,57766.318 ,58426.263 ,59076.293 ,59716.108 ,60345.383 ,60963.820 ,61571.031 ,62166.502 ,62749.650 ,63320.036 ,63877.276 ,64421.190 ,64951.715 ,65468.875 ,65972.659 ,66462.906 ,66939.361 ,67401.791 ,67849.937 ,68283.571 ,68702.568 ,69106.809 ,69496.119 ,69870.325 ,70229.281 ,70572.837 ,70900.952 ,71213.761 ,71511.476 ,71794.248 ,72062.043 ,72314.746 ,72552.149 ,72774.039 ,72980.227 ,73170.563 ,73344.969 ,73503.414 ,73645.955 ,73772.661 
