"Region, subregion, country or area *",1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
WORLD,2536274.721 ,2583816.786 ,2630584.384 ,2677230.358 ,2724302.468 ,2772242.535 ,2821383.444 ,2871952.278 ,2924081.243 ,2977824.686 ,3033212.527 ,3090305.279 ,3149244.245 ,3210271.352 ,3273670.772 ,3339592.688 ,3408121.405 ,3479053.821 ,3551880.700 ,3625905.514 ,3700577.650 ,3775790.900 ,3851545.181 ,3927538.695 ,4003448.151 ,4079087.198 ,4154287.594 ,4229201.257 ,4304377.112 ,4380585.755 ,4458411.534 ,4537845.777 ,4618776.168 ,4701530.843 ,4786483.862 ,4873781.796 ,4963633.228 ,5055636.132 ,5148556.956 ,5240735.117 ,5330943.460 ,5418758.803 ,5504401.149 ,5588094.837 ,5670319.703 ,5751474.416 ,5831565.020 ,5910566.295 ,5988846.103 ,6066867.391 ,6145006.989 ,6223412.158 ,6302149.639 ,6381408.987 ,6461370.865 ,6542159.383 ,6623847.913 ,6706418.593 ,6789771.253 ,6873741.054 ,6958169.159 ,7043008.586 ,7128176.935 ,7213426.452 ,7298453.033 ,7383008.820 ,7476053.631 ,7571259.156 ,7668093.338 ,7766124.032 ,7865018.659 ,7964548.504 ,8064584.649 ,8165084.011 ,8266066.859 ,8367547.932 ,8469463.660 ,8571608.326 ,8673606.754 ,8774992.023 ,8875432.903 ,8974792.089 ,9073155.139 ,9170703.672 ,9267733.375 ,9364490.721 ,9461032.808 ,9557381.222 ,9653714.802 ,9750240.541 ,9847129.011 ,9944468.537 ,10042309.956 ,10140733.844 ,10239810.064 ,10339587.097 ,10440102.500 ,10541359.818 ,10643322.099 ,10745925.649 ,10849107.460 ,10952856.871 ,11057142.049 ,11161849.515 ,11266838.080 ,11371996.809 ,11477284.549 ,11582693.995 ,11688193.044 ,11793759.211 ,11899382.361 ,12005055.751 ,12110794.542 ,12216646.447 ,12322677.548 ,12428951.732 ,12535499.137 ,12642357.013 ,12749606.345 ,12857342.121 ,12965645.028 ,13074559.236 ,13184116.031 ,13294366.937 ,13405362.275 ,13517141.317 ,13629727.693 ,13743132.581 ,13857362.008 ,13972413.932 ,14088280.438 ,14204954.700 ,14322419.334 ,14440638.073 ,14559563.944 ,14679150.158 ,14799366.896 ,14920179.039 ,15041525.577 ,15163336.714 ,15285550.227 ,15408117.508 ,15531000.699 ,15654169.122 ,15777593.262 ,15901239.679 ,16025070.420 ,16149040.619 ,16273099.129 ,16397188.424 ,16521244.912 
AFRICA,228670.019 ,233277.049 ,238113.121 ,243177.791 ,248471.497 ,253995.025 ,259750.195 ,265739.281 ,271965.261 ,278431.545 ,285142.006 ,292100.079 ,299309.231 ,306772.112 ,314491.391 ,322470.634 ,330720.407 ,339247.878 ,348049.881 ,357119.794 ,366458.929 ,376067.257 ,385965.161 ,396198.875 ,406828.206 ,417898.074 ,429424.761 ,441404.179 ,453834.792 ,466707.331 ,480012.209 ,493747.699 ,507910.465 ,522485.550 ,537453.703 ,552796.228 ,568505.611 ,584569.186 ,600956.701 ,617632.012 ,634567.044 ,651763.106 ,669221.342 ,686916.862 ,704820.799 ,722921.961 ,741220.519 ,759752.789 ,778592.236 ,797836.027 ,817566.004 ,837820.928 ,858622.597 ,880016.866 ,902048.601 ,924757.708 ,948156.166 ,972265.961 ,997144.670 ,1022858.654 ,1049446.344 ,1076933.813 ,1105285.268 ,1134398.192 ,1164129.789 ,1194369.908 ,1226509.733 ,1259602.710 ,1293584.073 ,1328405.157 ,1364033.709 ,1400454.202 ,1437667.388 ,1475687.571 ,1514538.605 ,1554240.566 ,1594796.676 ,1636181.008 ,1678333.483 ,1721174.473 ,1764647.300 ,1808728.869 ,1853435.324 ,1898798.724 ,1944869.813 ,1991687.625 ,2039257.900 ,2087573.490 ,2136645.507 ,2186484.774 ,2237098.670 ,2288489.986 ,2340657.306 ,2393596.647 ,2447301.367 ,2501763.422 ,2556974.936 ,2612926.582 ,2669605.288 ,2726996.235 ,2785082.798 ,2843853.540 ,2903291.370 ,2963366.920 ,3024046.033 ,3085299.652 ,3147108.725 ,3209461.695 ,3272345.806 ,3335751.365 ,3399668.098 ,3464082.410 ,3528981.027 ,3594355.704 ,3660199.069 ,3726503.648 ,3793258.606 ,3860452.664 ,3928076.707 ,3996121.862 ,4064578.621 ,4133435.304 ,4202680.083 ,4272303.470 ,4342296.370 ,4412648.083 ,4483345.182 ,4554372.402 ,4625713.307 ,4697350.352 ,4769265.639 ,4841442.488 ,4913863.329 ,4986507.459 ,5059352.886 ,5132378.141 ,5205565.027 ,5278894.917 ,5352345.713 ,5425894.426 ,5499519.470 ,5573201.990 ,5646925.059 ,5720673.232 ,5794431.746 ,5868185.605 ,5941919.666 ,6015618.037 ,6089264.449 ,6162841.940 ,6236333.256 
Eastern Africa,66758.254 ,68208.356 ,69711.520 ,71272.418 ,72895.738 ,74585.806 ,76346.981 ,78183.385 ,80098.967 ,82097.498 ,84182.469 ,86356.934 ,88623.624 ,90984.649 ,93441.751 ,95996.653 ,98653.151 ,101413.366 ,104275.291 ,107235.237 ,110292.070 ,113445.206 ,116700.014 ,120068.437 ,123566.004 ,127204.270 ,130990.072 ,134922.280 ,138994.306 ,143195.464 ,147518.890 ,151952.438 ,156499.895 ,161188.537 ,166055.965 ,171123.080 ,176421.561 ,181929.187 ,187549.420 ,193150.021 ,198645.937 ,203990.506 ,209239.376 ,214535.842 ,220081.611 ,226021.034 ,232413.444 ,239215.718 ,246345.989 ,253675.516 ,261113.890 ,268638.612 ,276291.511 ,284122.793 ,292207.492 ,300599.706 ,309313.054 ,318329.032 ,327631.032 ,337191.043 ,346987.498 ,357015.563 ,367279.164 ,377775.443 ,388502.716 ,399458.026 ,411120.475 ,423169.413 ,435575.227 ,448315.487 ,461375.021 ,474745.962 ,488427.665 ,502425.482 ,516748.759 ,531404.917 ,546393.427 ,561700.058 ,577294.711 ,593138.165 ,609201.369 ,625472.849 ,641956.978 ,658660.418 ,675596.606 ,692776.440 ,710199.592 ,727864.472 ,745779.752 ,763956.303 ,782402.535 ,801120.724 ,820110.750 ,839374.976 ,858915.392 ,878732.386 ,898824.531 ,919188.455 ,939818.999 ,960709.505 ,981852.590 ,1003243.543 ,1024875.302 ,1046735.078 ,1068807.881 ,1091080.527 ,1113545.463 ,1136196.695 ,1159024.842 ,1182020.430 ,1205175.471 ,1228483.075 ,1251939.222 ,1275542.864 ,1299294.882 ,1323195.352 ,1347240.899 ,1371427.395 ,1395753.348 ,1420217.596 ,1444818.408 ,1469552.453 ,1494416.060 ,1519406.460 ,1544521.042 ,1569756.417 ,1595108.266 ,1620571.296 ,1646139.100 ,1671804.518 ,1697560.505 ,1723401.820 ,1749322.423 ,1775313.507 ,1801365.258 ,1827469.116 ,1853618.338 ,1879808.223 ,1906034.618 ,1932294.528 ,1958584.266 ,1984899.400 ,2011234.707 ,2037584.475 ,2063943.315 ,2090306.073 ,2116668.493 ,2143026.845 ,2169378.265 ,2195720.539 ,2222052.278 
Burundi,2308.920 ,2359.123 ,2403.511 ,2445.420 ,2487.390 ,2531.184 ,2577.735 ,2627.233 ,2679.141 ,2732.438 ,2786.106 ,2839.666 ,2893.669 ,2949.926 ,3010.859 ,3077.876 ,3152.723 ,3234.023 ,3316.233 ,3391.753 ,3455.606 ,3505.391 ,3544.047 ,3578.490 ,3618.585 ,3671.494 ,3739.659 ,3821.194 ,3913.768 ,4013.310 ,4116.817 ,4223.195 ,4333.386 ,4448.728 ,4571.292 ,4702.066 ,4841.565 ,4987.736 ,5135.956 ,5280.024 ,5415.415 ,5542.048 ,5661.139 ,5771.398 ,5871.607 ,5962.058 ,6041.112 ,6112.097 ,6186.352 ,6278.940 ,6400.706 ,6555.829 ,6741.569 ,6953.113 ,7182.451 ,7423.289 ,7675.338 ,7939.573 ,8212.264 ,8489.031 ,8766.930 ,9043.508 ,9319.710 ,9600.186 ,9891.790 ,10199.270 ,10546.742 ,10904.487 ,11271.870 ,11648.305 ,12033.345 ,12426.576 ,12827.702 ,13236.480 ,13652.815 ,14076.618 ,14507.938 ,14946.872 ,15393.611 ,15848.433 ,16311.692 ,16783.536 ,17264.448 ,17755.494 ,18258.030 ,18773.137 ,19301.238 ,19842.465 ,20397.201 ,20965.785 ,21548.388 ,22145.178 ,22756.036 ,23380.611 ,24018.348 ,24668.729 ,25331.549 ,26006.505 ,26692.890 ,27389.878 ,28096.738 ,28813.159 ,29538.931 ,30273.589 ,31016.681 ,31767.866 ,32526.953 ,33293.987 ,34069.214 ,34853.045 ,35645.837 ,36447.625 ,37258.515 ,38079.053 ,38909.950 ,39751.712 ,40604.464 ,41468.125 ,42342.671 ,43227.984 ,44123.903 ,45030.276 ,45946.858 ,46873.259 ,47808.977 ,48753.541 ,49706.657 ,50667.916 ,51636.412 ,52611.089 ,53591.082 ,54575.881 ,55565.304 ,56559.310 ,57558.014 ,58561.438 ,59569.428 ,60581.710 ,61598.014 ,62618.101 ,63641.763 ,64668.879 ,65699.426 ,66733.411 ,67770.897 ,68811.932 ,69856.559 ,70904.820 ,71956.735 ,73012.305 ,74071.534 
Comoros,159.459 ,163.139 ,166.541 ,169.752 ,172.853 ,175.903 ,178.946 ,181.992 ,185.043 ,188.097 ,191.121 ,194.139 ,197.198 ,200.372 ,203.753 ,207.424 ,211.478 ,215.897 ,220.575 ,225.325 ,230.054 ,234.644 ,239.235 ,244.208 ,250.104 ,257.290 ,265.953 ,275.900 ,286.634 ,297.447 ,307.829 ,317.606 ,326.946 ,336.096 ,345.466 ,355.337 ,365.760 ,376.654 ,387.963 ,399.632 ,411.594 ,423.872 ,436.448 ,449.274 ,462.277 ,475.394 ,488.627 ,501.953 ,515.385 ,528.848 ,542.357 ,555.888 ,569.479 ,583.211 ,597.228 ,611.627 ,626.425 ,641.620 ,657.229 ,673.252 ,689.692 ,706.569 ,723.868 ,741.500 ,759.385 ,777.424 ,796.476 ,816.004 ,835.950 ,856.268 ,876.933 ,897.925 ,919.213 ,940.834 ,962.765 ,985.028 ,1007.610 ,1030.487 ,1053.628 ,1076.953 ,1100.458 ,1124.096 ,1147.883 ,1171.851 ,1196.015 ,1220.429 ,1245.070 ,1269.955 ,1295.082 ,1320.451 ,1346.085 ,1371.978 ,1398.128 ,1424.542 ,1451.216 ,1478.145 ,1505.322 ,1532.755 ,1560.427 ,1588.321 ,1616.429 ,1644.741 ,1673.238 ,1701.932 ,1730.768 ,1759.742 ,1788.848 ,1818.073 ,1847.408 ,1876.823 ,1906.319 ,1935.869 ,1965.490 ,1995.170 ,2024.938 ,2054.792 ,2084.736 ,2114.766 ,2144.861 ,2175.020 ,2205.240 ,2235.493 ,2265.794 ,2296.134 ,2326.510 ,2356.936 ,2387.392 ,2417.872 ,2448.376 ,2478.875 ,2509.392 ,2539.906 ,2570.411 ,2600.882 ,2631.297 ,2661.638 ,2691.900 ,2722.070 ,2752.151 ,2782.133 ,2812.028 ,2841.816 ,2871.492 ,2901.056 ,2930.507 ,2959.823 ,2989.013 ,3018.078 ,3047.011 ,3075.818 ,3104.511 
Djibouti,62.001 ,63.306 ,64.750 ,66.269 ,67.872 ,69.589 ,71.497 ,73.702 ,76.353 ,79.612 ,83.636 ,88.498 ,94.204 ,100.628 ,107.583 ,114.963 ,122.866 ,131.397 ,140.462 ,149.887 ,159.659 ,169.372 ,179.224 ,190.568 ,205.181 ,224.183 ,248.556 ,277.479 ,308.008 ,336.085 ,358.960 ,374.937 ,385.271 ,393.802 ,406.017 ,425.613 ,454.361 ,490.330 ,528.999 ,563.864 ,590.398 ,606.844 ,615.054 ,618.495 ,622.366 ,630.388 ,643.682 ,660.953 ,680.612 ,700.099 ,717.584 ,732.711 ,746.221 ,758.615 ,770.752 ,783.254 ,796.208 ,809.402 ,822.934 ,836.840 ,851.146 ,865.937 ,881.185 ,896.688 ,912.164 ,927.414 ,943.148 ,959.278 ,975.699 ,992.334 ,1009.115 ,1026.010 ,1042.983 ,1060.022 ,1077.120 ,1094.273 ,1111.462 ,1128.632 ,1145.702 ,1162.571 ,1179.149 ,1195.418 ,1211.350 ,1226.961 ,1242.273 ,1257.292 ,1272.016 ,1286.438 ,1300.585 ,1314.449 ,1328.055 ,1341.420 ,1354.548 ,1367.450 ,1380.189 ,1392.767 ,1405.213 ,1417.509 ,1429.692 ,1441.768 ,1453.762 ,1465.668 ,1477.487 ,1489.208 ,1500.816 ,1512.304 ,1523.667 ,1534.906 ,1545.973 ,1556.853 ,1567.505 ,1577.931 ,1588.117 ,1598.068 ,1607.753 ,1617.200 ,1626.382 ,1635.317 ,1644.011 ,1652.472 ,1660.714 ,1668.744 ,1676.584 ,1684.272 ,1691.826 ,1699.304 ,1706.716 ,1714.070 ,1721.402 ,1728.745 ,1736.098 ,1743.500 ,1750.943 ,1758.450 ,1766.034 ,1773.704 ,1781.454 ,1789.293 ,1797.202 ,1805.156 ,1813.138 ,1821.125 ,1829.119 ,1837.110 ,1845.100 ,1853.072 ,1861.025 ,1868.943 ,1876.776 ,1884.511 ,1892.109 
Eritrea,1142.148 ,1159.798 ,1179.537 ,1201.124 ,1224.384 ,1249.193 ,1275.534 ,1303.420 ,1332.953 ,1364.276 ,1397.491 ,1432.640 ,1469.645 ,1508.273 ,1548.187 ,1589.179 ,1631.147 ,1674.204 ,1718.525 ,1764.343 ,1811.878 ,1861.199 ,1912.302 ,1965.160 ,2019.717 ,2075.965 ,2133.723 ,2193.068 ,2254.450 ,2318.495 ,2385.540 ,2454.766 ,2525.521 ,2598.410 ,2674.289 ,2753.151 ,2837.111 ,2924.349 ,3006.361 ,3071.771 ,3113.311 ,3127.297 ,3118.582 ,3099.047 ,3085.443 ,3090.159 ,3116.379 ,3161.350 ,3224.223 ,3302.263 ,3392.801 ,3497.124 ,3614.639 ,3738.265 ,3858.623 ,3969.007 ,4066.648 ,4153.332 ,4232.636 ,4310.334 ,4390.840 ,4474.690 ,4560.977 ,4650.998 ,4746.045 ,4846.976 ,4966.976 ,5090.418 ,5217.166 ,5347.119 ,5480.198 ,5616.341 ,5755.528 ,5897.734 ,6042.960 ,6191.203 ,6342.430 ,6496.555 ,6653.440 ,6812.913 ,6974.836 ,7139.126 ,7305.732 ,7474.687 ,7646.051 ,7819.846 ,7996.034 ,8174.507 ,8355.125 ,8537.742 ,8722.212 ,8908.457 ,9096.425 ,9286.003 ,9477.082 ,9669.563 ,9863.372 ,10058.464 ,10254.832 ,10452.480 ,10651.422 ,10851.602 ,11052.974 ,11255.484 ,11459.092 ,11663.742 ,11869.403 ,12076.006 ,12283.501 ,12491.830 ,12700.927 ,12910.731 ,13121.190 ,13332.248 ,13543.830 ,13755.879 ,13968.355 ,14181.198 ,14394.303 ,14607.564 ,14820.903 ,15034.252 ,15247.590 ,15460.910 ,15674.248 ,15887.607 ,16100.938 ,16314.227 ,16527.472 ,16740.699 ,16953.897 ,17167.044 ,17380.116 ,17593.056 ,17805.820 ,18018.335 ,18230.580 ,18442.519 ,18654.096 ,18865.273 ,19075.995 ,19286.226 ,19495.931 ,19705.074 ,19913.638 ,20121.584 ,20328.874 ,20535.500 ,20741.395 ,20946.541 ,21150.897 
Ethiopia,18128.034 ,18466.968 ,18819.700 ,19184.292 ,19560.016 ,19947.292 ,20347.813 ,20764.450 ,21201.034 ,21661.996 ,22151.278 ,22671.190 ,23221.389 ,23798.429 ,24397.024 ,25013.626 ,25641.376 ,26281.208 ,26946.079 ,27654.161 ,28415.077 ,29245.207 ,30132.580 ,31025.115 ,31851.708 ,32566.821 ,33146.891 ,33622.390 ,34068.316 ,34590.226 ,35264.898 ,36120.288 ,37136.848 ,38285.883 ,39518.801 ,40800.343 ,42120.730 ,43493.283 ,44932.064 ,46458.913 ,48086.516 ,49821.083 ,51647.768 ,53532.956 ,55431.123 ,57309.880 ,59155.148 ,60976.450 ,62794.151 ,64640.054 ,66537.331 ,68492.257 ,70497.192 ,72545.144 ,74624.405 ,76727.083 ,78850.689 ,81000.409 ,83184.892 ,85416.253 ,87702.670 ,90046.756 ,92444.183 ,94887.724 ,97366.774 ,99873.033 ,102502.807 ,105213.365 ,107994.509 ,110837.816 ,113736.616 ,116686.059 ,119683.063 ,122726.026 ,125814.419 ,128947.423 ,132122.580 ,135334.591 ,138574.685 ,141832.234 ,145099.034 ,148371.041 ,151647.875 ,154929.705 ,158218.372 ,161515.340 ,164819.482 ,168129.876 ,171448.770 ,174779.368 ,178123.996 ,181482.879 ,184855.338 ,188241.498 ,191641.312 ,195054.385 ,198480.110 ,201917.345 ,205364.315 ,208818.800 ,212278.550 ,215742.021 ,219207.357 ,222671.529 ,226131.104 ,229583.014 ,233025.224 ,236455.968 ,239872.744 ,243273.045 ,246654.667 ,250016.052 ,253355.999 ,256673.283 ,259966.862 ,263235.953 ,266479.647 ,269697.572 ,272890.238 ,276058.605 ,279203.406 ,282324.776 ,285422.492 ,288496.629 ,291547.247 ,294574.439 ,297578.192 ,300558.751 ,303516.885 ,306453.550 ,309369.421 ,312265.003 ,315140.074 ,317993.688 ,320824.448 ,323631.444 ,326414.492 ,329174.172 ,331911.274 ,334626.946 ,337322.104 ,339997.306 ,342652.758 ,345288.487 ,347904.555 ,350501.152 ,353078.728 ,355637.957 ,358179.802 ,360705.485 ,363216.455 
Kenya,6076.758 ,6240.163 ,6412.363 ,6593.109 ,6782.287 ,6979.931 ,7186.211 ,7401.421 ,7625.995 ,7860.475 ,8105.440 ,8361.441 ,8628.972 ,8908.422 ,9200.157 ,9504.703 ,9822.499 ,10154.484 ,10502.245 ,10867.716 ,11252.492 ,11657.514 ,12083.188 ,12529.852 ,12997.595 ,13486.629 ,13996.704 ,14528.293 ,15082.994 ,15662.852 ,16268.990 ,16901.677 ,17559.430 ,18239.404 ,18937.738 ,19651.225 ,20378.626 ,21119.318 ,21871.442 ,22633.022 ,23402.507 ,24179.598 ,24963.953 ,25754.114 ,26548.486 ,27346.456 ,28147.734 ,28954.114 ,29769.803 ,30600.397 ,31450.483 ,32321.482 ,33214.009 ,34130.852 ,35074.931 ,36048.288 ,37052.050 ,38085.909 ,39148.416 ,40237.204 ,41350.152 ,42486.839 ,43646.629 ,44826.849 ,46024.250 ,47236.259 ,48521.547 ,49841.670 ,51193.485 ,52574.657 ,53983.709 ,55420.022 ,56883.845 ,58376.089 ,59898.109 ,61450.945 ,63034.513 ,64646.928 ,66284.197 ,67941.050 ,69613.462 ,71299.735 ,73000.004 ,74714.332 ,76443.495 ,78188.019 ,79947.541 ,81721.446 ,83509.961 ,85313.452 ,87132.228 ,88966.084 ,90814.986 ,92679.647 ,94561.028 ,96459.696 ,98375.524 ,100307.880 ,102256.022 ,104218.937 ,106195.604 ,108185.422 ,110187.529 ,112200.432 ,114222.322 ,116251.633 ,118287.326 ,120328.615 ,122374.416 ,124423.687 ,126475.473 ,128528.896 ,130583.219 ,132637.872 ,134692.350 ,136746.212 ,138798.948 ,140850.002 ,142898.747 ,144944.548 ,146986.873 ,149025.293 ,151059.628 ,153089.995 ,155116.691 ,157139.906 ,159159.361 ,161174.754 ,163186.140 ,165193.666 ,167197.288 ,169196.893 ,171191.962 ,173181.529 ,175164.328 ,177139.360 ,179106.096 ,181064.371 ,183013.914 ,184954.593 ,186886.230 ,188808.597 ,190721.417 ,192624.388 ,194517.241 ,196399.792 ,198271.922 ,200133.606 ,201984.905 ,203826.010 ,205657.146 
Madagascar,4083.554 ,4168.386 ,4256.770 ,4348.720 ,4444.288 ,4543.542 ,4646.576 ,4753.523 ,4864.524 ,4979.753 ,5099.373 ,5223.568 ,5352.503 ,5486.319 ,5625.164 ,5769.218 ,5918.595 ,6073.526 ,6234.465 ,6401.921 ,6576.305 ,6757.850 ,6946.620 ,7142.627 ,7345.780 ,7556.026 ,7773.449 ,7998.164 ,8230.218 ,8469.672 ,8716.553 ,8971.345 ,9234.129 ,9504.281 ,9780.872 ,10063.495 ,10352.120 ,10647.754 ,10952.395 ,11268.658 ,11598.633 ,11942.819 ,12301.336 ,12675.460 ,13066.543 ,13475.400 ,13902.688 ,14347.854 ,14808.791 ,15282.521 ,15766.806 ,16260.932 ,16765.117 ,17279.141 ,17802.997 ,18336.724 ,18880.268 ,19433.523 ,19996.469 ,20569.121 ,21151.640 ,21743.949 ,22346.573 ,22961.146 ,23589.801 ,24234.088 ,24920.170 ,25636.673 ,26380.501 ,27149.138 ,27940.715 ,28753.944 ,29588.150 ,30443.210 ,31319.322 ,32216.644 ,33134.799 ,34072.441 ,35027.119 ,35995.759 ,36976.120 ,37967.282 ,38969.621 ,39983.891 ,41011.468 ,42053.509 ,43110.173 ,44181.524 ,45268.664 ,46372.925 ,47495.396 ,48636.483 ,49796.367 ,50975.576 ,52174.605 ,53393.752 ,54633.138 ,55892.557 ,57171.574 ,58469.514 ,59785.707 ,61119.864 ,62471.558 ,63839.703 ,65223.007 ,66620.395 ,68031.329 ,69455.490 ,70892.440 ,72341.781 ,73803.223 ,75276.371 ,76761.014 ,78257.253 ,79765.359 ,81285.484 ,82817.540 ,84361.328 ,85916.777 ,87483.846 ,89062.441 ,90652.331 ,92253.375 ,93865.588 ,95489.093 ,97123.812 ,98769.563 ,100425.868 ,102092.037 ,103767.185 ,105450.562 ,107141.739 ,108840.338 ,110545.657 ,112256.983 ,113973.687 ,115695.238 ,117421.333 ,119151.895 ,120887.010 ,122626.614 ,124370.476 ,126118.193 ,127869.246 ,129623.136 ,131379.391 ,133137.664 ,134897.686 ,136659.310 ,138422.484 ,140187.275 
