"Region, subregion, country or area *",1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
WORLD,2536274.721 ,2583816.786 ,2630584.384 ,2677230.358 ,2724302.468 ,2772242.535 ,2821383.444 ,2871952.278 ,2924081.243 ,2977824.686 ,3033212.527 ,3090305.279 ,3149244.245 ,3210271.352 ,3273670.772 ,3339592.688 ,3408121.405 ,3479053.821 ,3551880.700 ,3625905.514 ,3700577.650 ,3775790.900 ,3851545.181 ,3927538.695 ,4003448.151 ,4079087.198 ,4154287.594 ,4229201.257 ,4304377.112 ,4380585.755 ,4458411.534 ,4537845.777 ,4618776.168 ,4701530.843 ,4786483.862 ,4873781.796 ,4963633.228 ,5055636.132 ,5148556.956 ,5240735.117 ,5330943.460 ,5418758.803 ,5504401.149 ,5588094.837 ,5670319.703 ,5751474.416 ,5831565.020 ,5910566.295 ,5988846.103 ,6066867.391 ,6145006.989 ,6223412.158 ,6302149.639 ,6381408.987 ,6461370.865 ,6542159.383 ,6623847.913 ,6706418.593 ,6789771.253 ,6873741.054 ,6958169.159 ,7043008.586 ,7128176.935 ,7213426.452 ,7298453.033 ,7383008.820 ,7457775.926 ,7528083.778 ,7595171.090 ,7660906.287 ,7726666.102 ,7792803.803 ,7858946.410 ,7924877.480 ,7990153.352 ,8054447.005 ,8117758.937 ,8180243.214 ,8241888.900 ,8302692.145 ,8362634.726 ,8421699.525 ,8479831.419 ,8536928.334 ,8592864.083 ,8647539.953 ,8700918.677 ,8752995.449 ,8803746.140 ,8853157.273 ,8901225.171 ,8947933.720 ,8993294.375 ,9037370.255 ,9080248.568 ,9121998.637 ,9162647.927 ,9202200.341 ,9240674.940 ,9278085.712 ,9314445.944 ,9349780.842 ,9384108.133 ,9417425.022 ,9449721.584 ,9480996.445 ,9511261.677 ,9540543.875 ,9568874.895 ,9596293.710 ,9622835.011 ,9648525.222 ,9673383.924 ,9697432.059 ,9720688.732 ,9743175.794 ,9764920.770 ,9785954.150 ,9806304.980 ,9826003.081 ,9845080.071 ,9863568.789 ,9881504.068 ,9898920.722 ,9915855.349 ,9932345.585 ,9948424.722 ,9964132.145 ,9979521.073 ,9994649.799 ,10009570.328 ,10024317.594 ,10038920.661 ,10053416.987 ,10067842.943 ,10082229.433 ,10096604.011 ,10110985.039 ,10125380.919 ,10139793.081 ,10154225.033 ,10168684.736 ,10183183.577 ,10197734.180 ,10212347.642 ,10227031.342 ,10241787.269 ,10256612.035 ,10271497.117 ,10286428.140 ,10301385.744 
AFRICA,228670.019 ,233277.049 ,238113.121 ,243177.791 ,248471.497 ,253995.025 ,259750.195 ,265739.281 ,271965.261 ,278431.545 ,285142.006 ,292100.079 ,299309.231 ,306772.112 ,314491.391 ,322470.634 ,330720.407 ,339247.878 ,348049.881 ,357119.794 ,366458.929 ,376067.257 ,385965.161 ,396198.875 ,406828.206 ,417898.074 ,429424.761 ,441404.179 ,453834.792 ,466707.331 ,480012.209 ,493747.699 ,507910.465 ,522485.550 ,537453.703 ,552796.228 ,568505.611 ,584569.186 ,600956.701 ,617632.012 ,634567.044 ,651763.106 ,669221.342 ,686916.862 ,704820.799 ,722921.961 ,741220.519 ,759752.789 ,778592.236 ,797836.027 ,817566.004 ,837820.928 ,858622.597 ,880016.866 ,902048.601 ,924757.708 ,948156.166 ,972265.961 ,997144.670 ,1022858.654 ,1049446.344 ,1076933.813 ,1105285.268 ,1134398.192 ,1164129.789 ,1194369.908 ,1212582.020 ,1226064.808 ,1236500.265 ,1246375.925 ,1257536.295 ,1270501.301 ,1284840.878 ,1300310.374 ,1316359.781 ,1332589.029 ,1349029.207 ,1365905.511 ,1383211.373 ,1400941.499 ,1419073.304 ,1437577.204 ,1456387.091 ,1475395.457 ,1494469.726 ,1513493.743 ,1532412.661 ,1551177.567 ,1569686.209 ,1587827.562 ,1605515.165 ,1622696.684 ,1639356.160 ,1655493.385 ,1671128.884 ,1686281.814 ,1700947.644 ,1715125.920 ,1728850.563 ,1742167.048 ,1755116.368 ,1767715.183 ,1779980.833 ,1791956.277 ,1803690.714 ,1815223.705 ,1826571.085 ,1837740.691 ,1848751.460 ,1859620.450 ,1870355.860 ,1880963.836 ,1891432.623 ,1901727.426 ,1911800.164 ,1921609.677 ,1931141.469 ,1940384.748 ,1949306.791 ,1957870.848 ,1966048.086 ,1973826.124 ,1981199.989 ,1988159.340 ,1994696.430 ,2000809.355 ,2006498.389 ,2011774.293 ,2016661.480 ,2021193.011 ,2025399.389 ,2029299.425 ,2032910.813 ,2036262.924 ,2039388.377 ,2042317.758 ,2045075.272 ,2047684.170 ,2050172.916 ,2052570.605 ,2054904.575 ,2057198.777 ,2059474.579 ,2061751.346 ,2064047.554 ,2066381.516 ,2068771.608 ,2071236.606 ,2073795.701 ,2076468.338 ,2079274.428 
Eastern Africa,66758.254 ,68208.356 ,69711.520 ,71272.418 ,72895.738 ,74585.806 ,76346.981 ,78183.385 ,80098.967 ,82097.498 ,84182.469 ,86356.934 ,88623.624 ,90984.649 ,93441.751 ,95996.653 ,98653.151 ,101413.366 ,104275.291 ,107235.237 ,110292.070 ,113445.206 ,116700.014 ,120068.437 ,123566.004 ,127204.270 ,130990.072 ,134922.280 ,138994.306 ,143195.464 ,147518.890 ,151952.438 ,156499.895 ,161188.537 ,166055.965 ,171123.080 ,176421.561 ,181929.187 ,187549.420 ,193150.021 ,198645.937 ,203990.506 ,209239.376 ,214535.842 ,220081.611 ,226021.034 ,232413.444 ,239215.718 ,246345.989 ,253675.516 ,261113.890 ,268638.612 ,276291.511 ,284122.793 ,292207.492 ,300599.706 ,309313.054 ,318329.032 ,327631.032 ,337191.043 ,346987.498 ,357015.563 ,367279.164 ,377775.443 ,388502.716 ,399458.026 ,406081.142 ,411026.329 ,414902.821 ,418607.454 ,422805.715 ,427687.795 ,433102.246 ,438962.638 ,445071.825 ,451285.901 ,457615.852 ,464140.940 ,470854.498 ,477748.915 ,484810.726 ,492025.805 ,499367.076 ,506790.373 ,514242.129 ,521674.822 ,529066.409 ,536395.389 ,543616.109 ,550678.191 ,557543.102 ,564190.490 ,570616.622 ,576822.693 ,582819.004 ,588616.638 ,594214.217 ,599617.008 ,604853.155 ,609959.418 ,614966.338 ,619884.853 ,624720.939 ,629493.893 ,634223.881 ,638925.590 ,643606.196 ,648265.423 ,652899.592 ,657500.579 ,662059.357 ,666573.366 ,671035.460 ,675425.254 ,679716.980 ,683888.982 ,687931.969 ,691839.618 ,695597.622 ,699190.961 ,702608.352 ,705843.785 ,708895.845 ,711764.596 ,714452.792 ,716964.426 ,719300.934 ,721466.911 ,723474.490 ,725339.349 ,727075.349 ,728690.592 ,730191.898 ,731590.590 ,732898.678 ,734127.125 ,735284.985 ,736380.021 ,737419.705 ,738410.789 ,739360.169 ,740274.727 ,741161.481 ,742027.471 ,742879.295 ,743723.203 ,744564.822 ,745409.244 ,746260.890 ,747123.700 ,748000.999 
Burundi,2308.920 ,2359.123 ,2403.511 ,2445.420 ,2487.390 ,2531.184 ,2577.735 ,2627.233 ,2679.141 ,2732.438 ,2786.106 ,2839.666 ,2893.669 ,2949.926 ,3010.859 ,3077.876 ,3152.723 ,3234.023 ,3316.233 ,3391.753 ,3455.606 ,3505.391 ,3544.047 ,3578.490 ,3618.585 ,3671.494 ,3739.659 ,3821.194 ,3913.768 ,4013.310 ,4116.817 ,4223.195 ,4333.386 ,4448.728 ,4571.292 ,4702.066 ,4841.565 ,4987.736 ,5135.956 ,5280.024 ,5415.415 ,5542.048 ,5661.139 ,5771.398 ,5871.607 ,5962.058 ,6041.112 ,6112.097 ,6186.352 ,6278.940 ,6400.706 ,6555.829 ,6741.569 ,6953.113 ,7182.451 ,7423.289 ,7675.338 ,7939.573 ,8212.264 ,8489.031 ,8766.930 ,9043.508 ,9319.710 ,9600.186 ,9891.790 ,10199.270 ,10370.226 ,10492.301 ,10582.900 ,10667.544 ,10765.170 ,10881.494 ,11012.285 ,11154.614 ,11302.147 ,11450.405 ,11599.648 ,11752.656 ,11910.185 ,12073.245 ,12242.480 ,12417.618 ,12597.990 ,12783.183 ,12972.693 ,13165.753 ,13362.070 ,13560.557 ,13758.656 ,13953.200 ,14141.683 ,14323.232 ,14497.665 ,14664.195 ,14822.248 ,14971.533 ,15111.638 ,15242.887 ,15366.868 ,15485.788 ,15601.432 ,15714.379 ,15824.806 ,15933.634 ,16041.809 ,16150.047 ,16258.741 ,16368.042 ,16477.971 ,16588.415 ,16699.189 ,16810.238 ,16921.319 ,17031.644 ,17140.188 ,17246.082 ,17348.978 ,17448.594 ,17544.126 ,17634.676 ,17719.561 ,17798.494 ,17871.478 ,17938.516 ,17999.712 ,18055.265 ,18105.245 ,18149.914 ,18190.038 ,18226.604 ,18260.452 ,18291.963 ,18321.458 ,18349.495 ,18376.675 ,18403.524 ,18430.377 ,18457.509 ,18485.074 ,18513.195 ,18541.989 ,18571.534 ,18601.911 ,18633.184 ,18665.360 ,18698.391 ,18732.181 ,18766.552 ,18801.279 ,18836.049 ,18870.498 
Comoros,159.459 ,163.139 ,166.541 ,169.752 ,172.853 ,175.903 ,178.946 ,181.992 ,185.043 ,188.097 ,191.121 ,194.139 ,197.198 ,200.372 ,203.753 ,207.424 ,211.478 ,215.897 ,220.575 ,225.325 ,230.054 ,234.644 ,239.235 ,244.208 ,250.104 ,257.290 ,265.953 ,275.900 ,286.634 ,297.447 ,307.829 ,317.606 ,326.946 ,336.096 ,345.466 ,355.337 ,365.760 ,376.654 ,387.963 ,399.632 ,411.594 ,423.872 ,436.448 ,449.274 ,462.277 ,475.394 ,488.627 ,501.953 ,515.385 ,528.848 ,542.357 ,555.888 ,569.479 ,583.211 ,597.228 ,611.627 ,626.425 ,641.620 ,657.229 ,673.252 ,689.692 ,706.569 ,723.868 ,741.500 ,759.385 ,777.424 ,788.033 ,795.638 ,801.277 ,806.522 ,812.508 ,819.572 ,827.435 ,835.939 ,844.739 ,853.554 ,862.414 ,871.457 ,880.689 ,890.110 ,899.728 ,909.510 ,919.421 ,929.405 ,939.366 ,949.250 ,959.016 ,968.630 ,978.054 ,987.230 ,996.125 ,1004.711 ,1012.954 ,1020.832 ,1028.290 ,1035.331 ,1041.921 ,1048.076 ,1053.819 ,1059.170 ,1064.161 ,1068.801 ,1073.117 ,1077.181 ,1081.077 ,1084.889 ,1088.644 ,1092.333 ,1095.969 ,1099.526 ,1102.991 ,1106.367 ,1109.664 ,1112.852 ,1115.915 ,1118.820 ,1121.560 ,1124.126 ,1126.511 ,1128.679 ,1130.621 ,1132.340 ,1133.821 ,1135.063 ,1136.069 ,1136.841 ,1137.379 ,1137.695 ,1137.804 ,1137.738 ,1137.517 ,1137.146 ,1136.656 ,1136.072 ,1135.407 ,1134.713 ,1133.990 ,1133.261 ,1132.564 ,1131.914 ,1131.337 ,1130.854 ,1130.471 ,1130.204 ,1130.049 ,1130.014 ,1130.096 ,1130.310 ,1130.669 ,1131.163 ,1131.817 
Djibouti,62.001 ,63.306 ,64.750 ,66.269 ,67.872 ,69.589 ,71.497 ,73.702 ,76.353 ,79.612 ,83.636 ,88.498 ,94.204 ,100.628 ,107.583 ,114.963 ,122.866 ,131.397 ,140.462 ,149.887 ,159.659 ,169.372 ,179.224 ,190.568 ,205.181 ,224.183 ,248.556 ,277.479 ,308.008 ,336.085 ,358.960 ,374.937 ,385.271 ,393.802 ,406.017 ,425.613 ,454.361 ,490.330 ,528.999 ,563.864 ,590.398 ,606.844 ,615.054 ,618.495 ,622.366 ,630.388 ,643.682 ,660.953 ,680.612 ,700.099 ,717.584 ,732.711 ,746.221 ,758.615 ,770.752 ,783.254 ,796.208 ,809.402 ,822.934 ,836.840 ,851.146 ,865.937 ,881.185 ,896.688 ,912.164 ,927.414 ,940.215 ,951.884 ,962.860 ,973.773 ,985.088 ,996.946 ,1009.203 ,1021.755 ,1034.424 ,1047.058 ,1059.648 ,1072.252 ,1084.823 ,1097.343 ,1109.773 ,1122.093 ,1134.292 ,1146.327 ,1158.192 ,1169.864 ,1181.320 ,1192.556 ,1203.545 ,1214.274 ,1224.722 ,1234.884 ,1244.759 ,1254.324 ,1263.577 ,1272.517 ,1281.145 ,1289.452 ,1297.463 ,1305.173 ,1312.617 ,1319.778 ,1326.676 ,1333.336 ,1339.792 ,1346.053 ,1352.147 ,1358.071 ,1363.825 ,1369.435 ,1374.895 ,1380.212 ,1385.388 ,1390.412 ,1395.260 ,1399.934 ,1404.425 ,1408.721 ,1412.851 ,1416.783 ,1420.524 ,1424.075 ,1427.438 ,1430.628 ,1433.649 ,1436.514 ,1439.244 ,1441.825 ,1444.301 ,1446.693 ,1449.025 ,1451.313 ,1453.560 ,1455.804 ,1458.060 ,1460.366 ,1462.716 ,1465.130 ,1467.607 ,1470.148 ,1472.762 ,1475.454 ,1478.201 ,1481.023 ,1483.928 ,1486.898 ,1489.927 ,1493.018 ,1496.142 ,1499.303 ,1502.471 
Eritrea,1142.148 ,1159.798 ,1179.537 ,1201.124 ,1224.384 ,1249.193 ,1275.534 ,1303.420 ,1332.953 ,1364.276 ,1397.491 ,1432.640 ,1469.645 ,1508.273 ,1548.187 ,1589.179 ,1631.147 ,1674.204 ,1718.525 ,1764.343 ,1811.878 ,1861.199 ,1912.302 ,1965.160 ,2019.717 ,2075.965 ,2133.723 ,2193.068 ,2254.450 ,2318.495 ,2385.540 ,2454.766 ,2525.521 ,2598.410 ,2674.289 ,2753.151 ,2837.111 ,2924.349 ,3006.361 ,3071.771 ,3113.311 ,3127.297 ,3118.582 ,3099.047 ,3085.443 ,3090.159 ,3116.379 ,3161.350 ,3224.223 ,3302.263 ,3392.801 ,3497.124 ,3614.639 ,3738.265 ,3858.623 ,3969.007 ,4066.648 ,4153.332 ,4232.636 ,4310.334 ,4390.840 ,4474.690 ,4560.977 ,4650.998 ,4746.045 ,4846.976 ,4908.093 ,4956.406 ,4996.891 ,5036.745 ,5081.309 ,5132.220 ,5188.276 ,5248.631 ,5311.457 ,5375.441 ,5440.593 ,5507.628 ,5576.725 ,5648.146 ,5721.998 ,5798.191 ,5876.374 ,5956.117 ,6036.857 ,6118.058 ,6199.482 ,6280.822 ,6361.453 ,6440.666 ,6517.881 ,6592.806 ,6665.305 ,6735.133 ,6802.091 ,6866.060 ,6926.956 ,6984.812 ,7039.879 ,7092.506 ,7143.042 ,7191.569 ,7238.228 ,7283.476 ,7327.866 ,7371.826 ,7415.541 ,7459.032 ,7502.388 ,7545.610 ,7588.670 ,7631.622 ,7674.418 ,7716.846 ,7758.609 ,7799.453 ,7839.293 ,7878.048 ,7915.481 ,7951.340 ,7985.412 ,8017.601 ,8047.896 ,8076.214 ,8102.538 ,8126.865 ,8149.194 ,8169.566 ,8188.121 ,8205.048 ,8220.530 ,8234.628 ,8247.455 ,8259.210 ,8270.101 ,8280.342 ,8290.040 ,8299.293 ,8308.175 ,8316.755 ,8325.095 ,8333.276 ,8341.335 ,8349.333 ,8357.296 ,8365.251 ,8373.212 ,8381.166 ,8389.093 ,8396.955 ,8404.699 
Ethiopia,18128.034 ,18466.968 ,18819.700 ,19184.292 ,19560.016 ,19947.292 ,20347.813 ,20764.450 ,21201.034 ,21661.996 ,22151.278 ,22671.190 ,23221.389 ,23798.429 ,24397.024 ,25013.626 ,25641.376 ,26281.208 ,26946.079 ,27654.161 ,28415.077 ,29245.207 ,30132.580 ,31025.115 ,31851.708 ,32566.821 ,33146.891 ,33622.390 ,34068.316 ,34590.226 ,35264.898 ,36120.288 ,37136.848 ,38285.883 ,39518.801 ,40800.343 ,42120.730 ,43493.283 ,44932.064 ,46458.913 ,48086.516 ,49821.083 ,51647.768 ,53532.956 ,55431.123 ,57309.880 ,59155.148 ,60976.450 ,62794.151 ,64640.054 ,66537.331 ,68492.257 ,70497.192 ,72545.144 ,74624.405 ,76727.083 ,78850.689 ,81000.409 ,83184.892 ,85416.253 ,87702.670 ,90046.756 ,92444.183 ,94887.724 ,97366.774 ,99873.033 ,101471.480 ,102710.220 ,103724.006 ,104710.422 ,105815.762 ,107082.406 ,108476.630 ,109977.104 ,111537.274 ,113122.903 ,114735.456 ,116392.077 ,118090.071 ,119826.552 ,121597.604 ,123399.488 ,125225.928 ,127067.021 ,128910.983 ,130747.475 ,132571.218 ,134377.616 ,136158.045 ,137903.381 ,139606.482 ,141263.131 ,142871.917 ,144432.449 ,145946.002 ,147414.059 ,148836.355 ,150213.700 ,151550.518 ,152852.648 ,154125.237 ,155369.942 ,156588.535 ,157786.502 ,158970.162 ,160144.201 ,161310.612 ,162469.110 ,163618.991 ,164758.408 ,165885.417 ,166999.527 ,168099.487 ,169181.285 ,170239.874 ,171270.873 ,172272.326 ,173242.626 ,174178.326 ,175075.711 ,175931.848 ,176745.377 ,177515.725 ,178241.948 ,178923.463 ,179560.265 ,180152.482 ,180701.298 ,181209.354 ,181680.165 ,182117.027 ,182521.956 ,182896.912 ,183245.260 ,183570.737 ,183876.786 ,184165.956 ,184440.607 ,184703.751 ,184958.453 ,185207.496 ,185453.223 ,185697.596 ,185942.313 ,186188.864 ,186438.743 ,186693.391 ,186954.259 ,187222.807 ,187500.514 ,187788.850 
Kenya,6076.758 ,6240.163 ,6412.363 ,6593.109 ,6782.287 ,6979.931 ,7186.211 ,7401.421 ,7625.995 ,7860.475 ,8105.440 ,8361.441 ,8628.972 ,8908.422 ,9200.157 ,9504.703 ,9822.499 ,10154.484 ,10502.245 ,10867.716 ,11252.492 ,11657.514 ,12083.188 ,12529.852 ,12997.595 ,13486.629 ,13996.704 ,14528.293 ,15082.994 ,15662.852 ,16268.990 ,16901.677 ,17559.430 ,18239.404 ,18937.738 ,19651.225 ,20378.626 ,21119.318 ,21871.442 ,22633.022 ,23402.507 ,24179.598 ,24963.953 ,25754.114 ,26548.486 ,27346.456 ,28147.734 ,28954.114 ,29769.803 ,30600.397 ,31450.483 ,32321.482 ,33214.009 ,34130.852 ,35074.931 ,36048.288 ,37052.050 ,38085.909 ,39148.416 ,40237.204 ,41350.152 ,42486.839 ,43646.629 ,44826.849 ,46024.250 ,47236.259 ,48051.133 ,48708.733 ,49266.100 ,49807.232 ,50394.468 ,51045.418 ,51745.923 ,52488.315 ,53254.716 ,54031.988 ,54821.177 ,55629.271 ,56455.036 ,57296.883 ,58152.822 ,59021.365 ,59899.725 ,60782.878 ,61664.706 ,62540.003 ,63406.318 ,64261.830 ,65102.811 ,65925.414 ,66726.738 ,67504.958 ,68259.707 ,68991.575 ,69702.126 ,70392.790 ,71063.594 ,71714.913 ,72349.204 ,72969.577 ,73578.602 ,74177.211 ,74765.794 ,75345.609 ,75917.875 ,76483.415 ,77042.709 ,77595.653 ,78141.628 ,78679.630 ,79208.665 ,79728.413 ,80238.278 ,80736.618 ,81221.410 ,81690.984 ,82144.598 ,82581.818 ,83001.700 ,83403.319 ,83786.024 ,84149.438 ,84493.545 ,84818.554 ,85124.879 ,85413.031 ,85683.230 ,85935.928 ,86172.174 ,86393.298 ,86600.449 ,86794.391 ,86975.702 ,87145.262 ,87303.869 ,87452.349 ,87591.522 ,87722.127 ,87844.836 ,87960.294 ,88069.154 ,88172.155 ,88270.068 ,88363.699 ,88453.872 ,88541.383 ,88626.998 ,88711.463 ,88795.490 ,88879.763 ,88964.918 
Madagascar,4083.554 ,4168.386 ,4256.770 ,4348.720 ,4444.288 ,4543.542 ,4646.576 ,4753.523 ,4864.524 ,4979.753 ,5099.373 ,5223.568 ,5352.503 ,5486.319 ,5625.164 ,5769.218 ,5918.595 ,6073.526 ,6234.465 ,6401.921 ,6576.305 ,6757.850 ,6946.620 ,7142.627 ,7345.780 ,7556.026 ,7773.449 ,7998.164 ,8230.218 ,8469.672 ,8716.553 ,8971.345 ,9234.129 ,9504.281 ,9780.872 ,10063.495 ,10352.120 ,10647.754 ,10952.395 ,11268.658 ,11598.633 ,11942.819 ,12301.336 ,12675.460 ,13066.543 ,13475.400 ,13902.688 ,14347.854 ,14808.791 ,15282.521 ,15766.806 ,16260.932 ,16765.117 ,17279.141 ,17802.997 ,18336.724 ,18880.268 ,19433.523 ,19996.469 ,20569.121 ,21151.640 ,21743.949 ,22346.573 ,22961.146 ,23589.801 ,24234.088 ,24645.289 ,24968.391 ,25235.944 ,25495.676 ,25782.950 ,26107.910 ,26462.511 ,26841.972 ,27235.571 ,27635.397 ,28041.920 ,28459.082 ,28885.845 ,29320.959 ,29763.051 ,30211.111 ,30663.626 ,31117.963 ,31571.026 ,32020.122 ,32463.980 ,32901.543 ,33330.756 ,33749.518 ,34156.252 ,34550.048 ,34930.817 ,35298.914 ,35655.166 ,36000.445 ,36334.778 ,36658.593 ,36973.737 ,37282.535 ,37586.868 ,37887.414 ,38184.395 ,38478.499 ,38770.335 ,39060.296 ,39348.656 ,39635.336 ,39919.778 ,40201.164 ,40478.718 ,40752.177 ,41021.151 ,41284.533 ,41540.976 ,41789.372 ,42029.244 ,42260.344 ,42482.211 ,42694.400 ,42896.645 ,43088.749 ,43270.751 ,43442.890 ,43605.577 ,43759.239 ,43904.085 ,44040.430 ,44168.915 ,44290.313 ,44405.323 ,44514.403 ,44617.937 ,44716.521 ,44810.806 ,44901.334 ,44988.615 ,45073.011 ,45154.717 ,45233.875 ,45310.683 ,45385.441 ,45458.551 ,45530.449 ,45601.594 ,45672.395 ,45743.217 ,45814.325 ,45885.940 ,45958.229 ,46031.269 
