"Region, subregion, country or area *",1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
WORLD,2536274.721 ,2583816.786 ,2630584.384 ,2677230.358 ,2724302.468 ,2772242.535 ,2821383.444 ,2871952.278 ,2924081.243 ,2977824.686 ,3033212.527 ,3090305.279 ,3149244.245 ,3210271.352 ,3273670.772 ,3339592.688 ,3408121.405 ,3479053.821 ,3551880.700 ,3625905.514 ,3700577.650 ,3775790.900 ,3851545.181 ,3927538.695 ,4003448.151 ,4079087.198 ,4154287.594 ,4229201.257 ,4304377.112 ,4380585.755 ,4458411.534 ,4537845.777 ,4618776.168 ,4701530.843 ,4786483.862 ,4873781.796 ,4963633.228 ,5055636.132 ,5148556.956 ,5240735.117 ,5330943.460 ,5418758.803 ,5504401.149 ,5588094.837 ,5670319.703 ,5751474.416 ,5831565.020 ,5910566.295 ,5988846.103 ,6066867.391 ,6145006.989 ,6223412.158 ,6302149.639 ,6381408.987 ,6461370.865 ,6542159.383 ,6623847.913 ,6706418.593 ,6789771.253 ,6873741.054 ,6958169.159 ,7043008.586 ,7128176.935 ,7213426.452 ,7298453.033 ,7383008.820 ,7458174.982 ,7529619.677 ,7597815.559 ,7663136.954 ,7725860.308 ,7786159.167 ,7844109.323 ,7899703.188 ,7952874.306 ,8003570.926 ,8051834.477 ,8097867.833 ,8142065.001 ,8184927.841 ,8226820.800 ,8267900.651 ,8308100.495 ,8347275.580 ,8385173.339 ,8421592.190 ,8456494.159 ,8489897.121 ,8521711.545 ,8551838.603 ,8580188.784 ,8606709.614 ,8631347.857 ,8654016.336 ,8674621.492 ,8693091.461 ,8709391.250 ,8723511.287 ,8735441.407 ,8745184.856 ,8752754.583 ,8758158.733 ,8761425.059 ,8762618.408 ,8761823.238 ,8759118.425 ,8754544.538 ,8748148.455 ,8740024.486 ,8730280.782 ,8719007.601 ,8706258.714 ,8692065.777 ,8676468.662 ,8659499.256 ,8641184.048 ,8621556.610 ,8600636.493 ,8578415.092 ,8554870.376 ,8529987.886 ,8503782.543 ,8476271.611 ,8447446.384 ,8417292.417 ,8385806.721 ,8353003.292 ,8318911.232 ,8283563.460 ,8247000.785 ,8209264.662 ,8170384.949 ,8130398.268 ,8089362.658 ,8047344.794 ,8004404.355 ,7960584.837 ,7915921.721 ,7870457.325 ,7824232.368 ,7777285.959 ,7729655.304 ,7681375.693 ,7632480.686 ,7583002.133 ,7532970.369 ,7482414.119 ,7431360.476 ,7379835.121 ,7327862.146 ,7275464.054 
AFRICA,228670.019 ,233277.049 ,238113.121 ,243177.791 ,248471.497 ,253995.025 ,259750.195 ,265739.281 ,271965.261 ,278431.545 ,285142.006 ,292100.079 ,299309.231 ,306772.112 ,314491.391 ,322470.634 ,330720.407 ,339247.878 ,348049.881 ,357119.794 ,366458.929 ,376067.257 ,385965.161 ,396198.875 ,406828.206 ,417898.074 ,429424.761 ,441404.179 ,453834.792 ,466707.331 ,480012.209 ,493747.699 ,507910.465 ,522485.550 ,537453.703 ,552796.228 ,568505.611 ,584569.186 ,600956.701 ,617632.012 ,634567.044 ,651763.106 ,669221.342 ,686916.862 ,704820.799 ,722921.961 ,741220.519 ,759752.789 ,778592.236 ,797836.027 ,817566.004 ,837820.928 ,858622.597 ,880016.866 ,902048.601 ,924757.708 ,948156.166 ,972265.961 ,997144.670 ,1022858.654 ,1049446.344 ,1076933.813 ,1105285.268 ,1134398.192 ,1164129.789 ,1194369.908 ,1223816.120 ,1253135.254 ,1282426.983 ,1311767.677 ,1341210.702 ,1370784.987 ,1400496.240 ,1430330.720 ,1460260.169 ,1490259.642 ,1520325.383 ,1550490.847 ,1580833.615 ,1611455.927 ,1642427.701 ,1673768.074 ,1705445.228 ,1737412.823 ,1769600.238 ,1801945.819 ,1834424.651 ,1867018.517 ,1899676.924 ,1932343.203 ,1964966.319 ,1997510.946 ,2029946.564 ,2062233.157 ,2094330.592 ,2126203.526 ,2157821.203 ,2189160.203 ,2220202.444 ,2250934.582 ,2281343.106 ,2311409.752 ,2341116.508 ,2370451.190 ,2399403.750 ,2427964.284 ,2456117.943 ,2483852.866 ,2511166.369 ,2538058.467 ,2564525.837 ,2590557.330 ,2616136.412 ,2641247.104 ,2665871.108 ,2689990.051 ,2713589.345 ,2736652.479 ,2759155.770 ,2781073.050 ,2802380.732 ,2823062.317 ,2843103.298 ,2862484.487 ,2881186.480 ,2899192.672 ,2916489.456 ,2933067.056 ,2948917.761 ,2964036.074 ,2978416.919 ,2992053.938 ,3004941.458 ,3017076.657 ,3028458.332 ,3039085.449 ,3048957.128 ,3058072.676 ,3066432.297 ,3074036.889 ,3080888.365 ,3086989.565 ,3092344.462 ,3096957.921 ,3100835.536 ,3103983.850 ,3106409.945 ,3108121.683 ,3109127.552 ,3109436.822 ,3109059.387 
Eastern Africa,66758.254 ,68208.356 ,69711.520 ,71272.418 ,72895.738 ,74585.806 ,76346.981 ,78183.385 ,80098.967 ,82097.498 ,84182.469 ,86356.934 ,88623.624 ,90984.649 ,93441.751 ,95996.653 ,98653.151 ,101413.366 ,104275.291 ,107235.237 ,110292.070 ,113445.206 ,116700.014 ,120068.437 ,123566.004 ,127204.270 ,130990.072 ,134922.280 ,138994.306 ,143195.464 ,147518.890 ,151952.438 ,156499.895 ,161188.537 ,166055.965 ,171123.080 ,176421.561 ,181929.187 ,187549.420 ,193150.021 ,198645.937 ,203990.506 ,209239.376 ,214535.842 ,220081.611 ,226021.034 ,232413.444 ,239215.718 ,246345.989 ,253675.516 ,261113.890 ,268638.612 ,276291.511 ,284122.793 ,292207.492 ,300599.706 ,309313.054 ,318329.032 ,327631.032 ,337191.043 ,346987.498 ,357015.563 ,367279.164 ,377775.443 ,388502.716 ,399458.026 ,410228.073 ,420992.016 ,431779.376 ,442612.020 ,453504.367 ,464462.923 ,475486.638 ,486568.211 ,497695.512 ,508857.671 ,520050.632 ,531282.494 ,542575.848 ,553961.251 ,565458.842 ,577072.949 ,588790.838 ,600593.434 ,612453.399 ,624347.257 ,636264.601 ,648199.061 ,660135.063 ,672056.045 ,683946.824 ,695795.726 ,707591.867 ,719321.638 ,730971.248 ,742528.678 ,753983.661 ,765328.951 ,776559.372 ,787671.602 ,798662.009 ,809524.295 ,820252.306 ,830843.058 ,841294.700 ,851604.453 ,861767.622 ,871778.834 ,881633.947 ,891328.886 ,900859.120 ,910219.375 ,919403.800 ,928406.221 ,937220.136 ,945838.821 ,954256.825 ,962467.658 ,970462.277 ,978230.718 ,985764.357 ,993057.090 ,1000104.171 ,1006899.924 ,1013438.957 ,1019716.631 ,1025728.705 ,1031472.032 ,1036944.364 ,1042144.179 ,1047070.185 ,1051720.909 ,1056095.071 ,1060191.881 ,1064011.024 ,1067552.562 ,1070816.503 ,1073803.754 ,1076516.432 ,1078957.365 ,1081129.237 ,1083034.135 ,1084673.854 ,1086050.014 ,1087164.410 ,1088019.184 ,1088617.107 ,1088961.430 ,1089056.021 ,1088905.301 ,1088514.332 
Burundi,2308.920 ,2359.123 ,2403.511 ,2445.420 ,2487.390 ,2531.184 ,2577.735 ,2627.233 ,2679.141 ,2732.438 ,2786.106 ,2839.666 ,2893.669 ,2949.926 ,3010.859 ,3077.876 ,3152.723 ,3234.023 ,3316.233 ,3391.753 ,3455.606 ,3505.391 ,3544.047 ,3578.490 ,3618.585 ,3671.494 ,3739.659 ,3821.194 ,3913.768 ,4013.310 ,4116.817 ,4223.195 ,4333.386 ,4448.728 ,4571.292 ,4702.066 ,4841.565 ,4987.736 ,5135.956 ,5280.024 ,5415.415 ,5542.048 ,5661.139 ,5771.398 ,5871.607 ,5962.058 ,6041.112 ,6112.097 ,6186.352 ,6278.940 ,6400.706 ,6555.829 ,6741.569 ,6953.113 ,7182.451 ,7423.289 ,7675.338 ,7939.573 ,8212.264 ,8489.031 ,8766.930 ,9043.508 ,9319.710 ,9600.186 ,9891.790 ,10199.270 ,10525.327 ,10852.233 ,11180.822 ,11511.684 ,11845.111 ,12181.133 ,12519.478 ,12859.692 ,13201.156 ,13543.397 ,13886.358 ,14230.603 ,14577.500 ,14928.835 ,15286.009 ,15649.407 ,16018.970 ,16395.059 ,16777.935 ,17167.712 ,17564.436 ,17967.880 ,18377.457 ,18792.397 ,19211.916 ,19635.656 ,20063.128 ,20493.299 ,20924.989 ,21357.180 ,21789.291 ,22220.919 ,22651.494 ,23080.477 ,23507.415 ,23931.924 ,24353.761 ,24772.867 ,25189.312 ,25603.142 ,26014.183 ,26422.352 ,26827.857 ,27231.034 ,27632.095 ,28030.982 ,28427.505 ,28821.640 ,29213.335 ,29602.462 ,29988.875 ,30372.261 ,30752.112 ,31127.799 ,31498.756 ,31864.642 ,32225.138 ,32579.772 ,32928.071 ,33269.596 ,33604.032 ,33931.096 ,34250.394 ,34561.488 ,34864.056 ,35157.822 ,35442.673 ,35718.747 ,35986.281 ,36245.437 ,36496.187 ,36738.392 ,36971.917 ,37196.565 ,37412.224 ,37618.822 ,37816.371 ,38004.886 ,38184.428 ,38355.036 ,38516.705 ,38669.426 ,38813.147 ,38947.807 ,39073.285 
Comoros,159.459 ,163.139 ,166.541 ,169.752 ,172.853 ,175.903 ,178.946 ,181.992 ,185.043 ,188.097 ,191.121 ,194.139 ,197.198 ,200.372 ,203.753 ,207.424 ,211.478 ,215.897 ,220.575 ,225.325 ,230.054 ,234.644 ,239.235 ,244.208 ,250.104 ,257.290 ,265.953 ,275.900 ,286.634 ,297.447 ,307.829 ,317.606 ,326.946 ,336.096 ,345.466 ,355.337 ,365.760 ,376.654 ,387.963 ,399.632 ,411.594 ,423.872 ,436.448 ,449.274 ,462.277 ,475.394 ,488.627 ,501.953 ,515.385 ,528.848 ,542.357 ,555.888 ,569.479 ,583.211 ,597.228 ,611.627 ,626.425 ,641.620 ,657.229 ,673.252 ,689.692 ,706.569 ,723.868 ,741.500 ,759.385 ,777.424 ,794.744 ,811.842 ,828.774 ,845.570 ,862.267 ,878.868 ,895.375 ,911.776 ,928.038 ,944.153 ,960.108 ,975.926 ,991.653 ,1007.358 ,1023.087 ,1038.850 ,1054.631 ,1070.413 ,1086.152 ,1101.821 ,1117.401 ,1132.897 ,1148.276 ,1163.508 ,1178.573 ,1193.462 ,1208.145 ,1222.603 ,1236.798 ,1250.704 ,1264.314 ,1277.597 ,1290.566 ,1303.176 ,1315.432 ,1327.324 ,1338.836 ,1349.989 ,1360.771 ,1371.193 ,1381.262 ,1390.966 ,1400.306 ,1409.286 ,1417.894 ,1426.146 ,1434.024 ,1441.552 ,1448.718 ,1455.533 ,1461.996 ,1468.106 ,1473.842 ,1479.178 ,1484.118 ,1488.623 ,1492.709 ,1496.373 ,1499.605 ,1502.408 ,1504.780 ,1506.708 ,1508.210 ,1509.284 ,1509.925 ,1510.153 ,1509.962 ,1509.350 ,1508.318 ,1506.883 ,1505.025 ,1502.782 ,1500.142 ,1497.136 ,1493.774 ,1490.086 ,1486.054 ,1481.704 ,1477.036 ,1472.063 ,1466.803 ,1461.260 ,1455.461 ,1449.420 ,1443.157 
Djibouti,62.001 ,63.306 ,64.750 ,66.269 ,67.872 ,69.589 ,71.497 ,73.702 ,76.353 ,79.612 ,83.636 ,88.498 ,94.204 ,100.628 ,107.583 ,114.963 ,122.866 ,131.397 ,140.462 ,149.887 ,159.659 ,169.372 ,179.224 ,190.568 ,205.181 ,224.183 ,248.556 ,277.479 ,308.008 ,336.085 ,358.960 ,374.937 ,385.271 ,393.802 ,406.017 ,425.613 ,454.361 ,490.330 ,528.999 ,563.864 ,590.398 ,606.844 ,615.054 ,618.495 ,622.366 ,630.388 ,643.682 ,660.953 ,680.612 ,700.099 ,717.584 ,732.711 ,746.221 ,758.615 ,770.752 ,783.254 ,796.208 ,809.402 ,822.934 ,836.840 ,851.146 ,865.937 ,881.185 ,896.688 ,912.164 ,927.414 ,940.954 ,954.024 ,966.643 ,978.862 ,990.678 ,1002.121 ,1013.162 ,1023.795 ,1033.999 ,1043.746 ,1053.037 ,1061.884 ,1070.331 ,1078.449 ,1086.262 ,1093.801 ,1101.049 ,1107.977 ,1114.565 ,1120.772 ,1126.598 ,1132.042 ,1137.121 ,1141.805 ,1146.101 ,1150.001 ,1153.499 ,1156.598 ,1159.276 ,1161.539 ,1163.372 ,1164.781 ,1165.759 ,1166.275 ,1166.360 ,1165.978 ,1165.152 ,1163.875 ,1162.156 ,1159.998 ,1157.409 ,1154.390 ,1150.950 ,1147.105 ,1142.863 ,1138.231 ,1133.212 ,1127.831 ,1122.110 ,1116.053 ,1109.674 ,1102.988 ,1096.014 ,1088.748 ,1081.203 ,1073.398 ,1065.342 ,1057.059 ,1048.551 ,1039.849 ,1030.958 ,1021.896 ,1012.674 ,1003.323 ,993.844 ,984.257 ,974.575 ,964.819 ,955.001 ,945.140 ,935.257 ,925.351 ,915.437 ,905.500 ,895.559 ,885.620 ,875.680 ,865.751 ,855.862 ,846.013 ,836.206 ,826.457 ,816.758 ,807.117 ,797.533 
Eritrea,1142.148 ,1159.798 ,1179.537 ,1201.124 ,1224.384 ,1249.193 ,1275.534 ,1303.420 ,1332.953 ,1364.276 ,1397.491 ,1432.640 ,1469.645 ,1508.273 ,1548.187 ,1589.179 ,1631.147 ,1674.204 ,1718.525 ,1764.343 ,1811.878 ,1861.199 ,1912.302 ,1965.160 ,2019.717 ,2075.965 ,2133.723 ,2193.068 ,2254.450 ,2318.495 ,2385.540 ,2454.766 ,2525.521 ,2598.410 ,2674.289 ,2753.151 ,2837.111 ,2924.349 ,3006.361 ,3071.771 ,3113.311 ,3127.297 ,3118.582 ,3099.047 ,3085.443 ,3090.159 ,3116.379 ,3161.350 ,3224.223 ,3302.263 ,3392.801 ,3497.124 ,3614.639 ,3738.265 ,3858.623 ,3969.007 ,4066.648 ,4153.332 ,4232.636 ,4310.334 ,4390.840 ,4474.690 ,4560.977 ,4650.998 ,4746.045 ,4846.976 ,4955.400 ,5062.895 ,5169.977 ,5277.008 ,5384.238 ,5491.754 ,5599.519 ,5707.397 ,5815.141 ,5922.559 ,6029.587 ,6136.406 ,6243.455 ,6351.363 ,6460.542 ,6571.101 ,6682.836 ,6795.522 ,6908.803 ,7022.356 ,7136.043 ,7249.758 ,7363.168 ,7475.908 ,7587.657 ,7698.210 ,7807.410 ,7914.983 ,8020.658 ,8124.196 ,8225.446 ,8324.319 ,8420.764 ,8514.771 ,8606.332 ,8695.394 ,8781.921 ,8865.978 ,8947.653 ,9027.028 ,9104.111 ,9178.883 ,9251.378 ,9321.652 ,9389.733 ,9455.614 ,9519.263 ,9580.657 ,9639.730 ,9696.435 ,9750.744 ,9802.626 ,9851.940 ,9898.575 ,9942.408 ,9983.380 ,10021.496 ,10056.707 ,10089.018 ,10118.397 ,10144.841 ,10168.338 ,10188.918 ,10206.609 ,10221.456 ,10233.459 ,10242.654 ,10249.052 ,10252.711 ,10253.660 ,10251.932 ,10247.551 ,10240.568 ,10230.996 ,10218.881 ,10204.265 ,10187.175 ,10167.685 ,10145.823 ,10121.639 ,10095.194 ,10066.532 ,10035.707 ,10002.767 ,9967.769 
Ethiopia,18128.034 ,18466.968 ,18819.700 ,19184.292 ,19560.016 ,19947.292 ,20347.813 ,20764.450 ,21201.034 ,21661.996 ,22151.278 ,22671.190 ,23221.389 ,23798.429 ,24397.024 ,25013.626 ,25641.376 ,26281.208 ,26946.079 ,27654.161 ,28415.077 ,29245.207 ,30132.580 ,31025.115 ,31851.708 ,32566.821 ,33146.891 ,33622.390 ,34068.316 ,34590.226 ,35264.898 ,36120.288 ,37136.848 ,38285.883 ,39518.801 ,40800.343 ,42120.730 ,43493.283 ,44932.064 ,46458.913 ,48086.516 ,49821.083 ,51647.768 ,53532.956 ,55431.123 ,57309.880 ,59155.148 ,60976.450 ,62794.151 ,64640.054 ,66537.331 ,68492.257 ,70497.192 ,72545.144 ,74624.405 ,76727.083 ,78850.689 ,81000.409 ,83184.892 ,85416.253 ,87702.670 ,90046.756 ,92444.183 ,94887.724 ,97366.774 ,99873.033 ,102286.872 ,104680.856 ,107059.725 ,109426.293 ,111781.525 ,114124.363 ,116451.873 ,118759.550 ,121041.884 ,123293.946 ,125513.182 ,127700.917 ,129862.967 ,132007.859 ,134141.337 ,136264.643 ,138374.493 ,140466.474 ,142534.191 ,144572.421 ,146578.950 ,148553.232 ,150493.574 ,152398.593 ,154266.694 ,156096.094 ,157884.462 ,159629.023 ,161326.675 ,162974.768 ,164571.534 ,166115.661 ,167605.563 ,169039.803 ,170417.188 ,171736.511 ,172996.984 ,174198.473 ,175341.189 ,176425.229 ,177450.151 ,178415.460 ,179321.186 ,180167.448 ,180954.313 ,181681.634 ,182349.130 ,182956.484 ,183503.327 ,183989.352 ,184414.405 ,184778.338 ,185080.912 ,185321.882 ,185501.048 ,185618.568 ,185674.424 ,185668.223 ,185599.409 ,185467.770 ,185273.535 ,185017.414 ,184700.382 ,184323.691 ,183888.558 ,183396.118 ,182847.317 ,182243.048 ,181584.161 ,180871.797 ,180107.247 ,179292.343 ,178429.464 ,177521.340 ,176570.526 ,175579.157 ,174549.091 ,173481.981 ,172379.521 ,171243.579 ,170076.262 ,168879.938 ,167657.265 ,166411.156 ,165144.805 
Kenya,6076.758 ,6240.163 ,6412.363 ,6593.109 ,6782.287 ,6979.931 ,7186.211 ,7401.421 ,7625.995 ,7860.475 ,8105.440 ,8361.441 ,8628.972 ,8908.422 ,9200.157 ,9504.703 ,9822.499 ,10154.484 ,10502.245 ,10867.716 ,11252.492 ,11657.514 ,12083.188 ,12529.852 ,12997.595 ,13486.629 ,13996.704 ,14528.293 ,15082.994 ,15662.852 ,16268.990 ,16901.677 ,17559.430 ,18239.404 ,18937.738 ,19651.225 ,20378.626 ,21119.318 ,21871.442 ,22633.022 ,23402.507 ,24179.598 ,24963.953 ,25754.114 ,26548.486 ,27346.456 ,28147.734 ,28954.114 ,29769.803 ,30600.397 ,31450.483 ,32321.482 ,33214.009 ,34130.852 ,35074.931 ,36048.288 ,37052.050 ,38085.909 ,39148.416 ,40237.204 ,41350.152 ,42486.839 ,43646.629 ,44826.849 ,46024.250 ,47236.259 ,48407.104 ,49565.267 ,50714.801 ,51858.852 ,52999.696 ,54138.664 ,55276.238 ,56412.131 ,57545.451 ,58675.381 ,59801.672 ,60925.347 ,62048.798 ,63175.200 ,64306.541 ,65443.266 ,66583.761 ,67725.262 ,68863.877 ,69996.328 ,71121.299 ,72237.994 ,73344.241 ,74437.721 ,75516.448 ,76578.906 ,77624.129 ,78651.334 ,79660.051 ,80649.765 ,81619.626 ,82568.818 ,83496.861 ,84403.414 ,85288.113 ,86150.463 ,86989.923 ,87806.199 ,88599.041 ,89368.138 ,90113.077 ,90833.436 ,91528.919 ,92199.287 ,92844.227 ,93463.361 ,94056.186 ,94622.118 ,95160.505 ,95670.708 ,96152.417 ,96605.210 ,97028.315 ,97420.875 ,97782.248 ,98112.070 ,98410.297 ,98676.966 ,98912.270 ,99116.404 ,99289.343 ,99431.162 ,99542.246 ,99623.106 ,99674.156 ,99695.762 ,99688.086 ,99651.173 ,99584.957 ,99489.541 ,99365.237 ,99212.589 ,99032.146 ,98824.574 ,98590.529 ,98330.644 ,98045.511 ,97735.754 ,97402.005 ,97044.984 ,96665.472 ,96264.333 ,95842.536 ,95401.093 ,94941.126 
Madagascar,4083.554 ,4168.386 ,4256.770 ,4348.720 ,4444.288 ,4543.542 ,4646.576 ,4753.523 ,4864.524 ,4979.753 ,5099.373 ,5223.568 ,5352.503 ,5486.319 ,5625.164 ,5769.218 ,5918.595 ,6073.526 ,6234.465 ,6401.921 ,6576.305 ,6757.850 ,6946.620 ,7142.627 ,7345.780 ,7556.026 ,7773.449 ,7998.164 ,8230.218 ,8469.672 ,8716.553 ,8971.345 ,9234.129 ,9504.281 ,9780.872 ,10063.495 ,10352.120 ,10647.754 ,10952.395 ,11268.658 ,11598.633 ,11942.819 ,12301.336 ,12675.460 ,13066.543 ,13475.400 ,13902.688 ,14347.854 ,14808.791 ,15282.521 ,15766.806 ,16260.932 ,16765.117 ,17279.141 ,17802.997 ,18336.724 ,18880.268 ,19433.523 ,19996.469 ,20569.121 ,21151.640 ,21743.949 ,22346.573 ,22961.146 ,23589.801 ,24234.088 ,24864.683 ,25499.960 ,26140.803 ,26787.711 ,27440.882 ,28100.111 ,28764.886 ,29434.370 ,30107.557 ,30783.510 ,31461.713 ,32142.238 ,32825.972 ,33514.214 ,34207.767 ,34906.683 ,35610.178 ,36317.220 ,37026.401 ,37736.515 ,38446.996 ,39157.496 ,39867.367 ,40575.956 ,41282.636 ,41986.855 ,42688.080 ,43385.727 ,44079.222 ,44768.047 ,45451.702 ,46129.817 ,46802.119 ,47468.419 ,48128.514 ,48782.053 ,49428.672 ,50068.060 ,50699.920 ,51323.918 ,51939.744 ,52547.056 ,53145.626 ,53735.267 ,54315.729 ,54886.669 ,55447.694 ,55998.331 ,56538.065 ,57066.400 ,57583.004 ,58087.478 ,58579.258 ,59057.695 ,59522.267 ,59972.565 ,60408.353 ,60829.454 ,61235.766 ,61627.156 ,62003.452 ,62364.435 ,62709.859 ,63039.512 ,63353.198 ,63650.835 ,63932.384 ,64197.855 ,64447.277 ,64680.709 ,64898.173 ,65099.709 ,65285.518 ,65455.874 ,65610.970 ,65750.967 ,65875.938 ,65985.944 ,66081.019 ,66161.236 ,66226.721 ,66277.618 ,66314.132 ,66336.507 ,66345.029 
