"Region, subregion, country or area *",1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
WORLD,2536274.721 ,2583816.786 ,2630584.384 ,2677230.358 ,2724302.468 ,2772242.535 ,2821383.444 ,2871952.278 ,2924081.243 ,2977824.686 ,3033212.527 ,3090305.279 ,3149244.245 ,3210271.352 ,3273670.772 ,3339592.688 ,3408121.405 ,3479053.821 ,3551880.700 ,3625905.514 ,3700577.650 ,3775790.900 ,3851545.181 ,3927538.695 ,4003448.151 ,4079087.198 ,4154287.594 ,4229201.257 ,4304377.112 ,4380585.755 ,4458411.534 ,4537845.777 ,4618776.168 ,4701530.843 ,4786483.862 ,4873781.796 ,4963633.228 ,5055636.132 ,5148556.956 ,5240735.117 ,5330943.460 ,5418758.803 ,5504401.149 ,5588094.837 ,5670319.703 ,5751474.416 ,5831565.020 ,5910566.295 ,5988846.103 ,6066867.391 ,6145006.989 ,6223412.158 ,6302149.639 ,6381408.987 ,6461370.865 ,6542159.383 ,6623847.913 ,6706418.593 ,6789771.253 ,6873741.054 ,6958169.159 ,7043008.586 ,7128176.935 ,7213426.452 ,7298453.033 ,7383008.820 ,7466964.280 ,7550262.101 ,7632819.325 ,7714576.923 ,7795482.309 ,7875464.634 ,7954468.982 ,8032487.475 ,8109532.823 ,8185613.757 ,8260710.124 ,8334801.643 ,8407900.352 ,8480027.356 ,8551198.644 ,8621415.775 ,8690673.506 ,8758973.114 ,8826315.616 ,8892701.940 ,8958126.691 ,9022590.075 ,9086103.797 ,9148683.649 ,9210337.004 ,9271063.273 ,9330845.890 ,9389655.929 ,9447454.649 ,9504209.572 ,9559909.195 ,9614545.440 ,9668093.432 ,9720525.979 ,9771822.753 ,9821979.204 ,9870996.143 ,9918868.234 ,9965591.995 ,10011171.422 ,10055609.539 ,10098925.718 ,10141161.411 ,10182370.369 ,10222598.469 ,10261867.905 ,10300193.299 ,10337605.232 ,10374134.682 ,10409808.296 ,10444646.732 ,10478663.350 ,10511866.504 ,10544259.435 ,10575846.551 ,10606640.450 ,10636651.714 ,10665879.012 ,10694316.774 ,10721963.763 ,10748825.986 ,10774916.274 ,10800248.725 ,10824840.805 ,10848708.184 ,10871858.040 ,10894298.619 ,10916049.655 ,10937133.165 ,10957565.804 ,10977355.755 ,10996502.489 ,11015004.824 ,11032857.615 ,11050055.193 ,11066592.635 ,11082465.223 ,11097667.992 ,11112193.711 ,11126032.796 ,11139172.514 ,11151596.850 ,11163286.403 ,11174218.742 ,11184367.721 
AFRICA,228670.019 ,233277.049 ,238113.121 ,243177.791 ,248471.497 ,253995.025 ,259750.195 ,265739.281 ,271965.261 ,278431.545 ,285142.006 ,292100.079 ,299309.231 ,306772.112 ,314491.391 ,322470.634 ,330720.407 ,339247.878 ,348049.881 ,357119.794 ,366458.929 ,376067.257 ,385965.161 ,396198.875 ,406828.206 ,417898.074 ,429424.761 ,441404.179 ,453834.792 ,466707.331 ,480012.209 ,493747.699 ,507910.465 ,522485.550 ,537453.703 ,552796.228 ,568505.611 ,584569.186 ,600956.701 ,617632.012 ,634567.044 ,651763.106 ,669221.342 ,686916.862 ,704820.799 ,722921.961 ,741220.519 ,759752.789 ,778592.236 ,797836.027 ,817566.004 ,837820.928 ,858622.597 ,880016.866 ,902048.601 ,924757.708 ,948156.166 ,972265.961 ,997144.670 ,1022858.654 ,1049446.344 ,1076933.813 ,1105285.268 ,1134398.192 ,1164129.789 ,1194369.908 ,1225080.510 ,1256268.025 ,1287920.518 ,1320038.716 ,1352622.189 ,1385654.615 ,1419122.396 ,1453034.271 ,1487406.129 ,1522250.093 ,1557562.575 ,1593338.261 ,1629585.987 ,1666317.064 ,1703537.504 ,1741243.659 ,1779425.239 ,1818071.729 ,1857169.603 ,1896703.697 ,1936661.446 ,1977026.733 ,2017774.373 ,2058875.145 ,2100301.731 ,2142034.032 ,2184052.732 ,2226331.727 ,2268843.050 ,2311561.326 ,2354463.822 ,2397531.544 ,2440746.939 ,2484094.200 ,2527556.761 ,2571117.139 ,2614755.642 ,2658451.115 ,2702181.334 ,2745926.407 ,2789666.927 ,2833388.482 ,2877081.528 ,2920739.470 ,2964353.082 ,3007906.925 ,3051382.037 ,3094761.491 ,3138027.267 ,3181160.854 ,3224145.333 ,3266961.833 ,3309587.756 ,3351998.507 ,3394171.069 ,3436086.388 ,3477726.614 ,3519071.835 ,3560101.830 ,3600797.691 ,3641141.475 ,3681116.717 ,3720708.116 ,3759901.199 ,3798681.715 ,3837034.622 ,3874945.058 ,3912399.374 ,3949384.312 ,3985886.746 ,4021894.387 ,4057394.393 ,4092373.472 ,4126818.332 ,4160716.504 ,4194057.086 ,4226830.047 ,4259026.664 ,4290638.534 ,4321657.590 ,4352075.947 ,4381885.852 ,4411079.612 ,4439649.658 ,4467588.433 
Eastern Africa,66758.254 ,68208.356 ,69711.520 ,71272.418 ,72895.738 ,74585.806 ,76346.981 ,78183.385 ,80098.967 ,82097.498 ,84182.469 ,86356.934 ,88623.624 ,90984.649 ,93441.751 ,95996.653 ,98653.151 ,101413.366 ,104275.291 ,107235.237 ,110292.070 ,113445.206 ,116700.014 ,120068.437 ,123566.004 ,127204.270 ,130990.072 ,134922.280 ,138994.306 ,143195.464 ,147518.890 ,151952.438 ,156499.895 ,161188.537 ,166055.965 ,171123.080 ,176421.561 ,181929.187 ,187549.420 ,193150.021 ,198645.937 ,203990.506 ,209239.376 ,214535.842 ,220081.611 ,226021.034 ,232413.444 ,239215.718 ,246345.989 ,253675.516 ,261113.890 ,268638.612 ,276291.511 ,284122.793 ,292207.492 ,300599.706 ,309313.054 ,318329.032 ,327631.032 ,337191.043 ,346987.498 ,357015.563 ,367279.164 ,377775.443 ,388502.716 ,399458.026 ,410637.987 ,422036.243 ,433643.132 ,445447.287 ,457439.680 ,469613.839 ,481967.931 ,494503.359 ,507223.871 ,520131.276 ,533222.585 ,546492.095 ,559936.157 ,573550.360 ,587330.096 ,601271.135 ,615368.353 ,629614.380 ,644001.009 ,658520.528 ,673166.510 ,687933.550 ,702816.126 ,717808.922 ,732906.377 ,748102.425 ,763390.171 ,778762.361 ,794211.036 ,809728.865 ,825308.700 ,840944.270 ,856629.804 ,872359.868 ,888128.562 ,903929.382 ,919754.977 ,935597.609 ,951449.100 ,967301.521 ,983147.900 ,998981.486 ,1014794.898 ,1030580.548 ,1046331.368 ,1062040.004 ,1077699.914 ,1093305.371 ,1108851.292 ,1124331.927 ,1139741.181 ,1155071.855 ,1170316.108 ,1185465.528 ,1200512.216 ,1215449.663 ,1230271.999 ,1244973.034 ,1259546.907 ,1273987.859 ,1288290.094 ,1302448.103 ,1316456.692 ,1330310.973 ,1344006.067 ,1357537.553 ,1370900.669 ,1384090.254 ,1397100.943 ,1409927.937 ,1422567.121 ,1435015.327 ,1447270.544 ,1459331.637 ,1471196.884 ,1482863.944 ,1494329.677 ,1505590.722 ,1516643.712 ,1527485.634 ,1538114.034 ,1548527.016 ,1558723.303 ,1568702.152 ,1578463.466 
Burundi,2308.920 ,2359.123 ,2403.511 ,2445.420 ,2487.390 ,2531.184 ,2577.735 ,2627.233 ,2679.141 ,2732.438 ,2786.106 ,2839.666 ,2893.669 ,2949.926 ,3010.859 ,3077.876 ,3152.723 ,3234.023 ,3316.233 ,3391.753 ,3455.606 ,3505.391 ,3544.047 ,3578.490 ,3618.585 ,3671.494 ,3739.659 ,3821.194 ,3913.768 ,4013.310 ,4116.817 ,4223.195 ,4333.386 ,4448.728 ,4571.292 ,4702.066 ,4841.565 ,4987.736 ,5135.956 ,5280.024 ,5415.415 ,5542.048 ,5661.139 ,5771.398 ,5871.607 ,5962.058 ,6041.112 ,6112.097 ,6186.352 ,6278.940 ,6400.706 ,6555.829 ,6741.569 ,6953.113 ,7182.451 ,7423.289 ,7675.338 ,7939.573 ,8212.264 ,8489.031 ,8766.930 ,9043.508 ,9319.710 ,9600.186 ,9891.790 ,10199.270 ,10524.117 ,10864.245 ,11216.450 ,11575.964 ,11939.227 ,12305.457 ,12675.470 ,13049.303 ,13427.343 ,13810.006 ,14197.139 ,14588.733 ,14985.535 ,15388.616 ,15798.849 ,16216.487 ,16641.716 ,17075.250 ,17517.888 ,17970.195 ,18432.401 ,18904.397 ,19386.058 ,19877.068 ,20377.076 ,20885.948 ,21403.341 ,21928.513 ,22460.525 ,22998.539 ,23542.141 ,24090.950 ,24644.319 ,25201.545 ,25762.044 ,26325.440 ,26891.487 ,27459.946 ,28030.640 ,28603.449 ,29178.168 ,29754.726 ,30333.360 ,30914.416 ,31498.166 ,32084.542 ,32673.443 ,33265.055 ,33859.597 ,34457.167 ,35057.683 ,35660.871 ,36266.362 ,36873.658 ,37482.273 ,38091.884 ,38702.163 ,39312.593 ,39922.636 ,40531.733 ,41139.567 ,41745.726 ,42349.552 ,42950.318 ,43547.409 ,44140.408 ,44729.141 ,45313.611 ,45894.024 ,46470.435 ,47042.722 ,47610.615 ,48173.867 ,48732.199 ,49285.379 ,49833.248 ,50375.719 ,50912.730 ,51444.249 ,51970.231 ,52490.599 ,53005.252 ,53514.070 ,54016.906 ,54513.584 
Comoros,159.459 ,163.139 ,166.541 ,169.752 ,172.853 ,175.903 ,178.946 ,181.992 ,185.043 ,188.097 ,191.121 ,194.139 ,197.198 ,200.372 ,203.753 ,207.424 ,211.478 ,215.897 ,220.575 ,225.325 ,230.054 ,234.644 ,239.235 ,244.208 ,250.104 ,257.290 ,265.953 ,275.900 ,286.634 ,297.447 ,307.829 ,317.606 ,326.946 ,336.096 ,345.466 ,355.337 ,365.760 ,376.654 ,387.963 ,399.632 ,411.594 ,423.872 ,436.448 ,449.274 ,462.277 ,475.394 ,488.627 ,501.953 ,515.385 ,528.848 ,542.357 ,555.888 ,569.479 ,583.211 ,597.228 ,611.627 ,626.425 ,641.620 ,657.229 ,673.252 ,689.692 ,706.569 ,723.868 ,741.500 ,759.385 ,777.424 ,795.601 ,813.912 ,832.347 ,850.910 ,869.601 ,888.407 ,907.306 ,926.312 ,945.406 ,964.591 ,983.860 ,1003.211 ,1022.641 ,1042.164 ,1061.775 ,1081.470 ,1101.260 ,1121.119 ,1141.054 ,1161.071 ,1181.144 ,1201.284 ,1221.477 ,1241.703 ,1261.942 ,1282.209 ,1302.467 ,1322.720 ,1342.933 ,1363.098 ,1383.200 ,1403.227 ,1423.170 ,1443.013 ,1462.735 ,1482.329 ,1501.786 ,1521.104 ,1540.271 ,1559.288 ,1578.140 ,1596.830 ,1615.345 ,1633.672 ,1651.809 ,1669.746 ,1687.489 ,1705.017 ,1722.363 ,1739.525 ,1756.494 ,1773.254 ,1789.804 ,1806.118 ,1822.178 ,1837.966 ,1853.485 ,1868.728 ,1883.680 ,1898.357 ,1912.739 ,1926.815 ,1940.586 ,1954.052 ,1967.204 ,1980.049 ,1992.584 ,2004.781 ,2016.646 ,2028.157 ,2039.330 ,2050.158 ,2060.636 ,2070.786 ,2080.599 ,2090.100 ,2099.264 ,2108.110 ,2116.622 ,2124.822 ,2132.686 ,2140.242 ,2147.481 ,2154.425 ,2161.085 
Djibouti,62.001 ,63.306 ,64.750 ,66.269 ,67.872 ,69.589 ,71.497 ,73.702 ,76.353 ,79.612 ,83.636 ,88.498 ,94.204 ,100.628 ,107.583 ,114.963 ,122.866 ,131.397 ,140.462 ,149.887 ,159.659 ,169.372 ,179.224 ,190.568 ,205.181 ,224.183 ,248.556 ,277.479 ,308.008 ,336.085 ,358.960 ,374.937 ,385.271 ,393.802 ,406.017 ,425.613 ,454.361 ,490.330 ,528.999 ,563.864 ,590.398 ,606.844 ,615.054 ,618.495 ,622.366 ,630.388 ,643.682 ,660.953 ,680.612 ,700.099 ,717.584 ,732.711 ,746.221 ,758.615 ,770.752 ,783.254 ,796.208 ,809.402 ,822.934 ,836.840 ,851.146 ,865.937 ,881.185 ,896.688 ,912.164 ,927.414 ,942.333 ,956.985 ,971.408 ,985.690 ,999.899 ,1014.025 ,1028.031 ,1041.880 ,1055.552 ,1069.009 ,1082.248 ,1095.262 ,1108.021 ,1120.511 ,1132.710 ,1144.609 ,1156.203 ,1167.462 ,1178.401 ,1189.001 ,1199.256 ,1209.170 ,1218.739 ,1227.967 ,1236.850 ,1245.401 ,1253.614 ,1261.491 ,1269.036 ,1276.268 ,1283.179 ,1289.766 ,1296.038 ,1301.978 ,1307.615 ,1312.919 ,1317.902 ,1322.563 ,1326.904 ,1330.906 ,1334.592 ,1337.932 ,1340.951 ,1343.630 ,1345.960 ,1347.944 ,1349.591 ,1350.894 ,1351.881 ,1352.536 ,1352.880 ,1352.927 ,1352.664 ,1352.125 ,1351.296 ,1350.199 ,1348.847 ,1347.255 ,1345.455 ,1343.453 ,1341.281 ,1338.939 ,1336.447 ,1333.818 ,1331.086 ,1328.251 ,1325.316 ,1322.310 ,1319.244 ,1316.122 ,1312.964 ,1309.772 ,1306.535 ,1303.257 ,1299.918 ,1296.526 ,1293.080 ,1289.587 ,1286.044 ,1282.463 ,1278.844 ,1275.181 ,1271.459 ,1267.674 ,1263.813 
Eritrea,1142.148 ,1159.798 ,1179.537 ,1201.124 ,1224.384 ,1249.193 ,1275.534 ,1303.420 ,1332.953 ,1364.276 ,1397.491 ,1432.640 ,1469.645 ,1508.273 ,1548.187 ,1589.179 ,1631.147 ,1674.204 ,1718.525 ,1764.343 ,1811.878 ,1861.199 ,1912.302 ,1965.160 ,2019.717 ,2075.965 ,2133.723 ,2193.068 ,2254.450 ,2318.495 ,2385.540 ,2454.766 ,2525.521 ,2598.410 ,2674.289 ,2753.151 ,2837.111 ,2924.349 ,3006.361 ,3071.771 ,3113.311 ,3127.297 ,3118.582 ,3099.047 ,3085.443 ,3090.159 ,3116.379 ,3161.350 ,3224.223 ,3302.263 ,3392.801 ,3497.124 ,3614.639 ,3738.265 ,3858.623 ,3969.007 ,4066.648 ,4153.332 ,4232.636 ,4310.334 ,4390.840 ,4474.690 ,4560.977 ,4650.998 ,4746.045 ,4846.976 ,4954.645 ,5068.831 ,5187.948 ,5309.659 ,5432.216 ,5555.141 ,5678.798 ,5803.376 ,5929.298 ,6056.880 ,6186.016 ,6316.482 ,6448.451 ,6582.129 ,6717.687 ,6855.107 ,6994.250 ,7135.034 ,7277.273 ,7420.805 ,7565.543 ,7711.344 ,7857.969 ,8005.125 ,8152.540 ,8300.073 ,8447.599 ,8594.901 ,8741.756 ,8887.988 ,9033.461 ,9178.086 ,9321.828 ,9464.689 ,9606.664 ,9747.675 ,9887.684 ,10026.695 ,10164.756 ,10301.880 ,10438.046 ,10573.202 ,10707.355 ,10840.490 ,10972.592 ,11103.618 ,11233.513 ,11362.223 ,11489.663 ,11615.750 ,11740.447 ,11863.684 ,11985.320 ,12105.203 ,12223.199 ,12339.236 ,12453.286 ,12565.299 ,12675.271 ,12783.154 ,12888.925 ,12992.537 ,13094.022 ,13193.371 ,13290.621 ,13385.742 ,13478.715 ,13569.555 ,13658.246 ,13744.780 ,13829.153 ,13911.361 ,13991.410 ,14069.275 ,14144.954 ,14218.451 ,14289.753 ,14358.866 ,14425.792 ,14490.515 ,14553.043 ,14613.381 ,14671.525 ,14727.455 ,14781.199 
Ethiopia,18128.034 ,18466.968 ,18819.700 ,19184.292 ,19560.016 ,19947.292 ,20347.813 ,20764.450 ,21201.034 ,21661.996 ,22151.278 ,22671.190 ,23221.389 ,23798.429 ,24397.024 ,25013.626 ,25641.376 ,26281.208 ,26946.079 ,27654.161 ,28415.077 ,29245.207 ,30132.580 ,31025.115 ,31851.708 ,32566.821 ,33146.891 ,33622.390 ,34068.316 ,34590.226 ,35264.898 ,36120.288 ,37136.848 ,38285.883 ,39518.801 ,40800.343 ,42120.730 ,43493.283 ,44932.064 ,46458.913 ,48086.516 ,49821.083 ,51647.768 ,53532.956 ,55431.123 ,57309.880 ,59155.148 ,60976.450 ,62794.151 ,64640.054 ,66537.331 ,68492.257 ,70497.192 ,72545.144 ,74624.405 ,76727.083 ,78850.689 ,81000.409 ,83184.892 ,85416.253 ,87702.670 ,90046.756 ,92444.183 ,94887.724 ,97366.774 ,99873.033 ,102403.196 ,104957.438 ,107534.882 ,110135.635 ,112759.070 ,115403.326 ,118065.225 ,120741.324 ,123427.617 ,126120.682 ,128817.980 ,131517.867 ,134218.920 ,136920.107 ,139620.178 ,142317.586 ,145010.282 ,147695.897 ,150371.875 ,153036.024 ,155686.416 ,158322.006 ,160942.553 ,163548.404 ,166139.393 ,168714.421 ,171271.652 ,173809.294 ,176325.273 ,178817.639 ,181284.897 ,183725.643 ,186137.980 ,188519.926 ,190869.632 ,193185.551 ,195466.255 ,197710.275 ,199916.172 ,202082.564 ,204208.147 ,206291.692 ,208332.018 ,210328.007 ,212278.592 ,214182.834 ,216039.798 ,217848.514 ,219608.052 ,221317.582 ,222976.385 ,224583.933 ,226139.950 ,227644.312 ,229096.851 ,230497.429 ,231845.706 ,233141.129 ,234383.041 ,235571.073 ,236705.093 ,237785.421 ,238812.773 ,239788.134 ,240712.370 ,241586.168 ,242409.837 ,243183.424 ,243906.792 ,244580.164 ,245204.073 ,245779.682 ,246308.653 ,246793.009 ,247234.529 ,247634.562 ,247994.071 ,248313.819 ,248594.555 ,248837.223 ,249042.980 ,249213.269 ,249349.816 ,249454.608 ,249529.919 
Kenya,6076.758 ,6240.163 ,6412.363 ,6593.109 ,6782.287 ,6979.931 ,7186.211 ,7401.421 ,7625.995 ,7860.475 ,8105.440 ,8361.441 ,8628.972 ,8908.422 ,9200.157 ,9504.703 ,9822.499 ,10154.484 ,10502.245 ,10867.716 ,11252.492 ,11657.514 ,12083.188 ,12529.852 ,12997.595 ,13486.629 ,13996.704 ,14528.293 ,15082.994 ,15662.852 ,16268.990 ,16901.677 ,17559.430 ,18239.404 ,18937.738 ,19651.225 ,20378.626 ,21119.318 ,21871.442 ,22633.022 ,23402.507 ,24179.598 ,24963.953 ,25754.114 ,26548.486 ,27346.456 ,28147.734 ,28954.114 ,29769.803 ,30600.397 ,31450.483 ,32321.482 ,33214.009 ,34130.852 ,35074.931 ,36048.288 ,37052.050 ,38085.909 ,39148.416 ,40237.204 ,41350.152 ,42486.839 ,43646.629 ,44826.849 ,46024.250 ,47236.259 ,48461.567 ,49699.862 ,50950.879 ,52214.791 ,53491.697 ,54780.852 ,56081.772 ,57395.145 ,58722.068 ,60063.158 ,61418.176 ,62786.272 ,64166.647 ,65558.242 ,66959.993 ,68371.214 ,69791.017 ,71217.897 ,72650.119 ,74086.106 ,75524.882 ,76965.577 ,78406.959 ,79847.748 ,81286.865 ,82723.272 ,84156.324 ,85585.822 ,87011.808 ,88434.154 ,89852.235 ,91265.247 ,92672.520 ,94073.394 ,95467.137 ,96853.106 ,98230.578 ,99598.638 ,100956.312 ,102302.686 ,103636.956 ,104958.416 ,106266.321 ,107559.944 ,108838.578 ,110101.466 ,111347.854 ,112576.964 ,113788.006 ,114980.216 ,116153.024 ,117305.781 ,118437.579 ,119547.404 ,120634.465 ,121698.202 ,122738.386 ,123754.904 ,124747.873 ,125717.353 ,126663.059 ,127584.812 ,128482.766 ,129357.199 ,130208.287 ,131036.079 ,131840.328 ,132620.596 ,133376.232 ,134106.797 ,134812.145 ,135492.403 ,136147.678 ,136778.185 ,137384.135 ,137965.646 ,138522.820 ,139055.720 ,139564.455 ,140049.179 ,140510.131 ,140947.640 ,141362.093 ,141753.991 ,142123.899 
Madagascar,4083.554 ,4168.386 ,4256.770 ,4348.720 ,4444.288 ,4543.542 ,4646.576 ,4753.523 ,4864.524 ,4979.753 ,5099.373 ,5223.568 ,5352.503 ,5486.319 ,5625.164 ,5769.218 ,5918.595 ,6073.526 ,6234.465 ,6401.921 ,6576.305 ,6757.850 ,6946.620 ,7142.627 ,7345.780 ,7556.026 ,7773.449 ,7998.164 ,8230.218 ,8469.672 ,8716.553 ,8971.345 ,9234.129 ,9504.281 ,9780.872 ,10063.495 ,10352.120 ,10647.754 ,10952.395 ,11268.658 ,11598.633 ,11942.819 ,12301.336 ,12675.460 ,13066.543 ,13475.400 ,13902.688 ,14347.854 ,14808.791 ,15282.521 ,15766.806 ,16260.932 ,16765.117 ,17279.141 ,17802.997 ,18336.724 ,18880.268 ,19433.523 ,19996.469 ,20569.121 ,21151.640 ,21743.949 ,22346.573 ,22961.146 ,23589.801 ,24234.088 ,24894.551 ,25570.895 ,26262.810 ,26969.642 ,27690.798 ,28426.106 ,29175.412 ,29938.052 ,30713.196 ,31500.077 ,32298.311 ,33107.434 ,33926.654 ,34755.062 ,35591.943 ,36436.782 ,37289.343 ,38149.373 ,39016.761 ,39891.388 ,40772.971 ,41661.283 ,42556.397 ,43458.494 ,44367.656 ,45283.723 ,46206.441 ,47135.665 ,48071.248 ,49012.988 ,49960.619 ,50913.785 ,51872.127 ,52835.205 ,53802.574 ,54773.869 ,55748.627 ,56726.164 ,57705.696 ,58686.533 ,59668.151 ,60650.175 ,61632.182 ,62613.812 ,63594.676 ,64574.346 ,65552.365 ,66528.398 ,67502.139 ,68473.226 ,69441.300 ,70405.960 ,71366.711 ,72323.008 ,73274.376 ,74220.370 ,75160.700 ,76095.178 ,77023.691 ,77946.072 ,78862.021 ,79771.130 ,80672.891 ,81566.749 ,82452.185 ,83328.886 ,84196.584 ,85054.910 ,85903.486 ,86742.010 ,87570.153 ,88387.712 ,89194.664 ,89991.059 ,90776.882 ,91551.990 ,92316.134 ,93068.990 ,93810.235 ,94539.567 ,95256.762 ,95961.633 ,96654.079 ,97334.059 ,98001.584 
