"Region, subregion, country or area *",1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
WORLD,2536274.721 ,2583816.786 ,2630584.384 ,2677230.358 ,2724302.468 ,2772242.535 ,2821383.444 ,2871952.278 ,2924081.243 ,2977824.686 ,3033212.527 ,3090305.279 ,3149244.245 ,3210271.352 ,3273670.772 ,3339592.688 ,3408121.405 ,3479053.821 ,3551880.700 ,3625905.514 ,3700577.650 ,3775790.900 ,3851545.181 ,3927538.695 ,4003448.151 ,4079087.198 ,4154287.594 ,4229201.257 ,4304377.112 ,4380585.755 ,4458411.534 ,4537845.777 ,4618776.168 ,4701530.843 ,4786483.862 ,4873781.796 ,4963633.228 ,5055636.132 ,5148556.956 ,5240735.117 ,5330943.460 ,5418758.803 ,5504401.149 ,5588094.837 ,5670319.703 ,5751474.416 ,5831565.020 ,5910566.295 ,5988846.103 ,6066867.391 ,6145006.989 ,6223412.158 ,6302149.639 ,6381408.987 ,6461370.865 ,6542159.383 ,6623847.913 ,6706418.593 ,6789771.253 ,6873741.054 ,6958169.159 ,7043008.586 ,7128176.935 ,7213426.452 ,7298453.033 ,7383008.820 ,7456149.740 ,7524090.075 ,7588129.226 ,7650251.687 ,7711917.064 ,7773476.621 ,7834510.532 ,7894791.269 ,7953857.254 ,8011367.821 ,8067323.445 ,8121879.323 ,8175010.261 ,8226695.571 ,8276906.604 ,8325624.695 ,8372802.845 ,8418350.694 ,8462158.089 ,8504142.159 ,8544280.145 ,8582577.915 ,8619022.976 ,8653612.551 ,8686358.420 ,8717260.746 ,8746356.882 ,8773745.795 ,8799556.662 ,8823897.018 ,8846820.229 ,8868352.747 ,8888543.197 ,8907435.314 ,8925070.361 ,8941496.906 ,8956754.535 ,8970862.664 ,8983832.180 ,8995680.873 ,9006442.725 ,9016160.922 ,9024874.377 ,9032624.404 ,9039452.543 ,9045402.168 ,9050513.914 ,9054825.492 ,9058373.478 ,9061199.045 ,9063346.828 ,9064870.148 ,9065832.408 ,9066302.064 ,9066345.055 ,9066008.486 ,9065341.496 ,9064413.332 ,9063297.979 ,9062059.270 ,9060738.156 ,9059365.905 ,9057980.935 ,9056617.721 ,9055302.821 ,9054061.468 ,9052903.218 ,9051816.615 ,9050777.919 ,9049767.815 ,9048789.547 ,9047847.017 ,9046922.933 ,9045994.665 ,9045046.507 ,9044073.042 ,9043078.103 ,9042071.284 ,9041064.367 ,9040068.022 ,9039090.208 ,9038136.108 ,9037207.296 ,9036301.922 ,9035415.621 
AFRICA,228670.019 ,233277.049 ,238113.121 ,243177.791 ,248471.497 ,253995.025 ,259750.195 ,265739.281 ,271965.261 ,278431.545 ,285142.006 ,292100.079 ,299309.231 ,306772.112 ,314491.391 ,322470.634 ,330720.407 ,339247.878 ,348049.881 ,357119.794 ,366458.929 ,376067.257 ,385965.161 ,396198.875 ,406828.206 ,417898.074 ,429424.761 ,441404.179 ,453834.792 ,466707.331 ,480012.209 ,493747.699 ,507910.465 ,522485.550 ,537453.703 ,552796.228 ,568505.611 ,584569.186 ,600956.701 ,617632.012 ,634567.044 ,651763.106 ,669221.342 ,686916.862 ,704820.799 ,722921.961 ,741220.519 ,759752.789 ,778592.236 ,797836.027 ,817566.004 ,837820.928 ,858622.597 ,880016.866 ,902048.601 ,924757.708 ,948156.166 ,972265.961 ,997144.670 ,1022858.654 ,1049446.344 ,1076933.813 ,1105285.268 ,1134398.192 ,1164129.789 ,1194369.908 ,1212540.894 ,1225955.845 ,1236281.853 ,1245988.020 ,1256904.048 ,1269540.276 ,1283463.625 ,1298429.684 ,1313892.013 ,1329451.529 ,1345135.617 ,1361161.563 ,1377513.765 ,1394176.320 ,1411117.706 ,1428303.954 ,1445666.129 ,1463090.829 ,1480439.534 ,1497591.722 ,1514490.701 ,1531087.063 ,1547279.117 ,1562957.272 ,1578037.103 ,1592467.685 ,1606236.028 ,1619349.367 ,1631836.762 ,1643725.622 ,1655016.051 ,1665711.504 ,1675852.039 ,1685489.631 ,1694671.072 ,1703417.716 ,1711751.091 ,1719719.025 ,1727375.794 ,1734765.165 ,1741907.363 ,1748813.047 ,1755501.766 ,1761989.863 ,1768285.976 ,1774399.766 ,1780323.490 ,1786024.269 ,1791455.596 ,1796579.335 ,1801385.595 ,1805869.666 ,1810004.918 ,1813761.543 ,1817118.142 ,1820068.965 ,1822617.311 ,1824764.395 ,1826515.653 ,1827881.318 ,1828871.152 ,1829504.118 ,1829812.934 ,1829838.496 ,1829619.503 ,1829181.507 ,1828551.021 ,1827770.744 ,1826888.074 ,1825945.414 ,1824970.038 ,1823986.933 ,1823032.435 ,1822143.898 ,1821351.965 ,1820677.524 ,1820132.817 ,1819723.609 ,1819452.001 ,1819318.418 ,1819322.751 ,1819464.713 ,1819743.911 ,1820159.760 ,1820711.708 
Eastern Africa,66758.254 ,68208.356 ,69711.520 ,71272.418 ,72895.738 ,74585.806 ,76346.981 ,78183.385 ,80098.967 ,82097.498 ,84182.469 ,86356.934 ,88623.624 ,90984.649 ,93441.751 ,95996.653 ,98653.151 ,101413.366 ,104275.291 ,107235.237 ,110292.070 ,113445.206 ,116700.014 ,120068.437 ,123566.004 ,127204.270 ,130990.072 ,134922.280 ,138994.306 ,143195.464 ,147518.890 ,151952.438 ,156499.895 ,161188.537 ,166055.965 ,171123.080 ,176421.561 ,181929.187 ,187549.420 ,193150.021 ,198645.937 ,203990.506 ,209239.376 ,214535.842 ,220081.611 ,226021.034 ,232413.444 ,239215.718 ,246345.989 ,253675.516 ,261113.890 ,268638.612 ,276291.511 ,284122.793 ,292207.492 ,300599.706 ,309313.054 ,318329.032 ,327631.032 ,337191.043 ,346987.498 ,357015.563 ,367279.164 ,377775.443 ,388502.716 ,399458.026 ,406059.979 ,410971.494 ,414798.695 ,418434.949 ,422542.413 ,427308.837 ,432580.273 ,438266.684 ,444167.062 ,450134.127 ,456175.997 ,462370.209 ,468708.895 ,475183.930 ,481780.886 ,488484.456 ,495265.467 ,502077.015 ,508862.059 ,515570.715 ,522180.018 ,528668.419 ,534989.602 ,541092.876 ,546939.815 ,552510.417 ,557802.146 ,562818.897 ,567574.333 ,572082.675 ,576344.278 ,580366.272 ,584180.177 ,587826.632 ,591339.464 ,594731.571 ,598010.637 ,601198.090 ,604316.472 ,607382.264 ,610404.471 ,613383.555 ,616314.898 ,619188.530 ,621994.305 ,624730.532 ,627391.652 ,629957.655 ,632403.285 ,634707.872 ,636863.833 ,638867.060 ,640705.306 ,642365.959 ,643840.542 ,645125.941 ,646224.450 ,647140.904 ,647883.331 ,648460.956 ,648879.348 ,649147.488 ,649283.117 ,649307.870 ,649241.301 ,649095.302 ,648880.702 ,648614.851 ,648316.222 ,648000.956 ,647680.233 ,647362.937 ,647059.642 ,646780.017 ,646532.038 ,646321.638 ,646152.759 ,646027.680 ,645947.324 ,645911.428 ,645918.714 ,645966.982 ,646052.945 ,646172.443 ,646320.332 
Burundi,2308.920 ,2359.123 ,2403.511 ,2445.420 ,2487.390 ,2531.184 ,2577.735 ,2627.233 ,2679.141 ,2732.438 ,2786.106 ,2839.666 ,2893.669 ,2949.926 ,3010.859 ,3077.876 ,3152.723 ,3234.023 ,3316.233 ,3391.753 ,3455.606 ,3505.391 ,3544.047 ,3578.490 ,3618.585 ,3671.494 ,3739.659 ,3821.194 ,3913.768 ,4013.310 ,4116.817 ,4223.195 ,4333.386 ,4448.728 ,4571.292 ,4702.066 ,4841.565 ,4987.736 ,5135.956 ,5280.024 ,5415.415 ,5542.048 ,5661.139 ,5771.398 ,5871.607 ,5962.058 ,6041.112 ,6112.097 ,6186.352 ,6278.940 ,6400.706 ,6555.829 ,6741.569 ,6953.113 ,7182.451 ,7423.289 ,7675.338 ,7939.573 ,8212.264 ,8489.031 ,8766.930 ,9043.508 ,9319.710 ,9600.186 ,9891.790 ,10199.270 ,10365.057 ,10479.724 ,10561.368 ,10636.494 ,10724.746 ,10832.019 ,10953.876 ,11087.040 ,11224.729 ,11362.092 ,11499.308 ,11639.265 ,11782.724 ,11930.795 ,12084.162 ,12242.529 ,12405.126 ,12571.526 ,12741.113 ,12913.101 ,13087.158 ,13262.176 ,13435.510 ,13603.857 ,13764.619 ,13916.924 ,14060.632 ,14195.041 ,14319.643 ,14434.270 ,14538.530 ,14632.841 ,14718.935 ,14799.254 ,14875.716 ,14949.011 ,15019.354 ,15087.741 ,15155.186 ,15222.476 ,15290.065 ,15358.095 ,15426.590 ,15495.343 ,15564.102 ,15632.839 ,15701.338 ,15768.779 ,15834.133 ,15896.517 ,15955.624 ,16011.173 ,16062.381 ,16108.322 ,16148.356 ,16182.220 ,16209.985 ,16231.766 ,16247.854 ,16258.574 ,16264.085 ,16264.694 ,16261.229 ,16254.679 ,16245.948 ,16235.466 ,16223.616 ,16211.101 ,16198.668 ,16186.952 ,16176.329 ,16167.035 ,16159.324 ,16153.358 ,16149.232 ,16147.013 ,16146.690 ,16148.196 ,16151.422 ,16156.140 ,16162.098 ,16168.931 ,16176.220 ,16183.472 ,16190.122 
Comoros,159.459 ,163.139 ,166.541 ,169.752 ,172.853 ,175.903 ,178.946 ,181.992 ,185.043 ,188.097 ,191.121 ,194.139 ,197.198 ,200.372 ,203.753 ,207.424 ,211.478 ,215.897 ,220.575 ,225.325 ,230.054 ,234.644 ,239.235 ,244.208 ,250.104 ,257.290 ,265.953 ,275.900 ,286.634 ,297.447 ,307.829 ,317.606 ,326.946 ,336.096 ,345.466 ,355.337 ,365.760 ,376.654 ,387.963 ,399.632 ,411.594 ,423.872 ,436.448 ,449.274 ,462.277 ,475.394 ,488.627 ,501.953 ,515.385 ,528.848 ,542.357 ,555.888 ,569.479 ,583.211 ,597.228 ,611.627 ,626.425 ,641.620 ,657.229 ,673.252 ,689.692 ,706.569 ,723.868 ,741.500 ,759.385 ,777.424 ,789.278 ,798.643 ,806.408 ,813.872 ,822.007 ,831.084 ,840.872 ,851.232 ,861.861 ,872.552 ,883.302 ,894.227 ,905.329 ,916.629 ,928.098 ,939.727 ,951.466 ,963.255 ,975.017 ,986.678 ,998.188 ,1009.526 ,1020.632 ,1031.466 ,1041.970 ,1052.112 ,1061.874 ,1071.220 ,1080.108 ,1088.522 ,1096.449 ,1103.879 ,1110.847 ,1117.361 ,1123.461 ,1129.134 ,1134.417 ,1139.383 ,1144.137 ,1148.757 ,1153.281 ,1157.695 ,1162.002 ,1166.176 ,1170.212 ,1174.115 ,1177.891 ,1181.499 ,1184.936 ,1188.173 ,1191.196 ,1193.992 ,1196.564 ,1198.885 ,1200.943 ,1202.726 ,1204.250 ,1205.510 ,1206.492 ,1207.206 ,1207.661 ,1207.872 ,1207.850 ,1207.634 ,1207.249 ,1206.700 ,1206.022 ,1205.249 ,1204.417 ,1203.561 ,1202.707 ,1201.874 ,1201.079 ,1200.364 ,1199.752 ,1199.250 ,1198.885 ,1198.640 ,1198.514 ,1198.514 ,1198.617 ,1198.835 ,1199.160 ,1199.582 ,1200.098 
Djibouti,62.001 ,63.306 ,64.750 ,66.269 ,67.872 ,69.589 ,71.497 ,73.702 ,76.353 ,79.612 ,83.636 ,88.498 ,94.204 ,100.628 ,107.583 ,114.963 ,122.866 ,131.397 ,140.462 ,149.887 ,159.659 ,169.372 ,179.224 ,190.568 ,205.181 ,224.183 ,248.556 ,277.479 ,308.008 ,336.085 ,358.960 ,374.937 ,385.271 ,393.802 ,406.017 ,425.613 ,454.361 ,490.330 ,528.999 ,563.864 ,590.398 ,606.844 ,615.054 ,618.495 ,622.366 ,630.388 ,643.682 ,660.953 ,680.612 ,700.099 ,717.584 ,732.711 ,746.221 ,758.615 ,770.752 ,783.254 ,796.208 ,809.402 ,822.934 ,836.840 ,851.146 ,865.937 ,881.185 ,896.688 ,912.164 ,927.414 ,939.504 ,950.158 ,959.891 ,969.464 ,979.427 ,989.933 ,1000.827 ,1012.002 ,1023.214 ,1034.323 ,1045.314 ,1056.243 ,1067.082 ,1077.787 ,1088.347 ,1098.723 ,1108.909 ,1118.869 ,1128.590 ,1138.058 ,1147.255 ,1156.178 ,1164.783 ,1173.069 ,1181.035 ,1188.652 ,1195.927 ,1202.855 ,1209.417 ,1215.625 ,1221.478 ,1226.981 ,1232.142 ,1236.974 ,1241.508 ,1245.737 ,1249.685 ,1253.372 ,1256.841 ,1260.101 ,1263.180 ,1266.078 ,1268.804 ,1271.377 ,1273.791 ,1276.060 ,1278.193 ,1280.177 ,1281.989 ,1283.627 ,1285.086 ,1286.377 ,1287.501 ,1288.445 ,1289.221 ,1289.819 ,1290.249 ,1290.526 ,1290.673 ,1290.694 ,1290.586 ,1290.391 ,1290.089 ,1289.737 ,1289.326 ,1288.889 ,1288.424 ,1287.952 ,1287.501 ,1287.071 ,1286.681 ,1286.321 ,1286.030 ,1285.789 ,1285.626 ,1285.539 ,1285.508 ,1285.549 ,1285.654 ,1285.818 ,1286.028 ,1286.275 ,1286.560 ,1286.861 ,1287.177 
Eritrea,1142.148 ,1159.798 ,1179.537 ,1201.124 ,1224.384 ,1249.193 ,1275.534 ,1303.420 ,1332.953 ,1364.276 ,1397.491 ,1432.640 ,1469.645 ,1508.273 ,1548.187 ,1589.179 ,1631.147 ,1674.204 ,1718.525 ,1764.343 ,1811.878 ,1861.199 ,1912.302 ,1965.160 ,2019.717 ,2075.965 ,2133.723 ,2193.068 ,2254.450 ,2318.495 ,2385.540 ,2454.766 ,2525.521 ,2598.410 ,2674.289 ,2753.151 ,2837.111 ,2924.349 ,3006.361 ,3071.771 ,3113.311 ,3127.297 ,3118.582 ,3099.047 ,3085.443 ,3090.159 ,3116.379 ,3161.350 ,3224.223 ,3302.263 ,3392.801 ,3497.124 ,3614.639 ,3738.265 ,3858.623 ,3969.007 ,4066.648 ,4153.332 ,4232.636 ,4310.334 ,4390.840 ,4474.690 ,4560.977 ,4650.998 ,4746.045 ,4846.976 ,4914.196 ,4971.092 ,5021.480 ,5070.960 ,5123.684 ,5180.876 ,5241.633 ,5305.461 ,5371.184 ,5437.940 ,5505.763 ,5575.196 ,5646.318 ,5719.295 ,5794.154 ,5870.783 ,5948.864 ,6027.948 ,6107.434 ,6186.775 ,6265.726 ,6343.972 ,6420.871 ,6495.687 ,6567.825 ,6637.007 ,6703.080 ,6765.839 ,6825.143 ,6880.913 ,6933.052 ,6981.625 ,7026.867 ,7069.127 ,7108.746 ,7145.815 ,7180.498 ,7213.237 ,7244.587 ,7274.970 ,7304.583 ,7333.470 ,7361.708 ,7389.313 ,7416.281 ,7442.668 ,7468.478 ,7493.503 ,7517.522 ,7540.315 ,7561.816 ,7581.982 ,7600.633 ,7617.562 ,7632.622 ,7645.747 ,7656.957 ,7666.254 ,7673.625 ,7679.128 ,7682.813 ,7684.756 ,7685.145 ,7684.202 ,7682.129 ,7679.040 ,7675.097 ,7670.563 ,7665.726 ,7660.866 ,7656.116 ,7651.578 ,7647.434 ,7643.830 ,7640.906 ,7638.732 ,7637.317 ,7636.671 ,7636.758 ,7637.526 ,7638.904 ,7640.821 ,7643.204 ,7645.945 ,7648.950 
Ethiopia,18128.034 ,18466.968 ,18819.700 ,19184.292 ,19560.016 ,19947.292 ,20347.813 ,20764.450 ,21201.034 ,21661.996 ,22151.278 ,22671.190 ,23221.389 ,23798.429 ,24397.024 ,25013.626 ,25641.376 ,26281.208 ,26946.079 ,27654.161 ,28415.077 ,29245.207 ,30132.580 ,31025.115 ,31851.708 ,32566.821 ,33146.891 ,33622.390 ,34068.316 ,34590.226 ,35264.898 ,36120.288 ,37136.848 ,38285.883 ,39518.801 ,40800.343 ,42120.730 ,43493.283 ,44932.064 ,46458.913 ,48086.516 ,49821.083 ,51647.768 ,53532.956 ,55431.123 ,57309.880 ,59155.148 ,60976.450 ,62794.151 ,64640.054 ,66537.331 ,68492.257 ,70497.192 ,72545.144 ,74624.405 ,76727.083 ,78850.689 ,81000.409 ,83184.892 ,85416.253 ,87702.670 ,90046.756 ,92444.183 ,94887.724 ,97366.774 ,99873.033 ,101457.308 ,102675.041 ,103661.090 ,104613.488 ,105678.771 ,106898.993 ,108239.706 ,109678.941 ,111169.362 ,112676.073 ,114200.140 ,115758.466 ,117348.041 ,118965.753 ,120607.444 ,122269.115 ,123944.228 ,125622.705 ,127292.553 ,128943.299 ,130569.642 ,132166.897 ,133726.157 ,135237.921 ,136694.869 ,138092.788 ,139430.574 ,140708.438 ,141928.404 ,143092.655 ,144201.183 ,145255.022 ,146259.257 ,147220.541 ,148144.595 ,149033.416 ,149888.866 ,150716.301 ,151521.806 ,152309.851 ,153082.503 ,153839.591 ,154580.216 ,155302.324 ,156003.781 ,156684.273 ,157342.690 ,157974.819 ,158575.325 ,159139.805 ,159666.631 ,160154.854 ,160601.606 ,161003.924 ,161359.739 ,161668.521 ,161930.709 ,162146.770 ,162317.693 ,162445.043 ,162530.148 ,162575.461 ,162585.404 ,162565.403 ,162520.514 ,162453.795 ,162368.323 ,162269.338 ,162162.608 ,162053.105 ,161944.001 ,161837.763 ,161737.748 ,161647.163 ,161568.558 ,161503.678 ,161453.506 ,161418.408 ,161398.300 ,161392.794 ,161401.221 ,161422.706 ,161456.130 ,161500.157 ,161553.217 
Kenya,6076.758 ,6240.163 ,6412.363 ,6593.109 ,6782.287 ,6979.931 ,7186.211 ,7401.421 ,7625.995 ,7860.475 ,8105.440 ,8361.441 ,8628.972 ,8908.422 ,9200.157 ,9504.703 ,9822.499 ,10154.484 ,10502.245 ,10867.716 ,11252.492 ,11657.514 ,12083.188 ,12529.852 ,12997.595 ,13486.629 ,13996.704 ,14528.293 ,15082.994 ,15662.852 ,16268.990 ,16901.677 ,17559.430 ,18239.404 ,18937.738 ,19651.225 ,20378.626 ,21119.318 ,21871.442 ,22633.022 ,23402.507 ,24179.598 ,24963.953 ,25754.114 ,26548.486 ,27346.456 ,28147.734 ,28954.114 ,29769.803 ,30600.397 ,31450.483 ,32321.482 ,33214.009 ,34130.852 ,35074.931 ,36048.288 ,37052.050 ,38085.909 ,39148.416 ,40237.204 ,41350.152 ,42486.839 ,43646.629 ,44826.849 ,46024.250 ,47236.259 ,48046.552 ,48697.264 ,49245.470 ,49775.345 ,50349.250 ,50984.681 ,51667.043 ,52388.128 ,53129.380 ,53877.108 ,54632.024 ,55401.014 ,56182.607 ,56975.090 ,57776.303 ,58584.589 ,59397.012 ,60208.454 ,61012.753 ,61804.652 ,62581.645 ,63341.832 ,64081.447 ,64796.606 ,65484.381 ,66142.946 ,66771.957 ,67372.075 ,67944.917 ,68491.992 ,69013.439 ,69509.744 ,69983.380 ,70437.484 ,70874.684 ,71296.037 ,71702.194 ,72094.813 ,72475.587 ,72845.784 ,73206.180 ,73556.866 ,73897.438 ,74227.060 ,74544.961 ,74851.058 ,75145.101 ,75425.788 ,75691.474 ,75940.844 ,76173.450 ,76389.141 ,76587.288 ,76767.256 ,76928.694 ,77071.565 ,77196.123 ,77302.791 ,77392.182 ,77465.004 ,77521.832 ,77563.492 ,77591.337 ,77606.977 ,77611.932 ,77607.276 ,77594.056 ,77573.782 ,77548.081 ,77518.430 ,77485.921 ,77451.556 ,77416.615 ,77382.412 ,77350.048 ,77320.393 ,77294.091 ,77271.594 ,77253.260 ,77239.397 ,77230.278 ,77226.163 ,77227.298 ,77233.931 ,77246.251 
Madagascar,4083.554 ,4168.386 ,4256.770 ,4348.720 ,4444.288 ,4543.542 ,4646.576 ,4753.523 ,4864.524 ,4979.753 ,5099.373 ,5223.568 ,5352.503 ,5486.319 ,5625.164 ,5769.218 ,5918.595 ,6073.526 ,6234.465 ,6401.921 ,6576.305 ,6757.850 ,6946.620 ,7142.627 ,7345.780 ,7556.026 ,7773.449 ,7998.164 ,8230.218 ,8469.672 ,8716.553 ,8971.345 ,9234.129 ,9504.281 ,9780.872 ,10063.495 ,10352.120 ,10647.754 ,10952.395 ,11268.658 ,11598.633 ,11942.819 ,12301.336 ,12675.460 ,13066.543 ,13475.400 ,13902.688 ,14347.854 ,14808.791 ,15282.521 ,15766.806 ,16260.932 ,16765.117 ,17279.141 ,17802.997 ,18336.724 ,18880.268 ,19433.523 ,19996.469 ,20569.121 ,21151.640 ,21743.949 ,22346.573 ,22961.146 ,23589.801 ,24234.088 ,24641.351 ,24958.652 ,25218.619 ,25469.144 ,25745.736 ,26058.479 ,26399.120 ,26762.771 ,27138.557 ,27518.396 ,27902.704 ,28295.363 ,28695.239 ,29101.011 ,29511.217 ,29924.794 ,30340.180 ,30754.731 ,31165.316 ,31569.273 ,31965.305 ,32352.341 ,32728.287 ,33090.968 ,33438.757 ,33770.776 ,34086.990 ,34387.870 ,34674.440 ,34947.681 ,35207.688 ,35454.927 ,35691.358 ,35919.461 ,36141.207 ,36357.353 ,36568.107 ,36774.098 ,36975.852 ,37173.688 ,37367.892 ,37558.398 ,37744.604 ,37925.590 ,38100.517 ,38269.154 ,38431.163 ,38585.511 ,38730.940 ,38866.460 ,38991.694 ,39106.527 ,39210.516 ,39303.292 ,39384.668 ,39454.628 ,39513.467 ,39561.714 ,39600.142 ,39629.507 ,39650.299 ,39663.095 ,39669.032 ,39669.394 ,39665.343 ,39657.597 ,39646.782 ,39633.876 ,39619.888 ,39605.683 ,39591.857 ,39578.827 ,39566.990 ,39556.675 ,39548.107 ,39541.477 ,39536.887 ,39534.386 ,39533.932 ,39535.392 ,39538.550 ,39543.087 ,39548.609 ,39554.617 ,39560.519 
