"Region, subregion, country or area *",1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
WORLD,2536274.721 ,2583816.786 ,2630584.384 ,2677230.358 ,2724302.468 ,2772242.535 ,2821383.444 ,2871952.278 ,2924081.243 ,2977824.686 ,3033212.527 ,3090305.279 ,3149244.245 ,3210271.352 ,3273670.772 ,3339592.688 ,3408121.405 ,3479053.821 ,3551880.700 ,3625905.514 ,3700577.650 ,3775790.900 ,3851545.181 ,3927538.695 ,4003448.151 ,4079087.198 ,4154287.594 ,4229201.257 ,4304377.112 ,4380585.755 ,4458411.534 ,4537845.777 ,4618776.168 ,4701530.843 ,4786483.862 ,4873781.796 ,4963633.228 ,5055636.132 ,5148556.956 ,5240735.117 ,5330943.460 ,5418758.803 ,5504401.149 ,5588094.837 ,5670319.703 ,5751474.416 ,5831565.020 ,5910566.295 ,5988846.103 ,6066867.391 ,6145006.989 ,6223412.158 ,6302149.639 ,6381408.987 ,6461370.865 ,6542159.383 ,6623847.913 ,6706418.593 ,6789771.253 ,6873741.054 ,6958169.159 ,7043008.586 ,7128176.935 ,7213426.452 ,7298453.033 ,7383008.820 ,7468369.289 ,7553284.442 ,7637740.011 ,7721725.454 ,7805234.785 ,7888265.723 ,7970820.769 ,8052906.066 ,8134532.692 ,8215717.746 ,8296484.468 ,8376864.113 ,8456895.932 ,8536625.851 ,8616103.515 ,8695378.090 ,8774503.534 ,8853544.714 ,8932572.293 ,9011659.206 ,9090872.333 ,9170284.847 ,9249984.061 ,9330064.696 ,9410617.978 ,9491731.573 ,9573485.412 ,9655956.399 ,9739218.954 ,9823353.945 ,9908454.839 ,9994621.307 ,10081948.632 ,10170534.255 ,10260480.849 ,10351895.906 ,10444893.818 ,10539593.886 ,10636120.920 ,10734601.937 ,10835162.695 ,10937931.873 ,11043044.279 ,11150639.156 ,11260856.941 ,11373838.207 ,11489725.482 ,11608667.419 ,11730815.357 ,11856322.138 ,11985339.953 ,12118022.383 ,12254526.942 ,12395012.795 ,12539641.074 ,12688570.313 ,12841963.100 ,12999989.371 ,13162822.666 ,13330634.591 ,13503592.416 ,13681859.690 ,13865600.084 ,14054976.058 ,14250152.015 ,14451303.357 ,14658601.460 ,14872202.645 ,15092259.328 ,15318933.892 ,15552414.211 ,15792894.921 ,16040557.568 ,16295585.328 ,16558173.625 ,16828534.862 ,17106895.711 ,17393494.998 ,17688579.997 ,17992403.211 ,18305220.924 ,18627293.027 ,18958882.463 ,19300255.394 ,19651681.645 
AFRICA,228670.019 ,233277.049 ,238113.121 ,243177.791 ,248471.497 ,253995.025 ,259750.195 ,265739.281 ,271965.261 ,278431.545 ,285142.006 ,292100.079 ,299309.231 ,306772.112 ,314491.391 ,322470.634 ,330720.407 ,339247.878 ,348049.881 ,357119.794 ,366458.929 ,376067.257 ,385965.161 ,396198.875 ,406828.206 ,417898.074 ,429424.761 ,441404.179 ,453834.792 ,466707.331 ,480012.209 ,493747.699 ,507910.465 ,522485.550 ,537453.703 ,552796.228 ,568505.611 ,584569.186 ,600956.701 ,617632.012 ,634567.044 ,651763.106 ,669221.342 ,686916.862 ,704820.799 ,722921.961 ,741220.519 ,759752.789 ,778592.236 ,797836.027 ,817566.004 ,837820.928 ,858622.597 ,880016.866 ,902048.601 ,924757.708 ,948156.166 ,972265.961 ,997144.670 ,1022858.654 ,1049446.344 ,1076933.813 ,1105285.268 ,1134398.192 ,1164129.789 ,1194369.908 ,1225903.555 ,1258311.831 ,1291595.892 ,1325759.691 ,1360810.102 ,1396756.652 ,1433611.944 ,1471391.058 ,1510111.752 ,1549793.726 ,1590457.785 ,1632125.810 ,1674820.171 ,1718564.432 ,1763385.180 ,1809311.921 ,1856378.485 ,1904623.385 ,1954088.534 ,2004816.360 ,2056846.015 ,2110218.408 ,2164979.882 ,2221179.676 ,2278866.216 ,2338087.131 ,2398888.412 ,2461316.507 ,2525417.764 ,2591240.418 ,2658836.660 ,2728259.825 ,2799561.302 ,2872792.957 ,2948009.195 ,3025269.967 ,3104636.790 ,3186168.769 ,3269926.065 ,3355972.562 ,3444378.202 ,3535216.934 ,3628562.698 ,3724492.576 ,3823086.487 ,3924428.308 ,4028605.290 ,4135707.400 ,4245827.637 ,4359062.089 ,4475509.730 ,4595272.627 ,4718455.738 ,4845166.846 ,4975517.154 ,5109621.358 ,5247596.932 ,5389563.357 ,5535642.789 ,5685961.117 ,5840650.125 ,5999844.128 ,6163677.966 ,6332288.914 ,6505819.433 ,6684420.411 ,6868246.627 ,7057452.100 ,7252194.003 ,7452636.055 ,7658952.673 ,7871323.516 ,8089928.057 ,8314949.537 ,8546579.269 ,8785017.627 ,9030473.749 ,9283164.374 ,9543312.554 ,9811146.717 ,10086900.140 ,10370810.746 ,10663120.861 ,10964077.731 ,11273932.899 
Eastern Africa,66758.254 ,68208.356 ,69711.520 ,71272.418 ,72895.738 ,74585.806 ,76346.981 ,78183.385 ,80098.967 ,82097.498 ,84182.469 ,86356.934 ,88623.624 ,90984.649 ,93441.751 ,95996.653 ,98653.151 ,101413.366 ,104275.291 ,107235.237 ,110292.070 ,113445.206 ,116700.014 ,120068.437 ,123566.004 ,127204.270 ,130990.072 ,134922.280 ,138994.306 ,143195.464 ,147518.890 ,151952.438 ,156499.895 ,161188.537 ,166055.965 ,171123.080 ,176421.561 ,181929.187 ,187549.420 ,193150.021 ,198645.937 ,203990.506 ,209239.376 ,214535.842 ,220081.611 ,226021.034 ,232413.444 ,239215.718 ,246345.989 ,253675.516 ,261113.890 ,268638.612 ,276291.511 ,284122.793 ,292207.492 ,300599.706 ,309313.054 ,318329.032 ,327631.032 ,337191.043 ,346987.498 ,357015.563 ,367279.164 ,377775.443 ,388502.716 ,399458.026 ,411005.962 ,422966.074 ,435327.406 ,448082.303 ,461226.058 ,474757.113 ,488677.176 ,502990.432 ,517703.355 ,532822.557 ,548352.859 ,564295.827 ,580648.710 ,597406.666 ,614568.930 ,632142.096 ,650137.794 ,668567.530 ,687445.208 ,706785.868 ,726602.456 ,746910.981 ,767733.762 ,789096.449 ,811023.109 ,833533.219 ,856644.868 ,880379.923 ,904760.770 ,929809.162 ,955546.037 ,981991.190 ,1009163.962 ,1037083.043 ,1065767.567 ,1095239.278 ,1125519.203 ,1156625.091 ,1188573.841 ,1221384.354 ,1255080.072 ,1289686.098 ,1325225.352 ,1361721.515 ,1399200.032 ,1437689.164 ,1477219.435 ,1517822.283 ,1559530.715 ,1602379.045 ,1646402.201 ,1691636.731 ,1738121.506 ,1785896.924 ,1835004.415 ,1885485.468 ,1937382.529 ,1990739.951 ,2045603.266 ,2102018.894 ,2160034.586 ,2219698.446 ,2281058.920 ,2344165.300 ,2409068.390 ,2475821.778 ,2544480.334 ,2615098.514 ,2687731.709 ,2762437.451 ,2839276.664 ,2918311.993 ,2999606.104 ,3083222.856 ,3169228.654 ,3257692.660 ,3348686.721 ,3442285.093 ,3538563.985 ,3637601.321 ,3739476.558 ,3844270.720 ,3952066.127 ,4062946.726 ,4176997.913 
Burundi,2308.920 ,2359.123 ,2403.511 ,2445.420 ,2487.390 ,2531.184 ,2577.735 ,2627.233 ,2679.141 ,2732.438 ,2786.106 ,2839.666 ,2893.669 ,2949.926 ,3010.859 ,3077.876 ,3152.723 ,3234.023 ,3316.233 ,3391.753 ,3455.606 ,3505.391 ,3544.047 ,3578.490 ,3618.585 ,3671.494 ,3739.659 ,3821.194 ,3913.768 ,4013.310 ,4116.817 ,4223.195 ,4333.386 ,4448.728 ,4571.292 ,4702.066 ,4841.565 ,4987.736 ,5135.956 ,5280.024 ,5415.415 ,5542.048 ,5661.139 ,5771.398 ,5871.607 ,5962.058 ,6041.112 ,6112.097 ,6186.352 ,6278.940 ,6400.706 ,6555.829 ,6741.569 ,6953.113 ,7182.451 ,7423.289 ,7675.338 ,7939.573 ,8212.264 ,8489.031 ,8766.930 ,9043.508 ,9319.710 ,9600.186 ,9891.790 ,10199.270 ,10541.768 ,10893.599 ,11254.709 ,11625.063 ,12004.618 ,12393.319 ,12791.132 ,13198.025 ,13613.995 ,14039.146 ,14473.711 ,14918.185 ,15373.247 ,15839.775 ,16318.597 ,16810.313 ,17315.529 ,17835.185 ,18370.298 ,18921.835 ,19490.468 ,20076.858 ,20681.843 ,21306.303 ,21950.985 ,22616.542 ,23303.470 ,24012.151 ,24742.897 ,25496.032 ,26272.067 ,27071.436 ,27894.233 ,28740.413 ,29610.101 ,30503.790 ,31422.112 ,32365.498 ,33334.403 ,34329.419 ,35351.272 ,36400.877 ,37479.271 ,38587.645 ,39727.181 ,40898.955 ,42104.144 ,43344.180 ,44620.626 ,45935.005 ,47288.620 ,48682.766 ,50118.896 ,51598.526 ,53123.112 ,54694.055 ,56312.670 ,57980.224 ,59697.898 ,61466.938 ,63288.788 ,65164.886 ,67096.416 ,69084.561 ,71130.571 ,73236.070 ,75402.756 ,77632.200 ,79926.001 ,82285.904 ,84713.878 ,87211.997 ,89782.476 ,92427.635 ,95149.872 ,97951.645 ,100835.498 ,103804.037 ,106859.981 ,110006.153 ,113245.474 ,116580.997 ,120015.880 ,123553.403 ,127196.955 
Comoros,159.459 ,163.139 ,166.541 ,169.752 ,172.853 ,175.903 ,178.946 ,181.992 ,185.043 ,188.097 ,191.121 ,194.139 ,197.198 ,200.372 ,203.753 ,207.424 ,211.478 ,215.897 ,220.575 ,225.325 ,230.054 ,234.644 ,239.235 ,244.208 ,250.104 ,257.290 ,265.953 ,275.900 ,286.634 ,297.447 ,307.829 ,317.606 ,326.946 ,336.096 ,345.466 ,355.337 ,365.760 ,376.654 ,387.963 ,399.632 ,411.594 ,423.872 ,436.448 ,449.274 ,462.277 ,475.394 ,488.627 ,501.953 ,515.385 ,528.848 ,542.357 ,555.888 ,569.479 ,583.211 ,597.228 ,611.627 ,626.425 ,641.620 ,657.229 ,673.252 ,689.692 ,706.569 ,723.868 ,741.500 ,759.385 ,777.424 ,796.474 ,816.036 ,836.088 ,856.612 ,877.623 ,899.092 ,921.023 ,943.412 ,966.271 ,989.594 ,1013.375 ,1037.635 ,1062.360 ,1087.575 ,1113.276 ,1139.479 ,1166.193 ,1193.446 ,1221.249 ,1249.625 ,1278.585 ,1308.159 ,1338.362 ,1369.208 ,1400.739 ,1432.974 ,1465.924 ,1499.606 ,1534.040 ,1569.246 ,1605.246 ,1642.054 ,1679.701 ,1718.214 ,1757.610 ,1797.919 ,1839.168 ,1881.348 ,1924.502 ,1968.621 ,2013.737 ,2059.880 ,2107.060 ,2155.317 ,2204.671 ,2255.146 ,2306.778 ,2359.598 ,2413.646 ,2468.950 ,2525.543 ,2583.470 ,2642.765 ,2703.476 ,2765.630 ,2829.282 ,2894.458 ,2961.212 ,3029.581 ,3099.602 ,3171.316 ,3244.766 ,3319.991 ,3397.040 ,3475.936 ,3556.742 ,3639.487 ,3724.218 ,3810.972 ,3899.799 ,3990.746 ,4083.857 ,4179.189 ,4276.783 ,4376.683 ,4478.949 ,4583.656 ,4690.832 ,4800.553 ,4912.873 ,5027.854 ,5145.567 ,5266.078 ,5389.429 ,5515.715 
Djibouti,62.001 ,63.306 ,64.750 ,66.269 ,67.872 ,69.589 ,71.497 ,73.702 ,76.353 ,79.612 ,83.636 ,88.498 ,94.204 ,100.628 ,107.583 ,114.963 ,122.866 ,131.397 ,140.462 ,149.887 ,159.659 ,169.372 ,179.224 ,190.568 ,205.181 ,224.183 ,248.556 ,277.479 ,308.008 ,336.085 ,358.960 ,374.937 ,385.271 ,393.802 ,406.017 ,425.613 ,454.361 ,490.330 ,528.999 ,563.864 ,590.398 ,606.844 ,615.054 ,618.495 ,622.366 ,630.388 ,643.682 ,660.953 ,680.612 ,700.099 ,717.584 ,732.711 ,746.221 ,758.615 ,770.752 ,783.254 ,796.208 ,809.402 ,822.934 ,836.840 ,851.146 ,865.937 ,881.185 ,896.688 ,912.164 ,927.414 ,943.338 ,959.669 ,976.344 ,993.315 ,1010.521 ,1027.922 ,1045.482 ,1063.159 ,1080.923 ,1098.747 ,1116.599 ,1134.446 ,1152.250 ,1169.980 ,1187.589 ,1205.064 ,1222.392 ,1239.567 ,1256.562 ,1273.391 ,1290.028 ,1306.497 ,1322.784 ,1338.942 ,1354.950 ,1370.825 ,1386.588 ,1402.277 ,1417.917 ,1433.553 ,1449.186 ,1464.842 ,1480.542 ,1496.285 ,1512.097 ,1527.992 ,1543.965 ,1559.992 ,1576.093 ,1592.232 ,1608.421 ,1624.649 ,1640.889 ,1657.130 ,1673.327 ,1689.491 ,1705.611 ,1721.680 ,1737.694 ,1753.643 ,1769.521 ,1785.349 ,1801.130 ,1816.882 ,1832.622 ,1848.367 ,1864.116 ,1879.914 ,1895.793 ,1911.764 ,1927.874 ,1944.110 ,1960.505 ,1977.091 ,1993.877 ,2010.883 ,2028.121 ,2045.577 ,2063.267 ,2081.192 ,2099.351 ,2117.736 ,2136.348 ,2155.152 ,2174.151 ,2193.317 ,2212.655 ,2232.137 ,2251.766 ,2271.528 ,2291.413 ,2311.393 ,2331.447 ,2351.552 ,2371.671 
Eritrea,1142.148 ,1159.798 ,1179.537 ,1201.124 ,1224.384 ,1249.193 ,1275.534 ,1303.420 ,1332.953 ,1364.276 ,1397.491 ,1432.640 ,1469.645 ,1508.273 ,1548.187 ,1589.179 ,1631.147 ,1674.204 ,1718.525 ,1764.343 ,1811.878 ,1861.199 ,1912.302 ,1965.160 ,2019.717 ,2075.965 ,2133.723 ,2193.068 ,2254.450 ,2318.495 ,2385.540 ,2454.766 ,2525.521 ,2598.410 ,2674.289 ,2753.151 ,2837.111 ,2924.349 ,3006.361 ,3071.771 ,3113.311 ,3127.297 ,3118.582 ,3099.047 ,3085.443 ,3090.159 ,3116.379 ,3161.350 ,3224.223 ,3302.263 ,3392.801 ,3497.124 ,3614.639 ,3738.265 ,3858.623 ,3969.007 ,4066.648 ,4153.332 ,4232.636 ,4310.334 ,4390.840 ,4474.690 ,4560.977 ,4650.998 ,4746.045 ,4846.976 ,4965.299 ,5087.000 ,5212.175 ,5340.910 ,5473.253 ,5609.235 ,5748.867 ,5892.132 ,6039.027 ,6189.517 ,6343.631 ,6501.445 ,6663.100 ,6828.743 ,6998.524 ,7172.503 ,7350.715 ,7533.167 ,7719.871 ,7910.837 ,8106.100 ,8305.725 ,8509.721 ,8718.075 ,8930.808 ,9147.991 ,9369.694 ,9595.930 ,9826.729 ,10062.146 ,10302.257 ,10547.201 ,10797.135 ,11052.276 ,11312.783 ,11578.842 ,11850.589 ,12128.220 ,12411.948 ,12701.956 ,12998.442 ,13301.602 ,13611.603 ,13928.683 ,14253.014 ,14584.816 ,14924.273 ,15271.587 ,15626.941 ,15990.527 ,16362.557 ,16743.237 ,17132.777 ,17531.358 ,17939.201 ,18356.533 ,18783.571 ,19220.557 ,19667.709 ,20125.271 ,20593.493 ,21072.637 ,21562.979 ,22064.781 ,22578.331 ,23103.915 ,23641.837 ,24192.416 ,24755.973 ,25332.834 ,25923.330 ,26527.801 ,27146.591 ,27780.078 ,28428.609 ,29092.566 ,29772.301 ,30468.187 ,31180.588 ,31909.886 ,32656.471 ,33420.726 ,34203.066 ,35003.890 ,35823.631 
Ethiopia,18128.034 ,18466.968 ,18819.700 ,19184.292 ,19560.016 ,19947.292 ,20347.813 ,20764.450 ,21201.034 ,21661.996 ,22151.278 ,22671.190 ,23221.389 ,23798.429 ,24397.024 ,25013.626 ,25641.376 ,26281.208 ,26946.079 ,27654.161 ,28415.077 ,29245.207 ,30132.580 ,31025.115 ,31851.708 ,32566.821 ,33146.891 ,33622.390 ,34068.316 ,34590.226 ,35264.898 ,36120.288 ,37136.848 ,38285.883 ,39518.801 ,40800.343 ,42120.730 ,43493.283 ,44932.064 ,46458.913 ,48086.516 ,49821.083 ,51647.768 ,53532.956 ,55431.123 ,57309.880 ,59155.148 ,60976.450 ,62794.151 ,64640.054 ,66537.331 ,68492.257 ,70497.192 ,72545.144 ,74624.405 ,76727.083 ,78850.689 ,81000.409 ,83184.892 ,85416.253 ,87702.670 ,90046.756 ,92444.183 ,94887.724 ,97366.774 ,99873.033 ,102572.904 ,105395.564 ,108332.854 ,111377.869 ,114524.905 ,117769.550 ,121108.593 ,124539.958 ,128062.386 ,131674.813 ,135375.623 ,139161.966 ,143029.556 ,146973.378 ,150990.020 ,155078.866 ,159241.268 ,163478.691 ,167793.597 ,172188.895 ,176666.551 ,181229.775 ,185884.742 ,190638.981 ,195499.294 ,200469.931 ,205554.693 ,210759.422 ,216090.301 ,221552.836 ,227151.346 ,232889.330 ,238770.368 ,244797.627 ,250974.087 ,257303.187 ,263787.691 ,270428.861 ,277227.309 ,284184.133 ,291302.112 ,298584.235 ,306032.036 ,313646.832 ,321430.620 ,329386.782 ,337519.439 ,345832.439 ,354329.980 ,363016.743 ,371897.671 ,380978.432 ,390265.578 ,399766.273 ,409487.771 ,419436.674 ,429619.893 ,440045.544 ,450722.216 ,461658.325 ,472861.554 ,484339.448 ,496100.171 ,508152.023 ,520503.208 ,533161.705 ,546135.369 ,559431.920 ,573059.027 ,587024.432 ,601336.322 ,616002.790 ,631031.310 ,646429.258 ,662204.327 ,678364.767 ,694919.298 ,711876.987 ,729247.040 ,747038.697 ,765261.155 ,783923.536 ,803034.884 ,822604.144 ,842640.232 
Kenya,6076.758 ,6240.163 ,6412.363 ,6593.109 ,6782.287 ,6979.931 ,7186.211 ,7401.421 ,7625.995 ,7860.475 ,8105.440 ,8361.441 ,8628.972 ,8908.422 ,9200.157 ,9504.703 ,9822.499 ,10154.484 ,10502.245 ,10867.716 ,11252.492 ,11657.514 ,12083.188 ,12529.852 ,12997.595 ,13486.629 ,13996.704 ,14528.293 ,15082.994 ,15662.852 ,16268.990 ,16901.677 ,17559.430 ,18239.404 ,18937.738 ,19651.225 ,20378.626 ,21119.318 ,21871.442 ,22633.022 ,23402.507 ,24179.598 ,24963.953 ,25754.114 ,26548.486 ,27346.456 ,28147.734 ,28954.114 ,29769.803 ,30600.397 ,31450.483 ,32321.482 ,33214.009 ,34130.852 ,35074.931 ,36048.288 ,37052.050 ,38085.909 ,39148.416 ,40237.204 ,41350.152 ,42486.839 ,43646.629 ,44826.849 ,46024.250 ,47236.259 ,48501.885 ,49803.122 ,51138.880 ,52508.344 ,53910.943 ,55346.407 ,56814.732 ,58316.120 ,59850.952 ,61419.549 ,63021.943 ,64657.724 ,66325.916 ,68025.234 ,69754.783 ,71514.539 ,73304.883 ,75125.771 ,76977.263 ,78859.653 ,80773.310 ,82719.091 ,84698.533 ,86713.566 ,88765.947 ,90856.737 ,92986.855 ,95157.771 ,97371.018 ,99628.007 ,101929.938 ,104277.818 ,106672.613 ,109115.182 ,111606.402 ,114147.389 ,116739.173 ,119382.388 ,122077.564 ,124825.374 ,127626.976 ,130483.632 ,133396.400 ,136366.373 ,139394.796 ,142483.055 ,145632.800 ,148845.928 ,152124.505 ,155470.599 ,158886.059 ,162372.735 ,165932.798 ,169568.481 ,173281.997 ,177075.419 ,180950.802 ,184910.325 ,188956.184 ,193090.560 ,197315.680 ,201633.648 ,206046.473 ,210556.110 ,215164.609 ,219874.218 ,224687.264 ,229605.978 ,234632.583 ,239769.433 ,245018.945 ,250383.653 ,255866.193 ,261469.243 ,267195.557 ,273047.854 ,279028.896 ,285141.471 ,291388.430 ,297772.662 ,304297.142 ,310964.927 ,317779.119 ,324742.908 ,331859.565 
Madagascar,4083.554 ,4168.386 ,4256.770 ,4348.720 ,4444.288 ,4543.542 ,4646.576 ,4753.523 ,4864.524 ,4979.753 ,5099.373 ,5223.568 ,5352.503 ,5486.319 ,5625.164 ,5769.218 ,5918.595 ,6073.526 ,6234.465 ,6401.921 ,6576.305 ,6757.850 ,6946.620 ,7142.627 ,7345.780 ,7556.026 ,7773.449 ,7998.164 ,8230.218 ,8469.672 ,8716.553 ,8971.345 ,9234.129 ,9504.281 ,9780.872 ,10063.495 ,10352.120 ,10647.754 ,10952.395 ,11268.658 ,11598.633 ,11942.819 ,12301.336 ,12675.460 ,13066.543 ,13475.400 ,13902.688 ,14347.854 ,14808.791 ,15282.521 ,15766.806 ,16260.932 ,16765.117 ,17279.141 ,17802.997 ,18336.724 ,18880.268 ,19433.523 ,19996.469 ,20569.121 ,21151.640 ,21743.949 ,22346.573 ,22961.146 ,23589.801 ,24234.088 ,24909.003 ,25609.053 ,26332.998 ,27079.792 ,27848.620 ,28638.836 ,29450.018 ,30281.922 ,31134.442 ,32007.553 ,32901.156 ,33815.056 ,34748.853 ,35702.101 ,36674.601 ,37666.516 ,38678.344 ,39710.758 ,40764.635 ,41840.870 ,42940.083 ,44063.041 ,45210.990 ,46385.380 ,47587.530 ,48818.415 ,50078.824 ,51369.837 ,52692.503 ,54047.819 ,55436.729 ,56860.067 ,58318.534 ,59812.725 ,61343.299 ,62911.107 ,64517.019 ,66161.696 ,67845.733 ,69569.858 ,71334.968 ,73142.044 ,74992.014 ,76885.803 ,78824.430 ,80809.005 ,82840.745 ,84920.899 ,87050.823 ,89231.884 ,91465.462 ,93752.997 ,96096.061 ,98496.264 ,100955.268 ,103474.684 ,106056.170 ,108701.453 ,111412.326 ,114190.570 ,117038.021 ,119956.491 ,122947.842 ,126013.956 ,129156.776 ,132378.264 ,135680.436 ,139065.286 ,142534.837 ,146091.179 ,149736.476 ,153472.948 ,157302.812 ,161228.282 ,165251.656 ,169375.348 ,173601.820 ,177933.640 ,182373.427 ,186923.837 ,191587.560 ,196367.347 ,201265.943 ,206286.166 ,211430.847 
