"Region, subregion, country or area *",1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
WORLD,2536274.721 ,2583816.786 ,2630584.384 ,2677230.358 ,2724302.468 ,2772242.535 ,2821383.444 ,2871952.278 ,2924081.243 ,2977824.686 ,3033212.527 ,3090305.279 ,3149244.245 ,3210271.352 ,3273670.772 ,3339592.688 ,3408121.405 ,3479053.821 ,3551880.700 ,3625905.514 ,3700577.650 ,3775790.900 ,3851545.181 ,3927538.695 ,4003448.151 ,4079087.198 ,4154287.594 ,4229201.257 ,4304377.112 ,4380585.755 ,4458411.534 ,4537845.777 ,4618776.168 ,4701530.843 ,4786483.862 ,4873781.796 ,4963633.228 ,5055636.132 ,5148556.956 ,5240735.117 ,5330943.460 ,5418758.803 ,5504401.149 ,5588094.837 ,5670319.703 ,5751474.416 ,5831565.020 ,5910566.295 ,5988846.103 ,6066867.391 ,6145006.989 ,6223412.158 ,6302149.639 ,6381408.987 ,6461370.865 ,6542159.383 ,6623847.913 ,6706418.593 ,6789771.253 ,6873741.054 ,6958169.159 ,7043008.586 ,7128176.935 ,7213426.452 ,7298453.033 ,7383008.820 ,7467190.180 ,7550580.590 ,7633162.614 ,7714915.692 ,7795816.178 ,7875837.821 ,7954950.870 ,8033124.150 ,8110325.531 ,8186527.923 ,8261713.116 ,8335876.889 ,8409031.227 ,8481197.866 ,8552393.474 ,8622618.848 ,8691868.307 ,8760144.950 ,8827452.336 ,8893793.404 ,8959163.361 ,9023562.244 ,9087004.065 ,9149506.485 ,9211078.441 ,9271720.037 ,9331413.951 ,9390130.069 ,9447828.155 ,9504474.367 ,9560056.420 ,9614565.394 ,9667974.560 ,9720254.162 ,9771381.529 ,9821351.369 ,9870163.924 ,9917812.501 ,9964292.583 ,10009607.176 ,10053759.264 ,10096768.102 ,10138675.618 ,10179535.649 ,10219394.970 ,10258276.320 ,10296195.799 ,10333185.222 ,10369277.837 ,10404502.186 ,10438880.524 ,10472428.042 ,10505155.501 ,10537069.441 ,10568177.045 ,10598493.007 ,10628029.159 ,10656786.344 ,10684760.437 ,10711952.310 ,10738369.137 ,10764024.731 ,10788934.897 ,10813118.105 ,10836591.420 ,10859362.220 ,10881439.196 ,10902842.067 ,10923593.037 ,10943708.863 ,10963196.739 ,10982055.831 ,11000283.539 ,11017872.707 ,11034816.029 ,11051107.057 ,11066739.906 ,11081707.601 ,11096002.011 ,11109611.387 ,11122520.972 ,11134712.503 ,11146163.923 ,11156849.308 ,11166739.645 
AFRICA,228670.019 ,233277.049 ,238113.121 ,243177.791 ,248471.497 ,253995.025 ,259750.195 ,265739.281 ,271965.261 ,278431.545 ,285142.006 ,292100.079 ,299309.231 ,306772.112 ,314491.391 ,322470.634 ,330720.407 ,339247.878 ,348049.881 ,357119.794 ,366458.929 ,376067.257 ,385965.161 ,396198.875 ,406828.206 ,417898.074 ,429424.761 ,441404.179 ,453834.792 ,466707.331 ,480012.209 ,493747.699 ,507910.465 ,522485.550 ,537453.703 ,552796.228 ,568505.611 ,584569.186 ,600956.701 ,617632.012 ,634567.044 ,651763.106 ,669221.342 ,686916.862 ,704820.799 ,722921.961 ,741220.519 ,759752.789 ,778592.236 ,797836.027 ,817566.004 ,837820.928 ,858622.597 ,880016.866 ,902048.601 ,924757.708 ,948156.166 ,972265.961 ,997144.670 ,1022858.654 ,1049446.344 ,1076933.813 ,1105285.268 ,1134398.192 ,1164129.789 ,1194369.908 ,1225660.953 ,1257374.508 ,1289529.750 ,1322142.112 ,1355223.522 ,1388782.317 ,1422823.113 ,1457347.444 ,1492354.127 ,1527841.430 ,1563808.740 ,1600258.410 ,1637196.899 ,1674631.873 ,1712566.578 ,1750996.663 ,1789912.003 ,1829301.673 ,1869152.040 ,1909447.811 ,1950176.323 ,1991321.137 ,2032858.230 ,2074759.558 ,2116998.728 ,2159555.749 ,2202411.085 ,2245539.665 ,2288915.008 ,2332512.399 ,2376309.478 ,2420286.093 ,2464422.784 ,2508700.905 ,2553101.379 ,2597605.825 ,2642194.184 ,2686844.595 ,2731534.576 ,2776243.563 ,2820951.631 ,2865643.254 ,2910307.881 ,2954937.930 ,2999523.213 ,3044047.571 ,3088491.557 ,3132837.503 ,3177066.813 ,3221160.572 ,3265101.176 ,3308869.595 ,3352442.583 ,3395795.313 ,3438904.574 ,3481751.016 ,3524316.468 ,3566580.842 ,3608523.790 ,3650126.291 ,3691370.216 ,3732238.887 ,3772716.876 ,3812789.693 ,3852443.022 ,3891661.657 ,3930430.497 ,3968735.704 ,4006563.766 ,4043901.507 ,4080736.289 ,4117055.021 ,4152844.226 ,4188090.276 ,4222780.455 ,4256903.494 ,4290449.301 ,4323408.619 ,4355772.878 ,4387533.714 ,4418682.907 ,4449212.462 ,4479114.177 ,4508380.201 ,4537002.660 
Eastern Africa,66758.254 ,68208.356 ,69711.520 ,71272.418 ,72895.738 ,74585.806 ,76346.981 ,78183.385 ,80098.967 ,82097.498 ,84182.469 ,86356.934 ,88623.624 ,90984.649 ,93441.751 ,95996.653 ,98653.151 ,101413.366 ,104275.291 ,107235.237 ,110292.070 ,113445.206 ,116700.014 ,120068.437 ,123566.004 ,127204.270 ,130990.072 ,134922.280 ,138994.306 ,143195.464 ,147518.890 ,151952.438 ,156499.895 ,161188.537 ,166055.965 ,171123.080 ,176421.561 ,181929.187 ,187549.420 ,193150.021 ,198645.937 ,203990.506 ,209239.376 ,214535.842 ,220081.611 ,226021.034 ,232413.444 ,239215.718 ,246345.989 ,253675.516 ,261113.890 ,268638.612 ,276291.511 ,284122.793 ,292207.492 ,300599.706 ,309313.054 ,318329.032 ,327631.032 ,337191.043 ,346987.498 ,357015.563 ,367279.164 ,377775.443 ,388502.716 ,399458.026 ,410844.463 ,422427.617 ,434208.540 ,446187.528 ,458364.273 ,470737.926 ,483306.929 ,496069.154 ,509021.908 ,522162.216 ,535486.836 ,548992.603 ,562676.429 ,576535.019 ,590564.412 ,604760.623 ,619118.103 ,633628.987 ,648284.312 ,663075.885 ,677997.125 ,693042.843 ,708207.852 ,723487.315 ,738875.951 ,754367.730 ,769955.717 ,785632.925 ,801391.895 ,817225.556 ,833126.883 ,849089.211 ,865106.145 ,881171.301 ,897277.876 ,913419.200 ,929587.703 ,945775.470 ,961974.252 ,978176.003 ,994373.531 ,1010559.733 ,1026726.869 ,1042867.067 ,1058972.803 ,1075036.548 ,1091051.663 ,1107012.236 ,1122913.031 ,1138748.272 ,1154511.655 ,1170195.869 ,1185793.037 ,1201294.575 ,1216692.655 ,1231980.635 ,1247152.503 ,1262202.100 ,1277123.434 ,1291910.663 ,1306558.014 ,1321059.768 ,1335410.716 ,1349605.802 ,1363640.033 ,1377508.906 ,1391207.546 ,1404730.671 ,1418072.740 ,1431229.000 ,1444195.054 ,1456967.622 ,1469544.646 ,1481924.792 ,1494106.282 ,1506086.608 ,1517862.592 ,1529430.689 ,1540787.460 ,1551929.751 ,1562855.051 ,1573561.357 ,1584047.251 ,1594311.886 ,1604355.032 
Burundi,2308.920 ,2359.123 ,2403.511 ,2445.420 ,2487.390 ,2531.184 ,2577.735 ,2627.233 ,2679.141 ,2732.438 ,2786.106 ,2839.666 ,2893.669 ,2949.926 ,3010.859 ,3077.876 ,3152.723 ,3234.023 ,3316.233 ,3391.753 ,3455.606 ,3505.391 ,3544.047 ,3578.490 ,3618.585 ,3671.494 ,3739.659 ,3821.194 ,3913.768 ,4013.310 ,4116.817 ,4223.195 ,4333.386 ,4448.728 ,4571.292 ,4702.066 ,4841.565 ,4987.736 ,5135.956 ,5280.024 ,5415.415 ,5542.048 ,5661.139 ,5771.398 ,5871.607 ,5962.058 ,6041.112 ,6112.097 ,6186.352 ,6278.940 ,6400.706 ,6555.829 ,6741.569 ,6953.113 ,7182.451 ,7423.289 ,7675.338 ,7939.573 ,8212.264 ,8489.031 ,8766.930 ,9043.508 ,9319.710 ,9600.186 ,9891.790 ,10199.270 ,10530.647 ,10867.990 ,11211.386 ,11560.835 ,11916.192 ,12277.221 ,12643.574 ,13014.804 ,13390.463 ,13770.193 ,14153.924 ,14542.006 ,14935.233 ,15334.732 ,15741.422 ,16155.546 ,16577.279 ,17007.329 ,17446.491 ,17895.332 ,18354.059 ,18822.584 ,19300.742 ,19788.211 ,20284.612 ,20789.795 ,21303.430 ,21824.754 ,22352.801 ,22886.732 ,23426.109 ,23970.584 ,24519.515 ,25072.214 ,25628.122 ,26186.874 ,26748.220 ,27311.952 ,27877.907 ,28445.989 ,29015.991 ,29587.874 ,30161.842 ,30738.284 ,31317.458 ,31899.318 ,32483.760 ,33070.947 ,33661.105 ,34254.315 ,34850.502 ,35449.383 ,36050.591 ,36653.570 ,37257.878 ,37863.153 ,38469.074 ,39075.124 ,39680.741 ,40285.397 ,40888.745 ,41490.387 ,42089.670 ,42685.870 ,43278.417 ,43866.845 ,44451.011 ,45030.938 ,45606.805 ,46178.709 ,46746.534 ,47309.987 ,47868.839 ,48422.821 ,48971.703 ,49515.327 ,50053.603 ,50586.479 ,51113.919 ,51635.863 ,52152.247 ,52662.967 ,53167.896 ,53666.874 ,54159.730 
Comoros,159.459 ,163.139 ,166.541 ,169.752 ,172.853 ,175.903 ,178.946 ,181.992 ,185.043 ,188.097 ,191.121 ,194.139 ,197.198 ,200.372 ,203.753 ,207.424 ,211.478 ,215.897 ,220.575 ,225.325 ,230.054 ,234.644 ,239.235 ,244.208 ,250.104 ,257.290 ,265.953 ,275.900 ,286.634 ,297.447 ,307.829 ,317.606 ,326.946 ,336.096 ,345.466 ,355.337 ,365.760 ,376.654 ,387.963 ,399.632 ,411.594 ,423.872 ,436.448 ,449.274 ,462.277 ,475.394 ,488.627 ,501.953 ,515.385 ,528.848 ,542.357 ,555.888 ,569.479 ,583.211 ,597.228 ,611.627 ,626.425 ,641.620 ,657.229 ,673.252 ,689.692 ,706.569 ,723.868 ,741.500 ,759.385 ,777.424 ,797.648 ,818.044 ,838.614 ,859.346 ,880.263 ,901.334 ,922.568 ,943.955 ,965.474 ,987.139 ,1008.927 ,1030.843 ,1052.883 ,1075.072 ,1097.385 ,1119.839 ,1142.413 ,1165.114 ,1187.933 ,1210.868 ,1233.918 ,1257.063 ,1280.301 ,1303.606 ,1326.975 ,1350.398 ,1373.864 ,1397.341 ,1420.820 ,1444.298 ,1467.742 ,1491.146 ,1514.489 ,1537.737 ,1560.869 ,1583.867 ,1606.725 ,1629.431 ,1651.986 ,1674.383 ,1696.622 ,1718.679 ,1740.558 ,1762.236 ,1783.710 ,1804.962 ,1826.007 ,1846.829 ,1867.457 ,1887.867 ,1908.065 ,1928.066 ,1947.800 ,1967.279 ,1986.471 ,2005.373 ,2023.972 ,2042.257 ,2060.228 ,2077.871 ,2095.197 ,2112.179 ,2128.817 ,2145.106 ,2161.046 ,2176.632 ,2191.858 ,2206.706 ,2221.174 ,2235.263 ,2248.944 ,2262.233 ,2275.120 ,2287.635 ,2299.764 ,2311.527 ,2322.905 ,2333.913 ,2344.546 ,2354.798 ,2364.674 ,2374.190 ,2383.339 ,2392.139 ,2400.600 
Djibouti,62.001 ,63.306 ,64.750 ,66.269 ,67.872 ,69.589 ,71.497 ,73.702 ,76.353 ,79.612 ,83.636 ,88.498 ,94.204 ,100.628 ,107.583 ,114.963 ,122.866 ,131.397 ,140.462 ,149.887 ,159.659 ,169.372 ,179.224 ,190.568 ,205.181 ,224.183 ,248.556 ,277.479 ,308.008 ,336.085 ,358.960 ,374.937 ,385.271 ,393.802 ,406.017 ,425.613 ,454.361 ,490.330 ,528.999 ,563.864 ,590.398 ,606.844 ,615.054 ,618.495 ,622.366 ,630.388 ,643.682 ,660.953 ,680.612 ,700.099 ,717.584 ,732.711 ,746.221 ,758.615 ,770.752 ,783.254 ,796.208 ,809.402 ,822.934 ,836.840 ,851.146 ,865.937 ,881.185 ,896.688 ,912.164 ,927.414 ,941.121 ,954.770 ,968.315 ,981.733 ,995.009 ,1008.122 ,1021.056 ,1033.799 ,1046.324 ,1058.639 ,1070.716 ,1082.552 ,1094.110 ,1105.386 ,1116.356 ,1127.014 ,1137.341 ,1147.351 ,1157.010 ,1166.326 ,1175.302 ,1183.921 ,1192.202 ,1200.138 ,1207.726 ,1214.984 ,1221.903 ,1228.488 ,1234.739 ,1240.665 ,1246.273 ,1251.554 ,1256.517 ,1261.167 ,1265.497 ,1269.521 ,1273.230 ,1276.624 ,1279.694 ,1282.444 ,1284.876 ,1286.973 ,1288.760 ,1290.206 ,1291.324 ,1292.108 ,1292.566 ,1292.707 ,1292.532 ,1292.052 ,1291.281 ,1290.211 ,1288.882 ,1287.275 ,1285.400 ,1283.288 ,1280.933 ,1278.373 ,1275.610 ,1272.685 ,1269.594 ,1266.363 ,1263.008 ,1259.526 ,1255.965 ,1252.313 ,1248.581 ,1244.795 ,1240.955 ,1237.089 ,1233.187 ,1229.276 ,1225.327 ,1221.343 ,1217.317 ,1213.247 ,1209.143 ,1205.002 ,1200.829 ,1196.621 ,1192.394 ,1188.141 ,1183.842 ,1179.502 ,1175.094 
Eritrea,1142.148 ,1159.798 ,1179.537 ,1201.124 ,1224.384 ,1249.193 ,1275.534 ,1303.420 ,1332.953 ,1364.276 ,1397.491 ,1432.640 ,1469.645 ,1508.273 ,1548.187 ,1589.179 ,1631.147 ,1674.204 ,1718.525 ,1764.343 ,1811.878 ,1861.199 ,1912.302 ,1965.160 ,2019.717 ,2075.965 ,2133.723 ,2193.068 ,2254.450 ,2318.495 ,2385.540 ,2454.766 ,2525.521 ,2598.410 ,2674.289 ,2753.151 ,2837.111 ,2924.349 ,3006.361 ,3071.771 ,3113.311 ,3127.297 ,3118.582 ,3099.047 ,3085.443 ,3090.159 ,3116.379 ,3161.350 ,3224.223 ,3302.263 ,3392.801 ,3497.124 ,3614.639 ,3738.265 ,3858.623 ,3969.007 ,4066.648 ,4153.332 ,4232.636 ,4310.334 ,4390.840 ,4474.690 ,4560.977 ,4650.998 ,4746.045 ,4846.976 ,4973.611 ,5100.928 ,5229.199 ,5358.612 ,5489.325 ,5621.479 ,5755.147 ,5890.377 ,6027.181 ,6165.569 ,6305.568 ,6447.224 ,6590.623 ,6735.879 ,6883.053 ,7032.133 ,7183.019 ,7335.580 ,7489.670 ,7645.110 ,7801.798 ,7959.615 ,8118.323 ,8277.658 ,8437.375 ,8597.336 ,8757.407 ,8917.416 ,9077.174 ,9236.513 ,9395.321 ,9553.490 ,9710.971 ,9867.709 ,10023.662 ,10178.765 ,10332.948 ,10486.200 ,10638.552 ,10789.989 ,10940.488 ,11089.984 ,11238.437 ,11385.829 ,11532.110 ,11677.235 ,11821.131 ,11963.732 ,12104.950 ,12244.716 ,12382.964 ,12519.619 ,12654.556 ,12787.622 ,12918.680 ,13047.677 ,13174.561 ,13299.305 ,13421.895 ,13542.305 ,13660.507 ,13776.466 ,13890.194 ,14001.692 ,14110.987 ,14218.054 ,14322.890 ,14425.462 ,14525.775 ,14623.806 ,14719.551 ,14813.001 ,14904.140 ,14992.960 ,15079.442 ,15163.581 ,15245.375 ,15324.815 ,15401.895 ,15476.616 ,15548.966 ,15618.956 ,15686.576 ,15751.814 ,15814.660 
Ethiopia,18128.034 ,18466.968 ,18819.700 ,19184.292 ,19560.016 ,19947.292 ,20347.813 ,20764.450 ,21201.034 ,21661.996 ,22151.278 ,22671.190 ,23221.389 ,23798.429 ,24397.024 ,25013.626 ,25641.376 ,26281.208 ,26946.079 ,27654.161 ,28415.077 ,29245.207 ,30132.580 ,31025.115 ,31851.708 ,32566.821 ,33146.891 ,33622.390 ,34068.316 ,34590.226 ,35264.898 ,36120.288 ,37136.848 ,38285.883 ,39518.801 ,40800.343 ,42120.730 ,43493.283 ,44932.064 ,46458.913 ,48086.516 ,49821.083 ,51647.768 ,53532.956 ,55431.123 ,57309.880 ,59155.148 ,60976.450 ,62794.151 ,64640.054 ,66537.331 ,68492.257 ,70497.192 ,72545.144 ,74624.405 ,76727.083 ,78850.689 ,81000.409 ,83184.892 ,85416.253 ,87702.670 ,90046.756 ,92444.183 ,94887.724 ,97366.774 ,99873.033 ,102407.907 ,104973.096 ,107566.100 ,110184.287 ,112824.900 ,115485.065 ,118161.776 ,120851.950 ,123552.482 ,126260.430 ,128973.205 ,131688.766 ,134405.633 ,137122.778 ,139838.890 ,142552.450 ,145261.354 ,147963.266 ,150655.586 ,153336.130 ,156002.960 ,158655.015 ,161292.086 ,163914.520 ,166522.160 ,169113.904 ,171687.910 ,174242.407 ,176775.341 ,179284.795 ,181769.275 ,184227.336 ,186657.038 ,189056.346 ,191423.348 ,193756.465 ,196054.290 ,198315.315 ,200538.116 ,202721.301 ,204863.563 ,206963.649 ,209020.348 ,211032.538 ,212999.128 ,214919.167 ,216791.714 ,218615.782 ,220390.429 ,222114.832 ,223788.240 ,225410.139 ,226980.235 ,228498.412 ,229964.494 ,231378.353 ,232739.634 ,234047.780 ,235302.159 ,236502.382 ,237648.319 ,238740.305 ,239779.037 ,240765.534 ,241700.652 ,242585.091 ,243419.135 ,244202.863 ,244936.127 ,245619.145 ,246252.454 ,246837.229 ,247375.126 ,247868.179 ,248318.184 ,248726.476 ,249094.035 ,249421.616 ,249709.976 ,249960.048 ,250173.007 ,250350.286 ,250493.614 ,250604.995 ,250686.698 
Kenya,6076.758 ,6240.163 ,6412.363 ,6593.109 ,6782.287 ,6979.931 ,7186.211 ,7401.421 ,7625.995 ,7860.475 ,8105.440 ,8361.441 ,8628.972 ,8908.422 ,9200.157 ,9504.703 ,9822.499 ,10154.484 ,10502.245 ,10867.716 ,11252.492 ,11657.514 ,12083.188 ,12529.852 ,12997.595 ,13486.629 ,13996.704 ,14528.293 ,15082.994 ,15662.852 ,16268.990 ,16901.677 ,17559.430 ,18239.404 ,18937.738 ,19651.225 ,20378.626 ,21119.318 ,21871.442 ,22633.022 ,23402.507 ,24179.598 ,24963.953 ,25754.114 ,26548.486 ,27346.456 ,28147.734 ,28954.114 ,29769.803 ,30600.397 ,31450.483 ,32321.482 ,33214.009 ,34130.852 ,35074.931 ,36048.288 ,37052.050 ,38085.909 ,39148.416 ,40237.204 ,41350.152 ,42486.839 ,43646.629 ,44826.849 ,46024.250 ,47236.259 ,48474.880 ,49724.696 ,50986.230 ,52259.983 ,53546.392 ,54845.850 ,56158.705 ,57485.263 ,58825.699 ,60180.070 ,61548.178 ,62929.531 ,64323.312 ,65728.440 ,67143.827 ,68568.782 ,70002.415 ,71443.210 ,72889.416 ,74339.482 ,75792.420 ,77247.356 ,78703.070 ,80158.296 ,81611.956 ,83063.023 ,84510.853 ,85955.241 ,87396.271 ,88833.833 ,90267.310 ,91695.854 ,93118.778 ,94535.347 ,95944.771 ,97346.412 ,98739.518 ,100123.176 ,101496.389 ,102858.252 ,104207.938 ,105544.731 ,106867.858 ,108176.595 ,109470.192 ,110747.914 ,112008.979 ,113252.589 ,114477.963 ,115684.324 ,116871.100 ,118037.631 ,119183.000 ,120306.188 ,121406.412 ,122483.091 ,123535.982 ,124565.019 ,125570.280 ,126551.832 ,127509.411 ,128442.810 ,129352.201 ,130237.867 ,131099.975 ,131938.572 ,132753.448 ,133544.126 ,134309.961 ,135050.529 ,135765.683 ,136455.523 ,137120.196 ,137759.896 ,138374.849 ,138965.177 ,139530.978 ,140072.307 ,140589.282 ,141082.055 ,141550.866 ,141996.033 ,142417.959 ,142817.139 ,143194.138 
Madagascar,4083.554 ,4168.386 ,4256.770 ,4348.720 ,4444.288 ,4543.542 ,4646.576 ,4753.523 ,4864.524 ,4979.753 ,5099.373 ,5223.568 ,5352.503 ,5486.319 ,5625.164 ,5769.218 ,5918.595 ,6073.526 ,6234.465 ,6401.921 ,6576.305 ,6757.850 ,6946.620 ,7142.627 ,7345.780 ,7556.026 ,7773.449 ,7998.164 ,8230.218 ,8469.672 ,8716.553 ,8971.345 ,9234.129 ,9504.281 ,9780.872 ,10063.495 ,10352.120 ,10647.754 ,10952.395 ,11268.658 ,11598.633 ,11942.819 ,12301.336 ,12675.460 ,13066.543 ,13475.400 ,13902.688 ,14347.854 ,14808.791 ,15282.521 ,15766.806 ,16260.932 ,16765.117 ,17279.141 ,17802.997 ,18336.724 ,18880.268 ,19433.523 ,19996.469 ,20569.121 ,21151.640 ,21743.949 ,22346.573 ,22961.146 ,23589.801 ,24234.088 ,24894.165 ,25571.715 ,26265.698 ,26975.161 ,27699.277 ,28437.353 ,29188.783 ,29953.089 ,30729.870 ,31518.698 ,32319.089 ,33130.415 ,33951.874 ,34782.550 ,35621.716 ,36468.873 ,37323.769 ,38186.138 ,39055.915 ,39932.942 ,40816.941 ,41707.688 ,42605.271 ,43509.866 ,44421.553 ,45340.182 ,46265.480 ,47197.342 ,48135.587 ,49080.043 ,50030.428 ,50986.405 ,51947.583 ,52913.541 ,53883.794 ,54857.994 ,55835.675 ,56816.145 ,57798.621 ,58782.402 ,59766.974 ,60751.936 ,61736.891 ,62721.459 ,63705.263 ,64687.855 ,65668.789 ,66647.741 ,67624.372 ,68598.330 ,69569.278 ,70536.798 ,71500.393 ,72459.522 ,73413.713 ,74362.517 ,75305.638 ,76242.903 ,77174.191 ,78099.327 ,79018.030 ,79929.878 ,80834.367 ,81730.934 ,82619.069 ,83498.457 ,84368.820 ,85229.790 ,86080.994 ,86922.127 ,87752.863 ,88572.983 ,89382.474 ,90181.392 ,90969.714 ,91747.308 ,92513.904 ,93269.191 ,94012.839 ,94744.556 ,95464.098 ,96171.294 ,96866.037 ,97548.279 ,98218.046 
