Hierarchy,Name,Starttime,Endtime,Predeccessor,Predeccessor 2
0,WORLD,1975,2016,,
1,Other Areas (pre-USSR),1975,1991,,
2,Soviet Union,1975,1991,,
1,Eastern Europe (pre-USSR),1975,1991,,
2,Czechoslovakia,1975,1993,,
2,Bulgaria,1975,2016,,
2,Hungary,1975,2016,,
2,Poland,1975,2016,,
2,Romania,1975,2016,,
1,Northern Europe (pre-USSR),1975,1991,,
2,Channel Islands,1975,2016,,
2,Denmark,1975,2016,,
2,Faroe Islands,1975,2016,,
2,Finland,1975,2016,,
2,Iceland,1975,2016,,
2,Ireland,1975,2016,,
2,Isle of Man,1975,2016,,
2,Norway,1975,2016,,
2,Sweden,1975,2016,,
2,United Kingdom,1975,2016,,
1,Other Areas (post-USSR),1991,2016,Other Areas (pre-USSR),
2,Kazakhstan,1991,2016,Soviet Union,
2,Kyrgyzstan,1991,2016,Soviet Union,
2,Tajikistan,1991,2016,Soviet Union,
2,Turkmenistan,1991,2016,Soviet Union,
2,Uzbekistan,1991,2016,Soviet Union,
2,Armenia,1991,2016,Soviet Union,
2,Azerbaijan,1991,2016,Soviet Union,
2,Georgia,1991,2016,Soviet Union,
1,Eastern Europe (post-USSR),1991,2016,Eastern Europe (pre-USSR),Other Areas (pre-USSR)
2,Czechoslovakia,1975,1993,,
2,Belarus,1991,2016,Soviet Union,
2,Bulgaria,1975,2016,,
2,Czechia,1993,2016,Czechoslovakia,
2,Hungary,1975,2016,,
2,Poland,1975,2016,,
2,Moldova,1991,2016,Soviet Union,
2,Romania,1975,2016,,
2,Russian Federation,1991,2016,Soviet Union,
2,Slovakia,1993,2016,Czechoslovakia,
2,Ukraine,1991,2016,Soviet Union,
1,Northern Europe (post-USSR),1991,2016,Northern Europe (pre-USSR),Other Areas (pre-USSR)
2,Channel Islands,1975,2016,,
2,Denmark,1975,2016,,
2,Estonia,1991,2016,Soviet Union,
2,Faroe Islands,1975,2016,,
2,Finland,1975,2016,,
2,Iceland,1975,2016,,
2,Ireland,1975,2016,,
2,Isle of Man,1975,2016,,
2,Latvia,1991,2016,Soviet Union,
2,Lithuania,1991,2016,Soviet Union,
2,Norway,1975,2016,,
2,Sweden,1975,2016,,
2,United Kingdom,1975,2016,,
1,Southern Europe,1975,2016,,
2,Yugoslavia,1975,1992,,
2,Serbia and Montenegro,1992,2006,Yugoslavia,
2,Albania,1975,2016,,
2,Andorra,1975,2016,,
2,Bosnia and Herzegovina,1992,2016,Yugoslavia,
2,Croatia,1992,2016,Yugoslavia,
2,Gibraltar,1975,2016,,
2,Greece,1975,2016,,
2,Holy See,1975,2016,,
2,Italy,1975,2016,,
2,Malta,1975,2016,,
2,Montenegro,2006,2016,Serbia and Montenegro,
2,Portugal,1975,2016,,
2,San Marino,1975,2016,,
2,Serbia,2006,2016,Serbia and Montenegro,
2,Slovenia,1992,2016,Yugoslavia,
2,Spain,1975,2016,,
2,Macedonia,1992,2016,Yugoslavia,
1,Western Europe,1975,2016,,
2,Austria,1975,2016,,
2,Belgium,1975,2016,,
2,France,1975,2016,,
2,East Germany,1975,1990,,
2,West Germany,1975,1990,,
2,Germany,1990,2016,East Germany,West Germany
2,Lichtenstein,1975,2016,,
2,Luxembourg,1975,2016,,
2,Monaco,1975,2016,,
2,Netherlands,1975,2016,,
2,Switzerland,1975,2016,,
