Hierarchy,Name,Starttime,Endtime,
0,WORLD,1950,2100,
1,OCEANIA,1950,2100,
2,Australia/New Zealand,1950,2100,
3,Australia,1950,2100,
3,New Zealand,1950,2100,
2,Melanesia,1950,2100,
3,Fiji,1950,2100,
3,New Caledonia,1950,2100,
3,Papua New Guinea,1950,2100,
3,Solomon Islands,1950,2100,
3,Vanuatu,1950,2100,
2,Micronesia,1950,2100,
3,Guam,1950,2100,
3,Kiribati,1950,2100,
3,Marshall Islands,1950,2100,
3,Micronesia (Fed. States of),1950,2100,
3,Nauru,1950,2100,
3,Northern Mariana Islands,1950,2100,
3,Palau,1950,2100,
2,Polynesia,1950,2100,
3,American Samoa,1950,2100,
3,Cook Islands,1950,2100,
3,French Polynesia,1950,2100,
3,Niue,1950,2100,
3,Samoa,1950,2100,
3,Tokelau,1950,2100,
3,Tonga,1950,2100,
3,Tuvalu,1950,2100,
3,Wallis and Futuna Islands,1950,2100,
1,LATIN AMERICA AND THE CARIBBEAN,1950,2100,
2,Caribbean,1950,2100,
3,Anguilla,1950,2100,
3,Antigua and Barbuda,1950,2100,
3,Aruba,1950,2100,
3,Bahamas,1950,2100,
3,Barbados,1950,2100,
3,British Virgin Islands,1950,2100,
3,Caribbean Netherlands,1950,2100,
3,Cayman Islands,1950,2100,
3,Cuba,1950,2100,
3,Curaçao,1950,2100,
3,Dominica,1950,2100,
3,Dominican Republic,1950,2100,
3,Grenada,1950,2100,
3,Guadeloupe,1950,2100,
3,Haiti,1950,2100,
3,Jamaica,1950,2100,
3,Martinique,1950,2100,
3,Montserrat,1950,2100,
3,Puerto Rico,1950,2100,
3,Saint Kitts and Nevis,1950,2100,
3,Saint Lucia,1950,2100,
3,Saint Vincent and the Grenadines,1950,2100,
3,Sint Maarten (Dutch part),1950,2100,
3,Trinidad and Tobago,1950,2100,
3,Turks and Caicos Islands,1950,2100,
3,United States Virgin Islands,1950,2100,
2,Central America,1950,2100,
3,Belize,1950,2100,
3,Costa Rica,1950,2100,
3,El Salvador,1950,2100,
3,Guatemala,1950,2100,
3,Honduras,1950,2100,
3,Mexico,1950,2100,
3,Nicaragua,1950,2100,
3,Panama,1950,2100,
2,South America,1950,2100,
3,Argentina,1950,2100,
3,Bolivia (Plurinational State of),1950,2100,
3,Brazil,1950,2100,
3,Chile,1950,2100,
3,Colombia,1950,2100,
3,Ecuador,1950,2100,
3,Falkland Islands (Malvinas),1950,2100,
3,French Guiana,1950,2100,
3,Guyana,1950,2100,
3,Paraguay,1950,2100,
3,Peru,1950,2100,
3,Suriname,1950,2100,
3,Uruguay,1950,2100,
3,Venezuela (Bolivarian Republic of),1950,2100,
1,NORTHERN AMERICA,1950,2100,
2,Bermuda,1950,2100,
2,Canada,1950,2100,
2,Greenland,1950,2100,
2,Saint Pierre and Miquelon,1950,2100,
2,United States of America,1950,2100,
1,AFRICA,1950,2100,
2,Eastern Africa,1950,2100,
3,Burundi,1950,2100,
3,Comoros,1950,2100,
3,Djibouti,1950,2100,
3,Eritrea,1950,2100,
3,Ethiopia,1950,2100,
3,Kenya,1950,2100,
3,Madagascar,1950,2100,
3,Malawi,1950,2100,
3,Mauritius,1950,2100,
3,Mayotte,1950,2100,
3,Mozambique,1950,2100,
3,Réunion,1950,2100,
3,Rwanda,1950,2100,
3,Seychelles,1950,2100,
3,Somalia,1950,2100,
